Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4tVphly4D1PB8tJC9gHMcJ,"10/10","Pony","Rex Orange County",2019-10-25,146093,52,saaato11,2022-07-06T15:36:13Z,"bedroom pop","Rex Orange County",0.487,0.909,10,-4.092,1,0.0993,0.302,0.0000301,0.0781,0.293,187.826,4
6TvxPS4fj4LUdjw2es4g21,"Slipping Through My Fingers","The Visitors (Deluxe Edition)","ABBA",1981,233720,69,saaato11,2022-07-06T15:36:26Z,"europop,swedish pop","Polar Music International AB",0.475,0.26,5,-15.997,1,0.0322,0.796,0.0016,0.109,0.339,137.212,4
0UV5zxRMz6AO4ZwUOZNIKI,"Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,76,saaato11,2022-07-06T15:36:35Z,"chamber pop,indie rock,modern folk rock,philly indie,pov: indie,seattle indie,stomp and holler","Anti/Epitaph",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
5O2P9iiztwhomNh8xkR9lJ,"Night Changes","FOUR (Deluxe)","One Direction",2014-11-17,226600,88,saaato11,2022-07-06T15:36:42Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,4
5TB6QgrF0RPIxSCGfRDLoe,"We Never Change","Parachutes","Coldplay",2000-07-10,249400,59,saaato11,2022-07-06T15:36:50Z,"permanent wave,pop","Parlophone UK",0.433,0.288,6,-10.801,0,0.0296,0.535,0.000169,0.105,0.131,136.939,3
6H3vlGfkDO5M2WTDMNbdoI,"Junior Varsity","Fuzzybrain","Dayglow",2019-11-14,252400,0,saaato11,2022-07-06T15:37:01Z,"austindie,indie rock,pov: indie","Very Nice Records",0.263,0.521,8,-8.022,1,0.0465,0.0835,0.0474,0.0891,0.263,74.983,4
0fw48fVAOb7w2y3x2DRabI,"Bedtime Stories","£5 Flights","Pat",2022-05-29,225895,11,saaato11,2022-07-06T15:37:40Z,"","Pat",0.466,0.449,10,-13.997,0,0.236,0.94,0.0103,0.118,0.365,171.532,1
0dVtDcgWqGSymest1S9IO1,"Bleachers","Bleachers","bluffs.",2022-01-14,242000,19,saaato11,2022-07-06T15:38:02Z,"","Guest Room Records",0.546,0.363,9,-13.027,1,0.0302,0.862,0.000153,0.0974,0.434,90.005,4
4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,28,saaato11,2022-07-06T15:38:45Z,"pop","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
0KpAm8TtyHPZmxdPO7npYO,"we made it.","Blossom Hill","david hugo",2021-07-09,164662,0,saaato11,2022-07-06T15:40:30Z,"modern indie pop","^~^",0.653,0.515,5,-7.906,1,0.267,0.0706,0,0.0756,0.674,176.05,4
4qeHV9T5N3S7KAKryZQp8s,"Older","Older","Alec Benjamin",2021-09-17,164396,0,saaato11,2022-07-06T15:40:50Z,"alt z,pop,pov: indie","Elektra (NEK)",0.539,0.489,2,-8.456,1,0.0635,0.59,0,0.197,0.515,84.211,4
3NllHdYknM2F6UxxGevXWc,"Nothing's the Same","Nothing's the Same","Alexander 23,Jeremy Zucker",2020-12-11,175041,0,saaato11,2022-07-06T15:42:44Z,"alt z,singer-songwriter pop,electropop,pop","Interscope Records",0.735,0.32,11,-11.32,1,0.0437,0.528,0.00271,0.215,0.401,132.853,4
7qEUFOVcxRI19tbT68JcYK,"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Red (Taylor's Version)","Taylor Swift,Ed Sheeran",2021-11-12,245426,68,saaato11,2022-07-06T15:44:51Z,"pop,singer-songwriter pop,uk pop","Taylor Swift",0.498,0.61,6,-5.098,1,0.0363,0.271,0,0.223,0.474,79.918,4
