Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
221FBKC22DTc7XkPIaZYOl,"我多喜歡你,你會知道(網劇<致我們單純的小美好>推廣曲)","我多喜歡你,你會知道(網劇<致我們單純的小美好>推廣曲)","Wang Jun Qi",2017-09-29,199679,51,saaato11,2023-03-08T11:34:11Z,"mainland chinese pop","杭州華策影視科技有限公司HANGZHOU HUACE TECHNOLOGY CO.LTD.",0.777,0.35,3,-10.179,1,0.0333,0.526,0,0.13,0.516,108.026,4
7N2wPpNfG3uipf8Yd5k5YD,"捨不得","漂亮的李慧珍 電視原聲帶","迪麗熱巴",2017-01-02,148544,15,saaato11,2023-03-08T11:35:36Z,"mainland chinese pop","宏揚國際有限公司",0.548,0.155,10,-14.047,1,0.0373,0.899,0,0.104,0.324,136.5,4
1w4qayoFZGKRmht2mIcWGN,"你好灰姑娘","漂亮的李慧珍 電視原聲帶","Hu Xia",2017-01-02,250363,6,saaato11,2023-03-08T11:35:53Z,"mainland chinese pop,mandopop","宏揚國際有限公司",0.647,0.79,11,-5.788,1,0.0299,0.165,0,0.0823,0.458,95.982,4
7GLVu0supji76JozmBBTOU,"我會守在這裡 (電視劇《以家人之名》片尾主題曲)","電視劇《以家人之名》原聲帶","Mao Buyi",2020-08-11,174684,39,saaato11,2023-03-08T11:36:07Z,"chinese minyao,chinese singer-songwriter,mainland chinese pop","HUACE MUSIC (TIANJIN) CO.,LTD.",0.488,0.319,2,-9.408,1,0.0322,0.741,0.000139,0.101,0.317,129.619,4
4GbwoZj04YWasx5DuEyHEI,"無畏 (電視劇《以家人之名》片頭主題曲)","電視劇《以家人之名》原聲帶","Di Ma",2020-08-11,185263,40,saaato11,2023-03-08T11:36:10Z,"chinese indie,chinese minyao,chinese singer-songwriter,taiwan pop","HUACE MUSIC (TIANJIN) CO.,LTD.",0.534,0.317,11,-9.18,0,0.0276,0.787,0.000723,0.0904,0.114,144.001,4
1TAm4rdMas92o2vCFQs0vz,"雨 (電視劇《以家人之名》插曲)","電視劇《以家人之名》原聲帶","沈以誠",2020-08-11,216246,48,saaato11,2023-03-08T11:36:12Z,"chinese singer-songwriter","HUACE MUSIC (TIANJIN) CO.,LTD.",0.521,0.335,6,-7.938,1,0.0308,0.857,0,0.0952,0.166,125.929,4
03BsBrlhgZoRBUKgF2hQ3Z,"My Everything (電視劇《以家人之名》插曲)","電視劇《以家人之名》原聲帶","金駿植",2020-08-11,226133,33,saaato11,2023-03-08T11:36:24Z,"chinese drama ost","HUACE MUSIC (TIANJIN) CO.,LTD.",0.414,0.248,1,-8.811,1,0.0311,0.872,0.00000779,0.164,0.191,131.316,4
5Iyyy3ikIcYzM1hNUI9Pwt,"看不見的光 (電視劇《以家人之名》插曲)","電視劇《以家人之名》原聲帶","赵贝尔",2020-08-11,196424,28,saaato11,2023-03-08T11:36:48Z,"chinese drama ost","HUACE MUSIC (TIANJIN) CO.,LTD.",0.386,0.399,3,-7.943,1,0.0309,0.776,0,0.146,0.22,79.679,4
06Iu5v6cPYTwNYVxTLseQb,"是夢吧(網劇<我們單純的小美好>片尾曲)","是夢吧(網劇<我們單純的小美好>片尾曲)","胡一天",2017-11-02,281615,29,saaato11,2023-03-08T11:37:43Z,"mainland chinese pop","杭州華策影視科技有限公司HANGZHOU HUACE TECHNOLOGY CO.LTD.",0.531,0.389,11,-10.528,1,0.0319,0.596,0.00314,0.129,0.328,129.876,4
2ArcEwsUcCFb5M4YccrOQT,"On My Way","On My Way (《黄金瞳》电视剧宣传曲)","杨昊铭,丁立,侯锦尧",2019-02-26,275216,0,saaato11,2023-03-08T11:39:33Z,"","灵河文化传媒（上海）有限公司",0.605,0.878,2,-4.724,1,0.0296,0.00238,0.0000477,0.0631,0.302,112.964,4
1qraFApuArzwYAR7EQnqav,"目不转睛","Feel & Sight","Yitai Wang",2018-03-18,162025,1,saaato11,2023-03-08T11:41:49Z,"chinese hip hop,chinese melodic rap,sichuanese hip hop","聞墨文化",0.628,0.741,9,-6.599,1,0.107,0.473,0,0.238,0.684,96.113,4
380m8wx1X9cSSSF5If2D9X,"王嘉爾","王嘉爾","Jackson Wang",2022-01-11,273133,38,saaato11,2023-03-08T11:42:06Z,"k-pop","TEAM WANG RECORDS",0.763,0.648,8,-5.18,1,0.0472,0.209,0.0000943,0.167,0.476,100.057,4
7hDg1QQOiqQmQzx1nORGwi,"一個人 (Alone)","一個人 (Alone)","Jackson Wang",2021-01-30,185546,36,saaato11,2023-03-08T11:42:13Z,"k-pop","Avex Hong Kong Limited",0.514,0.394,7,-8.183,1,0.046,0.189,0,0.148,0.11,75.273,4
1lrafepXruMZB5qHCNqy88,"過 (Should've Let Go)","過 (Should've Let Go)","Jackson Wang,JJ Lin",2020-12-17,203786,46,saaato11,2023-03-08T11:42:19Z,"k-pop,mandopop,singaporean mandopop,singaporean pop","Avex Hong Kong Limited",0.696,0.48,0,-6.036,1,0.0339,0.573,0,0.0902,0.147,127.923,4
2vRDFgdJiILUdDOLL8hLH3,"Lover Boy 88","Head In The Clouds","88rising,Phum Viphurit,Higher Brothers",2018-07-20,233033,1,saaato11,2023-03-08T11:43:45Z,"asian american hip hop,bedroom pop,chinese hip hop,sichuanese hip hop","88rising Music/Warner Records",0.734,0.699,11,-6.689,1,0.0614,0.349,0,0.261,0.5,109.979,4
7Et5YO6MFDDC5XEcwr0nmF,"Crush On You (feat. step.jad)","Prince Charming","Masiwei,Higher Brothers,step.jad",2020-02-28,229064,0,saaato11,2023-03-08T11:43:54Z,"chinese hip hop,sichuanese hip hop,chinese melodic rap,chinese r&b","88rising Music",0.832,0.662,1,-5.052,1,0.0736,0.642,0,0.107,0.687,96.029,4
1DlFEqhGmARazOCKYFYIf8,"Diamond","Five Stars","Higher Brothers",2019-02-22,192001,0,saaato11,2023-03-08T11:43:57Z,"chinese hip hop,sichuanese hip hop","88rising Music",0.836,0.66,8,-5.754,1,0.111,0.0557,0,0.0975,0.752,95.041,4
5EZJdxADQvZVRptQqKy65U,"Nothing Wrong","Type-3 - EP","Higher Brothers,Harikiri",2018-02-27,160645,0,saaato11,2023-03-08T11:44:01Z,"chinese hip hop,sichuanese hip hop,chinese melodic rap","88rising Music / EMPIRE",0.825,0.67,1,-7.765,1,0.0702,0.0599,0,0.139,0.646,124.025,4
74p24yUzO0uiZmt8v0G4Hg,"爱 - I Love You 3000 Chinese Version","MIRRORS","Jackson Wang",2019-10-25,210160,0,saaato11,2023-03-08T11:44:54Z,"k-pop","Western and 6th",0.494,0.374,6,-10.45,1,0.0534,0.908,0.00000456,0.409,0.221,180.04,4
4Bji41aDrL1KiRzLjECh7v,"该死的温柔","爱昧生","由宏生",2007-08-14,211533,0,saaato11,2023-03-08T12:33:04Z,"","华音鼎天",0.669,0.386,8,-10.724,1,0.0529,0.872,0.0000175,0.11,0.337,143.821,4
