Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2tCsQfkLl9AWL5TuGwBIVn,"She Is Love","Heathen Chemistry","Oasis",2002-07-01,191400,0,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.49,0.65,0,-6.277,1,0.0285,0.454,0.00000168,0.133,0.477,89.969,4
3KfkaxqDF9zh0W4ORDVerH,"I'm Outta Time","Dig Out Your Soul","Oasis",2008-10-06,250013,0,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.427,0.622,4,-5.467,0,0.028,0.00107,0.0467,0.431,0.0775,77.407,4
3uIyXYplVJZh3t1J0ovGx5,"Hello - Remastered","(What's The Story) Morning Glory? [Remastered]","Oasis",1995-10-02,203186,0,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.317,0.952,9,-3.177,0,0.0934,0.0136,0.0399,0.169,0.0717,132.229,4
0xGEN0oAi94hMAZf2GHutL,"Stop Crying Your Heart Out","Heathen Chemistry","Oasis",2002-06-26,303133,41,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.38,0.586,2,-5.324,1,0.0304,0.0754,0,0.0782,0.0804,74.95,4
1D2SVYXZdtNfJCg8wZWvVz,"Live Forever","Definitely Maybe","Oasis",1994,276826,44,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.147,0.782,9,-5.393,0,0.0367,0.0000137,0.00000686,0.369,0.182,90.896,4
6zcKVlJ943l7yB5tcEdCbS,"Married With Children","Definitely Maybe","Oasis",1994,192533,37,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.577,0.407,4,-11.536,1,0.0286,0.801,0,0.0971,0.337,87.877,4
2oIIfPAl99XhH8ZHKiexrg,"D'You Know What I Mean? - Remastered","Be Here Now","Oasis",1997-08-21,463213,0,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.29,0.836,11,-4.278,0,0.0432,0.000153,0.000508,0.107,0.222,80.188,4
2w4B7otstT2CGZKNgaMtiR,"The Hindu Times","Heathen Chemistry","Oasis",2002-07-01,228426,0,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.416,0.95,11,-3.042,1,0.0489,0.00000959,0.0000162,0.396,0.369,113.934,4
4UIYwKXhJh7pCLOmXUKZTX,"Live Forever","Stop The Clocks","Oasis",2006-11-20,276666,15,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony BMG Music UK",0.109,0.857,10,-2.716,1,0.0443,0.00000818,0.0000781,0.293,0.14,91.499,4
7mVdQFAbuCNaQMoqa0POKC,"D'You Know What I Mean?","Time Flies...1994-2009","Oasis",2010,464520,19,saaato11,2023-02-06T09:08:31Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.318,0.878,4,-3.24,1,0.0418,0.0000685,0.0000674,0.11,0.253,80.02,4
