Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0kvKVeUmmNbhPShLhKpfCV,"Fluorescent Adolescent","Fluorescent Adolescent","Arctic Monkeys",2007-07-08,183893,0,saaato11,2021-04-21T16:46:34Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Records",0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
6wNUBZNWFxdUGof6vkaykE,"One For The Road","AM","Arctic Monkeys",2013-09-09,206051,66,saaato11,2021-04-21T16:46:34Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.415,0.668,0,-6.849,1,0.036,0.212,0.0615,0.27,0.842,180.048,4
5TTGoX70AFrTvuEtqHK37S,"No. 1 Party Anthem","AM","Arctic Monkeys",2013-09-09,243131,85,saaato11,2021-04-21T16:46:34Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.505,0.698,0,-5.563,1,0.0297,0.33,0.0887,0.0966,0.599,115.013,4
2zzLRQ78kKfPTx8FJQCdC2,"When The Sun Goes Down","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,202133,70,saaato11,2021-04-21T16:46:34Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.348,0.875,11,-4.758,0,0.199,0.0341,0,0.117,0.407,169.152,4
086myS9r57YsLbJpU0TgK9,"Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,84,saaato11,2021-04-21T16:46:34Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
3jfr0TF6DQcOLat8gGn7E2,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,1,saaato11,2021-04-21T16:46:34Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
5v8aEcHcaJIGYpfVVPtJjI,"Wires","I'm Sorry...","The Neighbourhood",2013-05-08,193080,60,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","the [r]evolve group",0.568,0.569,7,-6.013,0,0.0329,0.0004,0.102,0.342,0.266,72.991,4
38kjFXYgPvtuXCPbHPMGte,"Prey","Wiped Out!","The Neighbourhood",2015-10-30,282640,60,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.517,0.779,9,-5.005,0,0.0477,0.0258,0,0.0622,0.197,115.206,4
6PS9AdyOKTPwlDPfLzJ7Ow,"Greetings from Califournia","Wiped Out!","The Neighbourhood",2015-10-30,244040,53,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.488,0.725,5,-7.692,0,0.0513,0.178,0.00000233,0.661,0.309,81.235,4
5Ma3BlNVDtn3JiwMEafSaq,"Single","Wiped Out!","The Neighbourhood",2015-10-30,262320,56,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.249,0.492,2,-7.108,0,0.0352,0.755,0,0.243,0.34,54.134,4
2u0CelO5c81XS7z3dGpHbS,"The Beach","Wiped Out!","The Neighbourhood",2015-10-30,255133,71,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.245,0.64,2,-7.426,0,0.0608,0.131,0.00000811,0.0766,0.105,135.739,4
7xrwGUa11hnnxXWeTIzcHf,"Ferrari","Wiped Out!","The Neighbourhood",2015-10-30,184173,52,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.442,0.652,11,-8.636,0,0.0405,0.00235,0.00000106,0.5,0.18,75.576,4
07VBqWH6NG8L2ad3l84UKk,"R.I.P. 2 My Youth","Wiped Out!","The Neighbourhood",2015-10-30,205280,62,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.353,0.686,7,-5.704,0,0.0534,0.00216,0,0.123,0.177,94.47,4
40iocOzytrqaRn5RbGPDNp,"Cherry Flavoured","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,208453,62,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769,4
4pJEkzhZY84h8kmPkUhfwC,"Tobacco Sunburst","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,296813,49,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.413,0.474,5,-11.472,1,0.0328,0.0419,0.508,0.384,0.446,111.01,4
5TUZhrb8UaaA76NhzZax2Z,"Lost in Translation","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,190226,53,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.568,0.891,0,-5.786,1,0.0376,0.000896,0.000137,0.357,0.522,104.954,4
4XfI7M5gLwEY84gYiH4RDD,"Devil's Advocate","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,186306,64,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,4
5uidTQXrmYWTCwfJxPVW90,"BooHoo","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,191120,41,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.696,0.838,5,-9.299,0,0.0361,0.0621,0.0000842,0.0967,0.66,139.977,4
4e8zIDjctZ1DtUPZTraGzS,"Middle of Somewhere","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,171053,45,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.508,0.394,9,-9.472,0,0.0252,0.716,0,0.158,0.337,92.055,4
7IL8PSVwLOJxqYne6azxQv,"Pretty Boy","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,234093,75,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,4
5VoBizwMwcd2D68EfqxDbO,"Over the Influence","Chip Chrome & The Mono-Tones (Deluxe)","The Neighbourhood",2020-12-11,220760,52,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.333,0.487,7,-8.169,1,0.0342,0.147,0.0751,0.0801,0.155,188.908,3
5SZ3LjDirzbQe3CqIgxRkA,"Here We Go Again","Chip Chrome & The Mono-Tones (Deluxe)","The Neighbourhood",2020-12-11,257720,52,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.51,0.527,8,-9.148,1,0.0292,0.6,0.317,0.545,0.418,143.913,4
5E30LdtzQTGqRvNd7l6kG5,"Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,saaato11,2021-04-21T16:46:54Z,"modern alternative rock,modern rock,pop","Columbia",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,89,saaato11,2021-04-21T16:47:24Z,"modern alternative rock,modern rock,pop","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
7zwn1eykZtZ5LODrf7c0tS,"You Get Me So High","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,153000,81,saaato11,2021-04-21T16:48:31Z,"modern alternative rock,modern rock,pop","Columbia",0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4
7brQHA2CgQpcMBiOlfiXYb,"Afraid","I Love You.","The Neighbourhood",2013-04-22,251186,71,saaato11,2021-04-21T16:48:41Z,"modern alternative rock,modern rock,pop","Columbia",0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4
2xql0pid3EUwW38AsywxhV,"Reflections","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,244013,83,saaato11,2021-04-21T16:48:56Z,"modern alternative rock,modern rock,pop","Columbia",0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4
7sIYHDxjteT6RY29gAGzP2,"Sadderdaze","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,245826,54,saaato11,2021-04-21T16:49:01Z,"modern alternative rock,modern rock,pop","Columbia",0.414,0.527,4,-4.749,0,0.0287,0.00971,0.0000505,0.145,0.306,120.009,4
113xf7t4qNM7038YJvauik,"Nervous","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,245000,71,saaato11,2021-04-21T16:49:39Z,"modern alternative rock,modern rock,pop","Columbia",0.589,0.614,0,-7.528,0,0.0426,0.0213,0.165,0.31,0.318,119.837,4
2NNzvsOFpztTUUzk6rcnPH,"No Grey","The Love Collection","The Neighbourhood",2013-12-10,206960,49,saaato11,2021-04-21T16:49:45Z,"modern alternative rock,modern rock,pop","Columbia",0.83,0.828,9,-5.562,0,0.0494,0.0509,0.00824,0.331,0.665,89.905,4
2wXioTynVwrEWYRv6R6vEj,"Void","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,203666,64,saaato11,2021-04-21T16:49:50Z,"modern alternative rock,modern rock,pop","Columbia",0.534,0.582,5,-7.912,1,0.0401,0.047,0.0328,0.0883,0.346,84.183,4
2K7xn816oNHJZ0aVqdQsha,"Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,84,saaato11,2021-04-21T16:50:03Z,"modern alternative rock,modern rock,pop","Columbia",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
6TA5aymvVrtiPVbuAwmPIc,"Scary Love","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,222666,61,saaato11,2021-04-21T16:50:10Z,"modern alternative rock,modern rock,pop","Columbia",0.595,0.636,5,-5.981,0,0.0312,0.0000945,0.0529,0.196,0.147,112.008,4
