Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3je88Q4OvTqIx7BFRFYvRA,"Phases","Phases","PRETTYMUCH",2019-04-26,215759,56,saaato11,2020-06-14T18:14:07Z,"boy band,post-teen pop,teen pop","Syco Music",0.77,0.636,11,-6.724,0,0.131,0.169,0,0.0676,0.492,105.93,4
1on9AvcasLbviJdJLysfGt,"甘い記憶","DAYS","the shes gone",2019-01-23,319000,40,saaato11,2020-06-14T18:14:20Z,"japanese alternative rock,modern j-rock","UK.PROJECT",0.642,0.727,6,-5.329,1,0.0321,0.0254,0,0.111,0.65,132.014,4
0K23PGm2l9kJgdDuYilOMu,"Words","What's Going On","Scotty Sire",2019-09-16,215213,0,saaato11,2020-06-14T18:15:35Z,"social media pop","Scotty Sire",0.738,0.686,9,-7.488,1,0.072,0.00912,0.00000373,0.141,0.44,130.1,4
0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,75,saaato11,2020-06-14T18:15:47Z,"r&b,rap","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
13iMiwdY7pgE1f7NwYKr1D,"Renee's Song","Renee's Song","Bazzi",2020-04-01,130545,46,saaato11,2020-06-14T18:17:39Z,"pop","iamcosmic",0.596,0.228,9,-8.895,1,0.0307,0.796,0,0.167,0.448,117.816,4
12ZYXSzFJUSrFyO1u3Ylqx,"Constant","Constant","Jesse Barrera,Jeremy Passion",2020-02-14,190348,62,saaato11,2020-06-14T18:18:26Z,"bedroom r&b,chill r&b,pop soul","THE JB CAVE Records",0.667,0.427,9,-8.74,1,0.0271,0.492,0.0000139,0.201,0.604,87.033,4
5iFwAOB2TFkPJk8sMlxP8g,"Make You Mine","Make You Mine","PUBLIC",2019-08-09,232906,70,saaato11,2020-06-14T18:19:58Z,"indie rockism","Island Records",0.606,0.799,9,-4.452,1,0.0261,0.0128,0,0.15,0.638,103.014,4
3BYyBzKGPOCHeginhe0F77,"Never Be Alone","Handwritten","Shawn Mendes",2015-04-14,215813,9,saaato11,2020-06-14T18:20:31Z,"canadian pop,pop,viral pop","Island Records",0.377,0.466,10,-6.927,1,0.0353,0.514,0.0000563,0.0781,0.276,199.853,4
4AQzk2yNWKs6sYhZi6NzVN,"Me & You Together Song","Me & You Together Song","The 1975",2020-01-16,209500,41,saaato11,2020-06-14T18:22:09Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.272,0.763,9,-5.861,1,0.0348,0.00000165,0.00157,0.299,0.394,107.388,4
5DqdesEfbRyOlSS3Tf6c29,"It's You","YOU","Ali Gatie",2019-11-08,212606,75,saaato11,2020-06-14T18:22:18Z,"canadian hip hop","Warner Records",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
7a7EIFzJLd7lcDRgThMQgm,"Wherever you are","Nicheシンドローム","ONE OK ROCK",2010-06-09,295600,62,saaato11,2020-06-14T18:22:32Z,"j-pop,j-rock","Aer-born",0.379,0.69,4,-4.79,1,0.0549,0.0286,0,0.335,0.288,173.716,4
0NBiC3zLXoBQXBjsbnbwJq,"Molly (feat. Brendon Urie of Panic at the Disco)","Professional Rapper","Lil Dicky,Brendon Urie",2015-07-31,244339,0,saaato11,2020-06-14T18:23:31Z,"comedy rap,indie pop rap,pop rap","CMSN",0.831,0.514,7,-6.695,1,0.0368,0.203,0.000156,0.115,0.397,114.94,4
2RiBogNRfulkNf7fVbPOrJ,"Saturday Sun","Nation of Two","Vance Joy",2018-02-23,214720,66,saaato11,2020-06-14T18:24:19Z,"folk-pop,modern rock","Atlantic Records",0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,4
1b3nlcP6hogIzYRVK2Ui7K,"Wherever You Are","Wherever You Are","Kodaline",2020-01-10,185004,0,saaato11,2020-06-14T18:25:13Z,"irish pop,modern rock,neo mellow","B-Unique Records (UK) Ltd",0.514,0.612,4,-5.981,1,0.0298,0.142,0,0.0868,0.342,125.99,4
