Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7w5cxTEzp1rfV3KCy0Bd5N,"Home","Up from Below","Edward Sharpe & The Magnetic Zeros",2009-07-14,303200,4,saaato11,2022-01-16T15:25:11Z,"la indie,stomp and holler","Vagrant Records",0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,4
0EDBf3PFczf1kRIkDl9XfX,"Little Talks","My Head Is An Animal (Japan Version)","Of Monsters and Men",2012-01-01,266600,29,saaato11,2022-01-16T15:26:03Z,"folk-pop,metropopolis,modern rock,stomp and holler","Universal Records",0.446,0.757,1,-5.177,1,0.0322,0.0206,0,0.146,0.421,102.88,4
08unC8N1V1dEcqiyi06g6W,"Dead of Night","Pony","Orville Peck",2019-03-22,239001,57,saaato11,2022-01-16T15:26:20Z,"alternative country,queer country","Sub Pop Records",0.491,0.549,2,-11.608,1,0.0546,0.811,0.361,0.0606,0.48,99.683,4
3CL0eXel8usNNSCQ6OT7KJ,"Just A Little While","Could It Get Better Than This","The 502s",2021-10-15,162608,0,saaato11,2022-01-16T15:27:15Z,"","The 502s",0.636,0.788,5,-9.177,0,0.0432,0.0897,0,0.286,0.701,125,4
7x46YkKAwp3yZpaa72n5Mu,"Stubborn Love","The Lumineers (Deluxe Edition)","The Lumineers",2012,279000,13,saaato11,2022-01-16T15:28:10Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.596,0.544,0,-11.759,1,0.0362,0.604,0.0176,0.262,0.262,115.023,4
5YqdiryRmdAzYFlxo43hAJ,"Missing Piece","Missing Piece","Vance Joy",2021-05-19,217408,60,saaato11,2022-01-16T15:29:21Z,"folk-pop,modern rock","Atlantic Records",0.628,0.877,0,-4.205,1,0.046,0.0155,0.00000597,0.113,0.721,101.992,4
3AxAk53oNseDV5yJoqScdM,"Oak Trees","Oak Trees","Daniel Nunnelee",2020-06-16,233845,0,saaato11,2022-01-16T15:29:54Z,"nashville singer-songwriter","Daniel Nunnelee",0.617,0.14,2,-18.492,1,0.0307,0.203,0,0.111,0.159,99.837,4
4rsW3WCZBGwhHfJWuHRwyT,"Home","The World From The Side Of The Moon (Deluxe)","Phillip Phillips",2013-01-01,210173,1,saaato11,2022-01-16T15:31:46Z,"folk-pop,neo mellow,pop rock","19 Recordings/Interscope",0.606,0.826,0,-6.04,1,0.0307,0.0256,0.0000156,0.117,0.322,121.04,4
7p0IY8kZ9PAwW965oA7SJE,"Gone, Gone, Gone","The World From The Side Of The Moon (Deluxe)","Phillip Phillips",2012-01-01,209693,0,saaato11,2022-01-16T15:33:00Z,"folk-pop,neo mellow,pop rock","Universal Music New Zealand Limited",0.662,0.644,6,-5.988,1,0.0401,0.135,0,0.113,0.501,117.995,4
7IuUsxQWHfXGkRDdAT0MLW,"Caroline","Caroline","Animal Years",2017-05-19,211733,0,saaato11,2022-01-16T15:34:23Z,"brooklyn indie,stomp and holler","eOne Music",0.509,0.786,5,-5.51,1,0.039,0.00103,0.00000463,0.112,0.484,114.971,4
4yyg2J2uXOjCtCyT64984C,"Ends of the Earth","Lonesome Dreams","Lord Huron",2012-10-08,284146,1,saaato11,2022-01-16T15:34:46Z,"indie folk,stomp and holler","IAMSOUND",0.555,0.584,4,-8.667,1,0.0301,0.274,0.0228,0.254,0.41,120.965,4
0jCYTrQXmYDCNUPWYphG27,"At Your Door","Stuck In Love (Original Motion Picture Soundtrack)","Nathaniel Walcott,Mike Mogis,Big Harp",2013-01-01,174773,0,saaato11,2022-01-16T15:46:17Z,"omaha indie","Varese Sarabande",0.571,0.781,0,-6.966,1,0.0306,0.0382,0.0263,0.12,0.526,112.476,4
5Ts1DYOuouQLgzTaisxWYh,"Love Grows (Where My Rosemary Goes)","Love Grows (Where My Rosemary Goes) & Other Gems","Edison Lighthouse",1970-01-01,174760,70,saaato11,2022-01-19T12:19:15Z,"","Crimson",0.568,0.824,9,-4.613,1,0.0299,0.403,0,0.0855,0.753,108.625,4
2F45kvGsQXzalwpLdhqvca,"Missing Piece","Don't Fade","Vance Joy",2022-02-10,215840,19,saaato11,2022-02-10T12:07:07Z,"folk-pop,modern rock","Atlantic Records",0.632,0.863,0,-5.21,1,0.0446,0.0449,0.00000101,0.13,0.731,101.976,4
54YY9VsZn8sbwXht0VAKZB,"Black Memories","Chinese Fountain","The Growlers",2014-09-23,171400,0,saaato11,2022-02-10T12:43:11Z,"garage rock revival,indie garage rock,indie surf","Everloving Records",0.617,0.576,0,-8.009,1,0.0286,0.00661,0,0.153,0.825,113.965,4
6gkLPaEXLCXTUWxrgApYFt,"A Mountain, A Peak","Ordinary Time","Bill Ricchini",2009-05-12,252786,16,saaato11,2022-03-07T13:03:41Z,"","Transdreamer",0.51,0.432,9,-10.072,0,0.0265,0.617,0.0261,0.105,0.317,132.351,4
31XJwRs4hIXoALeFqk9ZpE,"A Toast - At Your Door","Stuck In Love (Original Motion Picture Score)","Mike Mogis,Nathaniel Walcott,Big Harp",2013-01-01,213960,0,saaato11,2022-03-07T13:03:45Z,"omaha indie","Varese Sarabande",0.56,0.591,0,-11.533,1,0.0287,0.175,0.202,0.0996,0.16,112.51,4
0zl3FrWE2HnmhyTmxoT5t1,"Gospel","Boxer","The National",2007-05-21,269200,36,saaato11,2022-03-20T12:20:13Z,"chamber pop,indie folk,indie rock,indietronica,modern rock","Beggars Banquet",0.575,0.309,0,-12.372,1,0.0272,0.828,0.511,0.107,0.22,83.013,4
34pOJWcmlxBUDkHaoqG1K2,"Florida","Florida","Junior Varsity",2022-12-16,147671,20,saaato11,2023-02-19T04:50:17Z,"modern alternative pop","Warner Records",0.511,0.276,7,-13.755,1,0.0523,0.935,0.0954,0.134,0.582,89.425,4
