Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2h6RKFTEA5FlzFGt4Ac8Ae,"Hailey","Hailey","James Smith",2019-03-29,178901,0,saaato11,2024-01-04T12:46:16Z,"uk pop","EMI",0.691,0.382,2,-7.989,1,0.0344,0.129,0,0.189,0.541,138.08,4
5l6hpyTGBK0LAAxgPnqTQL,"Look After You","How To Save A Life","The Fray",2005-09-13,266773,74,saaato11,2024-01-04T15:10:19Z,"neo mellow,piano rock,pop,pop rock","Epic",0.447,0.592,6,-3.015,0,0.0319,0.0575,0.00000447,0.13,0.283,78.039,4
5E30LdtzQTGqRvNd7l6kG5,"Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,saaato11,2024-01-04T16:13:08Z,"modern alternative rock,modern rock,pop","Columbia",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
6hYvw3LLTViP2mT4MpDNmT,"Grow as We Go","Sing To Me Instead","Ben Platt",2019-03-29,249426,58,saaato11,2024-01-04T16:15:35Z,"show tunes","Atlantic Records",0.458,0.137,8,-14.083,1,0.0355,0.882,0,0.15,0.437,80.824,4
7LVHVU3tWfcxj5aiPFEW4Q,"Fix You","X&Y","Coldplay",2005-06-07,295533,82,saaato11,2024-01-04T16:25:49Z,"permanent wave,pop","Parlophone Records Limited",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4
6uvh0In7u1Xn4HgxOfAn8O,"Matilda","Harry's House","Harry Styles",2022-05-20,245964,75,saaato11,2024-01-04T16:28:06Z,"pop","Columbia",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
2afCBiru10AFckfOa49wIa,"You & I","Midnight Memories (Deluxe)","One Direction",2013-11-25,237933,76,saaato11,2024-01-04T16:30:14Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,4
1Wdj4wRDYS7aT4CoPS0mAH,"You Are Enough","Atlas: I","Sleeping At Last",2014-07-08,180086,66,saaato11,2024-01-04T16:33:35Z,"acoustic pop,ambient worship,chamber pop","Asteroid B-612",0.593,0.5,1,-8.532,1,0.0291,0.707,0.0000124,0.0837,0.466,117.978,4
0hqJxaNkPQ3sPm1tvfPlAe,"Cry with you","Cry with you","Jeremy Zucker",2021-08-20,217044,0,saaato11,2024-01-04T16:33:59Z,"alt z,electropop,pop","Republic Records",0.51,0.307,2,-9.921,1,0.101,0.321,0.0000015,0.174,0.356,159.794,3
0L9GL4JSTKTWkP4PfdPHe4,"Truce","Vessel","Twenty One Pilots",2013-01-08,142546,8,saaato11,2024-01-04T16:34:02Z,"modern rock,pop,pov: indie,rock","Fueled By Ramen",0.537,0.0231,7,-14.407,1,0.0475,0.994,0.0471,0.146,0.342,120.322,4
18rY0odTZPuODbH8QBnsmP,"Your Tears are Mine","Luxury Disease","ONE OK ROCK",2022-09-09,256088,41,saaato11,2024-01-04T16:40:55Z,"j-pop,j-rock","WM Japan",0.196,0.528,6,-3.707,0,0.0338,0.00945,0,0.0943,0.221,168.783,3
7jI6Se0BWVcF7ALTjQUBup,"Miss Me - Demo","Without You","Lauv",2020-07-10,118920,0,saaato11,2024-01-04T16:43:26Z,"pop","Lauv",0.662,0.449,3,-7.258,1,0.0883,0.553,0,0.201,0.205,73.973,4
2LMkwUfqC6S6s6qDVlEuzV,"White Ferrari","Blonde","Frank Ocean",2016-08-20,248807,84,saaato11,2024-01-04T16:51:48Z,"lgbtq+ hip hop,neo soul","Boys Don't Cry",0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4
3je88Q4OvTqIx7BFRFYvRA,"Phases","Phases","PRETTYMUCH",2019-04-26,215759,56,saaato11,2024-01-04T16:57:40Z,"boy band,post-teen pop,teen pop","Syco Music",0.77,0.636,11,-6.724,0,0.131,0.169,0,0.0676,0.492,105.93,4
