Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
21uFPefbgeR3QLVJWATlrr,"Scott Street","Stranger in the Alps (Deluxe Edition)","Phoebe Bridgers",2018-10-02,305000,70,saaato11,2024-01-08T13:23:49Z,"indie pop,la indie,pov: indie","Dead Oceans",0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,4
04mAOoQNsXmDJlyupJwmkO,"Waiting Room","Lost Ark Studio Compilation, Vol. 8","Phoebe Bridgers",2016-08-12,393962,75,saaato11,2024-01-08T13:23:58Z,"indie pop,la indie,pov: indie","Randm Records",0.531,0.289,2,-10.065,1,0.0286,0.339,0.000358,0.134,0.12,129.753,4
09DR0sHnQUhHOiSNttc1mv,"Not Strong Enough","the record","boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",2023-03-31,234933,71,saaato11,2024-01-08T13:24:06Z,"indie pop,pov: indie,ambient folk,la indie,art pop","boygenius under exclusive license to Interscope Records",0.502,0.798,1,-5.909,1,0.0414,0.00291,0.0000111,0.0979,0.307,126.976,4
6VzcQuzTNTMFnJ6rBSaLH9,"Fine Line","Fine Line","Harry Styles",2019-12-13,377960,75,saaato11,2024-01-08T13:24:19Z,"pop","Columbia",0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,4
4BbXg5wQqVNPbVEGpjsVnv,"All I Wanted","Brand New Eyes","Paramore",2009-09-22,225786,63,saaato11,2024-01-08T13:24:39Z,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock","Fueled By Ramen/Atlantic",0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,4
3GYlZ7tbxLOxe6ewMNVTkw,"TV","Guitar Songs","Billie Eilish",2022-07-21,281380,82,saaato11,2024-01-08T13:26:40Z,"art pop,pop","Darkroom/Interscope Records",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,4
0P3F6xMn3R1Ja8hjJ1HBTO,"Džanum","Džanum","Teya Dora",2023-03-22,174045,65,saaato11,2024-01-08T13:27:45Z,"","Epic Local",0.326,0.232,6,-10.566,0,0.0302,0.876,0.0000109,0.113,0.186,130.26,4
5Ohxk2dO5COHF1krpoPigN,"Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,81,saaato11,2024-01-08T13:27:57Z,"pop","Columbia",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
0pJW1Xw3aY4Eh6k5iuBkfI,"I Know The End","Punisher","Phoebe Bridgers",2020-06-18,344692,72,saaato11,2024-01-08T13:28:30Z,"indie pop,la indie,pov: indie","Dead Oceans",0.323,0.323,1,-10.268,1,0.0351,0.33,0.0229,0.233,0.256,111.826,4
3Z0qLOS0cqWKPHXkbTXmNF,"Gilded Lily","Offering","Cults",2022-10-26,212736,75,saaato11,2024-01-08T13:29:19Z,"experimental pop,indie surf,pov: indie","Sinderlyn/Columbia",0.4,0.571,11,-6.534,0,0.0288,0.468,0.0000305,0.519,0.146,61.859,4
