Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5sA3i6SGkILMiZW6Fhx4wv,"the way things go","the way things go","beabadoobee",2023-07-18,187800,78,saaato11,2024-12-04T11:31:35Z,"bedroom pop,bubblegrunge,indie pop,pov: indie","Dirty Hit",0.528,0.513,9,-8.266,1,0.0306,0.848,0.0127,0.326,0.463,131.952,4
4PwWESSlTwzvw9B7bmtTLS,"anything","songs","Adrianne Lenker",2020-10-23,202047,77,saaato11,2024-12-04T11:31:50Z,"countrygaze,indie pop,small room","4AD",0.388,0.291,3,-12.952,1,0.0421,0.774,0.0000193,0.0874,0.51,83.943,4
0AMF804clK0uztTH4Neu8p,"effortlessly, i feel everything","The Chronicles of Gerald Womack","The Man The Myth The Meatslab",2024-11-15,258600,43,saaato11,2024-12-04T11:32:06Z,"","The Man The Myth The Meatslab",0.657,0.25,1,-11.841,1,0.0325,0.675,0.07,0.0623,0.0804,74.988,4
0VXp4zDspR993l2hIKW17g,"Anthems For A Seventeen Year-Old Girl","You Forgot It In People","Broken Social Scene",2003-03-11,275693,61,saaato11,2024-12-04T11:32:15Z,"alternative rock,baroque pop,canadian indie,canadian indie rock,canadian rock,indie rock,noise pop","Arts & Crafts",0.466,0.446,4,-9.415,1,0.0322,0.229,0.0168,0.125,0.403,80.154,4
6PBanBy8L1K2Ry4UN186XH,"forwards beckon rebound","songs","Adrianne Lenker",2020-10-23,189464,76,saaato11,2024-12-04T11:32:24Z,"countrygaze,indie pop,small room","4AD",0.535,0.243,2,-17.583,1,0.0344,0.914,0.0000182,0.0745,0.631,122.737,4
2k8Aje1OtMsZLxLfNH4C54,"Leaving Toronto","Dunya","Mustafa,Daniel Caesar",2024-09-27,248093,48,saaato11,2024-12-04T11:32:52Z,"chill pop,canadian contemporary r&b","Jagjaguwar",0.398,0.248,8,-12.88,1,0.0526,0.906,0.0000166,0.13,0.455,135.55,3
2dono2Koz7DEvGwxUsmMLq,"Linger - SiriusXM Session","Linger / Heading For The Door (Sirius XM Session)","Royel Otis",2024-05-31,186000,77,saaato11,2024-12-04T11:33:49Z,"australian indie rock","OURNESS PTY LTD",0.404,0.393,2,-6.607,1,0.0262,0.806,0.000443,0.0938,0.403,98.217,4
2M8IvrzqvNMAJsAx7UYwXK,"Bass Boat","The Great American Bar Scene","Zach Bryan",2024-07-04,216728,70,saaato11,2024-12-04T11:34:01Z,"classic oklahoma country","Warner Records",0.527,0.192,0,-14.979,1,0.147,0.777,0.00157,0.102,0.18,81.73,4
4ZJ4vzLQekI0WntDbanNC7,"Pink Skies","Pink Skies","Zach Bryan",2024-05-24,194920,84,saaato11,2024-12-04T11:34:32Z,"classic oklahoma country","Warner Records",0.525,0.488,0,-6.909,1,0.038,0.191,0.0000514,0.135,0.253,84.999,4
5jgFfDIR6FR0gvlA56Nakr,"Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,75,saaato11,2024-12-04T11:34:59Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
449aAnrkYHyFP3vD8B5Pho,"bowie box","14 minutes","Dominic Fike",2024-05-03,116333,46,saaato11,2024-12-04T11:35:21Z,"alternative pop rock,pov: indie","Columbia",0.604,0.329,9,-12.039,1,0.0345,0.888,0.545,0.114,0.369,126.006,3
1qxyuBgnwAeRxqaEP2p4UX,"Slipping Through My Fingers","Slipping Through My Fingers","Declan McKenna",2023-12-15,263500,11,saaato11,2024-12-04T11:36:20Z,"pov: indie","Sony Music Labels Inc.",0.519,0.118,7,-17.093,1,0.0435,0.895,0.00106,0.127,0.216,120.843,4
2LF1EjI7vMM37yRUzEWk8s,"Grace","Grace","Henrik",2023-08-18,200666,58,saaato11,2024-12-04T11:36:31Z,"singer-songwriter pop","North Main 2023",0.664,0.544,7,-8.302,1,0.0269,0.00959,0.666,0.204,0.159,111.997,4
2HafqoJbgXdtjwCOvNEF14,"Si No Estás","Si No Estás","iñigo quintero",2022-09-23,184061,79,saaato11,2024-12-04T11:37:12Z,"","Acqustic",0.537,0.421,5,-8.72,1,0.0285,0.827,0,0.138,0.524,98.224,4
3rJDsZjIaCfJQSqRUvl0BM,"Funeral","Stranger in the Alps","Phoebe Bridgers",2017-09-22,232373,66,saaato11,2024-12-04T11:42:16Z,"indie pop,la indie,pov: indie","Dead Oceans",0.218,0.263,11,-14.416,1,0.0376,0.947,0.00028,0.0919,0.307,170.724,4
7fyG2MquxykO3Ufiku1Dj2,"Treehouse","Treehouse","Alex G,Emily Yacina",2011-01-17,158801,79,saaato11,2024-12-04T11:42:46Z,"philly indie,pov: indie,slacker rock,small room","Alex G & Emily Yacina",0.612,0.196,7,-19.489,0,0.0359,0.706,0.319,0.111,0.142,73.489,4
40Fmr4mXhz4PtrMAPTnoXB,"Destroy Myself Just For You","JAMIE","Montell Fish",2022-07-22,146000,74,saaato11,2024-12-04T11:43:44Z,"pittsburgh rap","Lord’s Child, LLC",0.512,0.186,0,-16.028,1,0.0373,0.904,0.0281,0.11,0.191,59.677,4
6vOcpn5zG3tAgSs5TCYR1o,"Summer Child","Superache","Conan Gray",2022-06-24,179967,56,saaato11,2024-12-04T11:44:58Z,"bedroom pop,pop,pov: indie","Republic Records",0.427,0.275,2,-10.997,1,0.0338,0.859,0,0.113,0.196,109.213,3
34pOJWcmlxBUDkHaoqG1K2,"Florida","Florida","Junior Varsity",2022-12-16,147671,20,saaato11,2024-12-04T11:45:25Z,"modern alternative pop","Warner Records",0.511,0.276,7,-13.755,1,0.0523,0.935,0.0954,0.134,0.582,89.425,4
