Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Q09JEsHAZhHOIPTqDGeB2,"Falling Asleep","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,108533,52,saaato11,2023-06-11T05:03:43Z,"alternative pop rock,pov: indie","Columbia",0.641,0.596,7,-5.953,1,0.0434,0.515,0.000011,0.0627,0.729,160.982,4
4ZwgD4frTwoDdOUsjyoqAJ,"Dancing In The Courthouse","Dancing In The Courthouse","Dominic Fike",2023-04-14,157563,45,saaato11,2023-06-11T05:03:52Z,"alternative pop rock,pov: indie","Columbia",0.571,0.758,2,-4.518,1,0.065,0.0879,0,0.326,0.723,76.503,4
78cZf7Lvdd4hZsIqOWze2Z,"Stay Close","Stay Close","Koastle,DLG.",2021-03-25,162127,55,saaato11,2023-06-11T05:04:08Z,"stutter house","2855052 Records DK2",0.752,0.427,5,-7.28,0,0.109,0.175,0.00278,0.306,0.387,93.877,4
3imYkN34og7muZbkSZWLUW,"Ms. Poli Sci","Ms. Poli Sci","Paul Russell,Khary",2022-11-11,128703,54,saaato11,2023-06-11T05:04:11Z,"indie r&b,indie hip hop,lo-fi rap,rhode island rap","Boom.Records",0.755,0.562,10,-6.828,0,0.174,0.146,0,0.0986,0.527,96.503,4
0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,75,saaato11,2023-06-11T05:04:31Z,"r&b,rap","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
7B3z0ySL9Rr0XvZEAjWZzM,"Sofia","Immunity","Clairo",2019-08-02,188386,77,saaato11,2023-06-11T05:04:51Z,"bedroom pop,indie pop,pov: indie","FADER Label",0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
2OgFs9fJXgbFsU8SPqAaBX,"Dimes","Dimes","Lyan Paris",2021-04-02,154838,27,saaato11,2023-06-11T05:05:30Z,"","LYAN PARIS",0.799,0.649,5,-5.463,0,0.0737,0.427,0,0.0933,0.717,124.035,4
2GBjsCkCpR5w8Zri9aE49H,"Interlude: I'm Not Angry Anymore","Paramore","Paramore",2013-04-05,52600,59,saaato11,2023-06-11T05:06:00Z,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock","Fueled By Ramen",0.469,0.309,7,-13.694,1,0.091,0.965,0,0.115,0.235,112.412,4
3FUWD1PXnb6wxRpxqEp1zc,"Let Go Today","Lenses","Shoffy",2018-11-16,182400,0,saaato11,2023-06-11T05:07:01Z,"chill pop,la pop","Otherground Records",0.84,0.193,8,-11.186,1,0.0696,0.182,0,0.173,0.204,99.99,4
4hJ0ragVrbVIghuuM6axt3,"Where Do We Go from Here?","Juicebox","Mac Ayres,DJ Harrison",2019-08-16,64224,29,saaato11,2023-06-11T05:07:39Z,"chill r&b","Dixon Court Records",0.756,0.618,7,-4.732,1,0.36,0.4,0.00000534,0.716,0.794,93.731,4
