Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
28aObvUAxXcEUMKW0zcpDA,"All Falls Down","All Falls Down","Drex Carter,Marcellus Juvann,G93",2019-10-18,160000,22,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap,indie hip hop,underground hip hop","Drex Carter",0.824,0.705,6,-7.948,1,0.314,0.376,0,0.0999,0.895,90.003,4
37dZtjUNjZP9Rkm7vivyWc,"OS47S","OS47S","Drex Carter,Kaelin Ellis",2019-08-16,182000,29,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.602,0.548,0,-10.589,0,0.106,0.447,0.0000335,0.092,0.159,132.051,4
7vMu4Xz9V2EUvewKHhZL5h,"Rain Pt. II","Rain Pt. II","Drex Carter",2018-11-24,92000,0,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.563,0.534,1,-10.784,1,0.416,0.692,0.00000147,0.118,0.399,80.597,1
3HE0OGGe1E0WnKeH0ePR6R,"Stunned","Stunned","Drex Carter",2018-10-26,240000,10,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.625,0.538,1,-6.811,1,0.376,0.69,0,0.0926,0.633,87.506,4
2QqepUGQ4S9gjRcYQmhPuF,"Rain","Rain","Drex Carter",2017-10-11,215587,19,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.817,0.612,7,-8.843,1,0.172,0.334,0,0.635,0.345,129.873,4
0qNpTiq8o69beSxgebCVgz,"This Life Comes Once","This Life Comes Once","Drex Carter",2018-03-30,183260,13,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.695,0.641,5,-12.22,1,0.266,0.082,0.00000117,0.0873,0.551,91.956,4
7E3T1kVIkvxVJJUx0xyaZd,"Gillyweed","Gillyweed","Drex Carter",2018-09-21,170816,0,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.529,0.478,1,-11.449,1,0.428,0.623,0,0.109,0.448,128.572,5
4eglTsBtUA5E2UtDVWLdjv,"Nagato","Nagato","Drex Carter,Snøw",2019-07-19,202742,31,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.705,0.507,1,-7.787,0,0.0423,0.752,0.000744,0.108,0.114,105.002,4
0AFmxuY039QJ7aNIeAID6N,"Nandina","Nandina","Drex Carter",2018-07-20,177000,0,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.831,0.458,7,-10.59,1,0.238,0.668,0,0.226,0.618,98.512,4
3ZxTkWhPPqkxVnVFv2OApL,"Stay Up","Stay Up","Drex Carter,Luser",2019-09-19,131971,13,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.661,0.809,2,-7.656,1,0.467,0.241,0,0.0977,0.139,174.032,4
2V1UjIW8DUV9jzpcOffRXk,"Go Wild","Go Wild","Drex Carter",2018-11-16,160090,0,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.855,0.566,1,-9.905,1,0.239,0.111,0,0.0868,0.83,119.972,4
10V96IBSJJjZPAS4fcKEmn,"Monday Mourning","Monday Mourning","Drex Carter",2018-05-14,120000,0,saaato11,2020-09-04T06:22:25Z,"sad lo-fi,sad rap","Drex Carter",0.767,0.537,5,-7.783,0,0.116,0.595,0,0.0862,0.632,87.497,4
19NbbdUbZjdbK3QJKd82Jc,"Hard Times","Any Moment","Young L3x",2018-10-19,188903,0,saaato11,2020-09-04T06:24:14Z,"boston hip hop","Young L3X, LLC",0.748,0.546,8,-8.054,0,0.168,0.446,0,0.143,0.694,77.485,4
2CWgsjHSIz6cNFiueadyQs,"clown (with Trevor Daniel)","everything means nothing","blackbear,Trevor Daniel",2020-08-21,148164,0,saaato11,2020-09-04T06:24:25Z,"alt z,pop,melodic rap","Beartrap / Alamo / Interscope Records",0.709,0.774,10,-4.797,1,0.069,0.12,0,0.208,0.393,94.013,4
39bs2V8huzcmWoeSlHKZeP,"1 SIDED LOVE","ANONYMOUS","blackbear",2019-04-26,170666,0,saaato11,2020-09-04T06:24:55Z,"alt z,pop","Beartrap/Alamo/Interscope",0.584,0.42,8,-7.827,1,0.0322,0.236,0,0.119,0.283,90.051,4
4uVslVnCNW0wkBxUmtqeVn,"i hope your whole life sux","cybersex","blackbear",2017-11-27,179186,0,saaato11,2020-09-04T06:25:14Z,"alt z,pop","Alamo Records / Interscope",0.699,0.645,1,-5.862,0,0.199,0.27,0,0.0686,0.696,133.942,4
5peXF38os4UT1lsfdoKMt5,"g2g ttyl (feat. THEY.)","cybersex","blackbear,THEY.",2017-11-27,181771,0,saaato11,2020-09-04T06:25:23Z,"alt z,pop,trap soul","Alamo Records / Interscope",0.63,0.382,3,-5.535,0,0.0558,0.471,0,0.176,0.554,97.706,5
38KsRHYE10bG0paU78gL9r,"me & ur ghost","everything means nothing","blackbear",2020-08-21,201398,0,saaato11,2020-09-04T06:26:24Z,"alt z,pop","Beartrap / Alamo / Interscope Records",0.742,0.679,7,-4.594,1,0.0259,0.0488,0,0.0754,0.856,100.041,4
0NBiC3zLXoBQXBjsbnbwJq,"Molly (feat. Brendon Urie of Panic at the Disco)","Professional Rapper","Lil Dicky,Brendon Urie",2015-07-31,244339,0,saaato11,2020-09-04T06:27:27Z,"comedy rap,indie pop rap,pop rap","CMSN",0.831,0.514,7,-6.695,1,0.0368,0.203,0.000156,0.115,0.397,114.94,4
5hpo6w8VtX1roDQzBQh89g,"who cares","nothings ever good enough","iann dior",2019-05-22,123115,0,saaato11,2020-09-04T06:27:40Z,"melodic rap","TenThousand Projects, LLC",0.779,0.442,1,-7.821,1,0.268,0.119,0,0.131,0.371,155.976,4
79DIpN8yn99s9u76pRzloJ,"ill come back to you","ill come back to you","Powfu,Sarcastic Sounds,Rxseboy",2020-05-12,134881,0,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap,lo-fi chill","Columbia",0.652,0.483,8,-9.964,0,0.291,0.658,0,0.393,0.372,75.987,4
0wp9mizTbcicvBPxRYcE2U,"My Mattress (feat. Powfu & Indii G.)","My Mattress (feat. Powfu & Indii G.)","Ouse,Powfu,Indii G.",2020-04-24,209918,0,saaato11,2020-09-04T06:29:49Z,"emo rap,sad lo-fi,sad rap,lo-fi chill","Alda Music",0.77,0.376,10,-9.985,1,0.0711,0.56,0.00000354,0.104,0.379,95.996,4
0JmaAWXXjqAlce46xjNl6y,"Days We Had","Days We Had","Powfu",2018-07-03,242808,44,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap","Independent",0.753,0.213,11,-16.195,1,0.0476,0.158,0.0196,0.0913,0.0994,129.987,4
6KA2YcsQZlQD8f8uvKjPXw,"Hear my thoughts","some boring love stories, pt. 4","Powfu",2019-11-12,137368,45,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap","powpow",0.667,0.446,5,-10.801,0,0.38,0.892,0,0.101,0.311,76.53,4
6hbK9zJUAlB5PYL15SzKtB,"Letters in December","Letters in December","Powfu,Rxseboy",2019-10-11,150000,44,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap","Pow",0.634,0.32,1,-9.514,1,0.093,0.911,0.000159,0.0859,0.41,79.931,4
2L2mNkEWo818IE4fKbnP0O,"Would Look Perfect","Letter's You Never Received","Powfu,Rxseboy",2019-07-18,149000,51,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap","867882 Records DK2",0.788,0.537,9,-4.966,0,0.107,0.844,0,0.117,0.434,85.03,4
7BdlyzVvOqmwPH9dYtZfsx,"Dead Eyes","Dead Eyes","Promoting Sounds,Powfu,Ouse",2019-11-08,219428,58,saaato11,2020-09-04T06:29:49Z,"lo-fi chill,sad lo-fi,sad rap,emo rap","Promoting Sounds",0.719,0.651,7,-5.872,1,0.0274,0.127,0,0.0762,0.289,104.956,4
25yup6WYnPoITrfzhkBLmt,"I Can't Sleep","Some Boring, Love Stories","Powfu,Sarcastic Sounds",2018-12-12,152500,57,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap,lo-fi chill","Independent",0.805,0.479,6,-9.238,0,0.363,0.182,0.00000341,0.346,0.363,80.454,4
1I2FEhKThjn3j9ymy4wJXY,"step into my life","some boring love stories, pt. 4","Powfu,sleep.ing",2019-11-12,202500,47,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap,lo-fi chill","powpow",0.739,0.527,7,-11.27,1,0.131,0.331,0,0.35,0.423,127.857,4
7sQhhSlMui3JOZ4s2j4IjM,"don't fall asleep yet","don't fall asleep yet","Powfu,ENRA",2020-02-05,146666,46,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap,lo-fi beats,lo-fi study","Powfu Productions",0.733,0.402,9,-8.774,1,0.0337,0.707,0,0.111,0.15,108.005,4
3p8iG863bPsafyReUXaqXO,"Breakfast With the Moon","Breakfast With the Moon","Powfu",2018-10-14,163108,46,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap","Independent",0.697,0.354,5,-15.064,1,0.206,0.892,0.00000248,0.0539,0.575,78.007,4
7eJMfftS33KTjuF7lTsMCx,"death bed (coffee for your head)","death bed (coffee for your head)","Powfu,beabadoobee",2020-02-08,173333,78,saaato11,2020-09-04T06:29:49Z,"sad lo-fi,sad rap,bedroom pop,bubblegrunge,indie pop,pov: indie","Columbia",0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4
5EZJdxADQvZVRptQqKy65U,"Nothing Wrong","Type-3 - EP","Higher Brothers,Harikiri",2018-02-27,160645,0,saaato11,2020-09-04T06:30:46Z,"chinese hip hop,sichuanese hip hop,chinese melodic rap","88rising Music / EMPIRE",0.825,0.67,1,-7.765,1,0.0702,0.0599,0,0.139,0.646,124.025,4
2c9iVAV8Vte2POKrVZFC02,"I Could Never Be Loved","I Could Never Be Loved","Powfu",2018-06-18,213942,49,saaato11,2020-09-04T06:31:45Z,"sad lo-fi,sad rap","Pow Records",0.911,0.255,8,-15.257,1,0.153,0.499,0.000246,0.0937,0.244,137.994,4
27PFddlTAXGmoH00WBxq29,"come back again","come back again","Drex Carter,Luser",2020-09-04,213818,26,saaato11,2020-09-04T06:32:57Z,"sad lo-fi,sad rap","Drex Carter + b&w sunlight",0.732,0.575,7,-8.16,1,0.0394,0.853,0.607,0.115,0.943,110.026,4
6A5CQvW8Z1bkphHVjDCCIy,"Drop in the Pond","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,92000,5,saaato11,2020-09-04T06:33:07Z,"sad lo-fi,sad rap","Drex Carter",0.314,0.773,10,-8.218,1,0.127,0.659,0,0.438,0.75,168.585,4
4UUBxfxA7qp1TxgfsvnbXb,"Angels","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,80151,3,saaato11,2020-09-04T06:33:14Z,"sad lo-fi,sad rap","Drex Carter",0.398,0.808,1,-7.919,0,0.324,0.515,0.0000297,0.833,0.61,172.425,4
5KK8U0qTmVlyaOnka8Sjfl,"Kool Aid & Golden Lemon","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,113765,4,saaato11,2020-09-04T06:33:22Z,"sad lo-fi,sad rap","Drex Carter",0.541,0.905,7,-6.39,0,0.334,0.632,0.0000374,0.607,0.375,172.129,4
2cKGnFeRZsWnACEmxqCpkm,"$$$","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,60354,3,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.399,0.74,0,-8.579,1,0.766,0.9,0.128,0.295,0.426,172.095,4
6ikluyt4J5r1AdcKunSqbr,"45-0","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,67764,5,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.541,0.71,10,-9.852,0,0.364,0.63,0,0.237,0.69,85.007,4
3vvC4rBjncECqi6ibWGAxz,"2AM","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,128000,12,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.533,0.671,8,-8.454,1,0.174,0.424,0.027,0.15,0.101,80.012,4
3F1zbuOwEeasuQ7U4s7kjB,"Last Boat Out","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,96000,4,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.579,0.667,7,-7.473,0,0.292,0.632,0,0.263,0.639,80.352,4
2pgpaddLVDYsf1jUnu8M4I,"Butterflies","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,108000,7,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.406,0.574,11,-7.947,0,0.14,0.852,0,0.117,0.187,79.507,4
3Gwejxh2OKqTPE0KOMMMRE,"Truman Show","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,91000,3,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.543,0.609,11,-9.612,0,0.454,0.259,0.00000426,0.156,0.4,75.537,4
43dD00XV0b8KZBR4Z3Zwme,"Glass","Pelican Bay Drive","Drex Carter,Kkami",2020-05-29,105000,3,saaato11,2020-09-04T06:33:35Z,"sad lo-fi,sad rap","Drex Carter",0.533,0.72,1,-10.94,1,0.386,0.627,0.00000139,0.411,0.84,84.753,4
3gJDgenxLephg09x86IxPs,"TEMPTATION","ALL-AMERIKKKAN BADA$$","Joey Bada$$",2017-04-07,244197,65,saaato11,2020-09-04T07:08:59Z,"conscious hip hop,hip hop,rap","Pro Era",0.775,0.707,10,-5.339,0,0.152,0.397,0,0.874,0.78,104.979,4
0Dp8tLOg4I1jNaB40H8atR,"Black Beetles","B4.DA.$$","Joey Bada$$",2015-01-20,230765,32,saaato11,2020-09-04T07:09:11Z,"conscious hip hop,hip hop,rap","Cinematic Music Group",0.446,0.798,1,-5.809,1,0.213,0.248,0.00000222,0.081,0.433,63.464,3
37buuTXfb3hblcsIYNiXlE,"thaw","THAW","Drex Carter,Kkami",2019-11-14,250339,5,saaato11,2020-09-04T08:14:44Z,"sad lo-fi,sad rap","THAW",0.466,0.338,4,-16.343,1,0.0517,0.982,0.923,0.201,0.0614,92.377,4
1nB5gMde8y4w2hylVcZW9n,"Bushwick Nights","Bushwick Nights","Drex Carter,Luser",2019-11-07,200000,4,saaato11,2020-09-04T08:14:55Z,"sad lo-fi,sad rap","Drex Carter",0.648,0.671,8,-7.358,1,0.25,0.671,0.000736,0.0946,0.852,78.939,4
6PDNKjDGsa5U1OVBr1AMm8,"Roosevelt","Almondize","Human Lee,Drex Carter",2020-05-29,279529,5,saaato11,2020-09-04T08:15:50Z,"sad lo-fi,sad rap","Human Lee",0.735,0.525,9,-8.446,1,0.33,0.31,0.0000203,0.224,0.488,170.017,4
0qMlX3MpuK4juE3h8bI3KA,"Red or Blue","Hidden Costs (Inspired by 'The Outlaw Ocean' a book by Ian Urbina)","Vhsceral,Ian Urbina,Drex Carter,K.Raydio",2020-06-05,212812,0,saaato11,2020-09-04T08:16:10Z,"chillhop,downtempo bass,sad lo-fi,sad rap","Synesthesia Media",0.522,0.646,11,-10.019,0,0.448,0.0906,0,0.133,0.533,127.932,4
7jahcsevTvePvdduUFVzpq,"CAROUSEL","WELCOME HOME","Aries",2019-04-18,161400,19,saaato11,2020-09-20T11:50:38Z,"","WUNDERWORLD",0.541,0.773,8,-5.671,1,0.0537,0.13,0,0.215,0.551,149.887,4
54476rOTjzF8srK5eq0Vsu,"wdym","wdym","gianni & kyle",2020-06-26,163555,0,saaato11,2020-09-23T01:14:38Z,"indie pop rap","hardpink records",0.766,0.377,11,-10.332,1,0.331,0.453,0.000011,0.129,0.602,134.99,4
0Uh4Hbg0iol0sM4Fc4kweA,"Questions","Nice Colors","khai dreams,Atwood",2018-05-17,116468,0,saaato11,2020-09-23T09:44:33Z,"lo-fi rap,pov: indie","Khai Dreams",0.65,0.534,9,-9.316,1,0.53,0.644,0,0.153,0.465,115.03,4
