Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4F1a462vK4YzOd75GR3CX6,"Show Me","Drive Slow","Mac Ayres,Chris Anderson",2017-08-11,200453,43,saaato11,2020-01-24T13:14:37Z,"chill r&b","Dixon Court Records",0.607,0.475,6,-9.612,1,0.0463,0.73,0.0231,0.16,0.448,171.713,4
0PwaDQfnz4J8WF8221gv7n,"Like Someone In Love","A Song For Every Moon","Bruno Major",2017-08-31,143888,0,saaato11,2020-01-24T13:15:10Z,"singer-songwriter pop","Bruno Major",0.597,0.462,10,-7.816,1,0.0597,0.649,0.00000728,0.11,0.377,71.578,4
33VQJLL7QWS0LUuF7r39Rq,"Calvin's Joint","Drive Slow","Mac Ayres,Declan Miers",2017-08-11,226298,45,saaato11,2020-01-24T13:15:32Z,"chill r&b","Dixon Court Records",0.676,0.657,8,-7.658,1,0.206,0.823,0.0121,0.117,0.281,94.388,4
58dSdjfEYNSxte1aNVxuNf,"Easy","Drive Slow","Mac Ayres",2017-08-11,314357,58,saaato11,2020-01-24T13:15:40Z,"chill r&b","Dixon Court Records",0.722,0.281,5,-7.487,1,0.104,0.373,0.00509,0.147,0.237,91.368,4
506O2O13slCAUEo6w8aqr8,"I'll Keep You Safe","I'll Keep You Safe","sagun",2017-10-06,185875,0,saaato11,2020-01-24T13:15:47Z,"lo-fi chill,sad lo-fi","Platoon",0.755,0.0625,7,-24.694,1,0.0555,0.945,0.816,0.178,0.462,114.984,4
63bAGRSSX2V1hhPSP2NpBC,"North Face","Analogue","ODIE",2018-04-06,196799,59,saaato11,2020-01-24T13:16:21Z,"canadian contemporary r&b","Unité Recordings / EMPIRE",0.802,0.382,10,-7.356,1,0.0312,0.792,0.163,0.0783,0.581,99.969,4
6nl32vTZsMv23myzbRSAea,"isohel","isohel","EDEN",2020-01-10,270677,29,saaato11,2020-01-24T13:16:58Z,"indie poptimism","MCMXCV LTD.",0.338,0.512,4,-9.596,1,0.11,0.786,0.00000393,0.819,0.203,89.15,4
23c9gmiiv7RCu7twft0Mym,"Who Hurt You?","Who Hurt You?","Daniel Caesar",2018-10-16,231964,69,saaato11,2020-01-24T13:17:32Z,"canadian contemporary r&b","Golden Child Recordings",0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,4
1boXOL0ua7N2iCOUVI1p9F,"Japanese Denim","Get You - Single","Daniel Caesar",2016-10-21,270846,77,saaato11,2020-01-24T13:17:39Z,"canadian contemporary r&b","Daniel Caesar",0.707,0.238,3,-8.818,1,0.0379,0.0905,0.00000242,0.0842,0.345,124.156,3
7zFXmv6vqI4qOt4yGf3jYZ,"Get You (feat. Kali Uchis)","Freudian","Daniel Caesar,Kali Uchis",2017-08-25,278179,83,saaato11,2020-01-24T13:17:45Z,"canadian contemporary r&b,colombian pop","Golden Child Recordings",0.658,0.294,4,-8.533,0,0.0321,0.422,0.000052,0.0749,0.358,74.038,4
