Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4RVwu0g32PAqgUiJoXsdF8,"Happier Than Ever","Happier Than Ever","Billie Eilish",2021-07-30,298899,81,saaato11,2021-08-30T09:24:35Z,"art pop,pop","Darkroom/Interscope Records",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
0hqJxaNkPQ3sPm1tvfPlAe,"Cry with you","Cry with you","Jeremy Zucker",2021-08-20,217044,0,saaato11,2021-08-30T09:25:24Z,"alt z,electropop,pop","Republic Records",0.51,0.307,2,-9.921,1,0.101,0.321,0.0000015,0.174,0.356,159.794,3
4cxwiuYJltrPeWr5FDDntO,"desire","summer,","Jeremy Zucker",2018-09-28,266760,39,saaato11,2021-08-30T09:27:54Z,"alt z,electropop,pop","Republic Records",0.623,0.236,7,-12.529,1,0.0485,0.844,0,0.377,0.349,137.938,4
0awuNCj9gwJEM0seER22DW,"CHICKEN TENDIES","CHICKEN TENDIES","Clinton Kane",2021-02-19,196844,54,saaato11,2021-08-30T09:30:19Z,"alt z,gen z singer-songwriter","Columbia",0.57,0.689,7,-6.242,1,0.147,0.358,0,0.0819,0.568,100.087,4
0HJcradz78FgjRWDNUYVdS,"Chances","Tourist","Athlete",2005-01-31,290826,0,saaato11,2021-08-30T09:30:45Z,"britpop","Chrysalis Records",0.558,0.498,11,-6.106,1,0.0268,0.356,0.0000169,0.155,0.168,109.981,4
5NvOZCjZaGGGL597exlQWv,"Line Without a Hook","Montgomery Ricky","Ricky Montgomery",2016-04-08,249586,78,saaato11,2021-08-30T09:31:25Z,"la indie,pop,pov: indie","Warner Records",0.432,0.652,8,-4.969,1,0.0285,0.262,0,0.258,0.507,190.028,3
6HTVZeVQ9J6Uiq6tHESxU9,"Welcome Home, Son","Ghost","Radical Face",2007-03-02,287634,69,saaato11,2021-08-30T09:32:03Z,"indie folk,jacksonville indie,stomp and holler","Bear Machine",0.586,0.494,6,-10.759,1,0.0307,0.723,0.789,0.142,0.401,144.973,3
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,76,saaato11,2021-08-30T09:34:24Z,"indie poptimism,modern alternative rock,modern rock,pov: indie","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
75On2eIcNhi815nZIY1B7i,"Another Day","Another Day","Guytano",2020-04-24,244912,18,saaato11,2021-08-30T09:35:15Z,"minneapolis indie","Guytano LLC",0.506,0.635,3,-6.402,1,0.0315,0.145,0,0.122,0.119,100.068,4
6d3D7jr11JnqlevjTZRysA,"Robbers","The 1975","The 1975",2013-01-01,254509,34,saaato11,2021-08-30T09:35:38Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.62,0.692,4,-6.859,1,0.029,0.00036,0.0000181,0.335,0.387,99.806,4
6VOY6Wu9mRPzLop8PwSJ9V,"Paris","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,293076,29,saaato11,2021-08-30T09:35:54Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.794,0.668,8,-6.516,1,0.0363,0.527,0.00107,0.076,0.85,117.014,4
64yrDBpcdwEdNY9loyEGbX,"21 Guns","21st Century Breakdown","Green Day",2009-05-15,321093,73,saaato11,2021-08-30T09:36:45Z,"modern rock,permanent wave,punk,rock","Reprise",0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
7iPlcFvOMOzt6v0QvcAueZ,"I Always Wanna Die (Sometimes)","A Brief Inquiry Into Online Relationships","The 1975",2018-11-30,314662,61,saaato11,2021-08-30T09:40:16Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.374,0.473,4,-5.636,1,0.0323,0.00522,0.00163,0.123,0.0398,148.946,4
44vXWYTcdrejrIQZEoHzl8,"Lights","Lights/Boy With Luv","BTS",2019-07-03,292773,53,saaato11,2021-08-30T09:42:00Z,"k-pop,k-pop boy group,pop","Universal Music LLC",0.625,0.663,5,-5.115,1,0.0302,0.112,0,0.105,0.398,98.998,4
7a7EIFzJLd7lcDRgThMQgm,"Wherever you are","Nicheシンドローム","ONE OK ROCK",2010-06-09,295600,62,saaato11,2021-08-30T09:42:51Z,"j-pop,j-rock","Aer-born",0.379,0.69,4,-4.79,1,0.0549,0.0286,0,0.335,0.288,173.716,4
3afkJSKX0EAMsJXTZnDXXJ,"Strawberries & Cigarettes","Strawberries & Cigarettes","Troye Sivan",2018-03-16,201538,74,saaato11,2021-08-30T09:43:23Z,"australian pop,pop,viral pop","EMI Recorded Music Australia Pty Ltd",0.578,0.537,9,-8.676,1,0.0832,0.162,0,0.076,0.25,83.909,4
0nhBKubnVz9yFNNprBniWz,"YOUTH","Blue Neighbourhood (Deluxe)","Troye Sivan",2015-12-09,185194,67,saaato11,2021-08-30T09:43:34Z,"australian pop,pop,viral pop","EMI Recorded Music Australia Pty Ltd",0.628,0.737,7,-4.437,1,0.041,0.0638,0,0.0777,0.591,91.505,4
0tnU8bI4cZkvdPzXRV7BA8,"SUBURBIA","Blue Neighbourhood (Deluxe)","Troye Sivan",2015-12-09,233759,39,saaato11,2021-08-30T09:44:02Z,"australian pop,pop,viral pop","EMI Recorded Music Australia Pty Ltd",0.49,0.621,8,-5.925,1,0.103,0.019,0,0.107,0.36,77.927,4
2fNi8T6DLiY9SxFnZrhOeV,"HEAVEN","Blue Neighbourhood (Deluxe)","Troye Sivan,Betty Who",2015-12-09,261114,45,saaato11,2021-08-30T09:44:20Z,"australian pop,pop,viral pop,australian dance,dance pop,electropop,metropopolis","EMI Recorded Music Australia Pty Ltd",0.529,0.725,8,-7.492,1,0.113,0.0751,0.0000239,0.09,0.332,144.013,4
0UV5zxRMz6AO4ZwUOZNIKI,"Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,76,saaato11,2021-08-30T09:47:45Z,"chamber pop,indie rock,modern folk rock,philly indie,pov: indie,seattle indie,stomp and holler","Anti/Epitaph",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267520,73,saaato11,2021-08-30T09:48:28Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
1UqhkbzB1kuFwt2iy4h29Q,"Cough Syrup","Young The Giant (Special Edition)","Young the Giant",2011,249520,67,saaato11,2021-08-30T09:48:55Z,"indietronica,modern alternative rock,modern rock,pov: indie,stomp and holler","Roadrunner Records",0.534,0.721,11,-7.307,0,0.0417,0.0343,0.00000624,0.115,0.225,128.978,3
5Ohxk2dO5COHF1krpoPigN,"Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,81,saaato11,2021-08-30T09:49:34Z,"pop","Columbia",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
3NM41PVVUr0ceootKAtkAj,"As the World Caves In","Bad Contestant","Matt Maltese",2018-06-08,218754,67,saaato11,2021-08-30T09:49:56Z,"indie anthem-folk,indie pop,pov: indie","Atlantic Records UK",0.327,0.449,10,-5.362,1,0.034,0.369,0.00444,0.22,0.179,123.969,4
5y3QjURtPq4V186jTPMA8Y,"Do Not Wait","Nothing Happens","Wallows",2019-03-22,390880,50,saaato11,2021-08-31T04:02:06Z,"pov: indie","Atlantic Records",0.23,0.473,4,-9.583,1,0.0303,0.0305,0.0133,0.161,0.0715,99.832,4
0LjJOf4NG2mLtlCkPdS453,"Divorce","Divorce","Michael Aldag",2021-05-26,250745,16,saaato11,2021-09-04T01:35:34Z,"","3Beat",0.361,0.625,7,-6.247,1,0.037,0.626,0,0.0841,0.205,70.101,4
7tMbZ0RGW0jFsBw7ipEPEV,"Someone To Stay","Someone To Stay","Vancouver Sleep Clinic",2016-11-04,254013,52,saaato11,2021-12-06T07:47:06Z,"vapor pop","Sony Music Entertainment",0.436,0.473,1,-7.24,1,0.0307,0.588,0.0000435,0.103,0.242,108.906,4
7LVHVU3tWfcxj5aiPFEW4Q,"Fix You","X&Y","Coldplay",2005-06-07,295533,82,saaato11,2021-12-06T09:46:11Z,"permanent wave,pop","Parlophone Records Limited",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4
3Pmb4dhpihcIBwdbL2r216,"Hate Me If It Helps","Hate Me If It Helps","Alexander 23",2022-02-10,194540,0,saaato11,2022-03-23T14:25:18Z,"alt z,singer-songwriter pop","Interscope Records",0.537,0.444,2,-8.822,1,0.275,0.263,0,0.141,0.594,161.84,4
5xwYRcY0NQnvc66fMgo5bE,"WHAT'S THE OCCASION?","ROADRUNNER: NEW LIGHT, NEW MACHINE","BROCKHAMPTON",2021-04-09,225026,38,saaato11,2022-09-25T08:37:06Z,"boy band,rap","Question Everything/RCA Records",0.61,0.553,1,-5.618,0,0.0407,0.348,0,0.313,0.164,77.548,4
5ajjAnNRh8bxFvaVHzpPjh,"Reckless","Reckless","Madison Beer",2021-06-04,203384,70,saaato11,2022-09-27T06:51:03Z,"pop","Epic/Sing It Loud",0.386,0.426,3,-6.642,1,0.0363,0.807,0,0.14,0.261,180.104,3
0dgrFwOa0RrFzWcM0azTzx,"The Good Part","The Click","AJR",2017-06-30,227266,56,saaato11,2022-09-27T06:51:31Z,"pov: indie","Black Butter",0.287,0.473,5,-3.551,1,0.034,0.0858,0.000044,0.383,0.577,186.283,4
4sRoiXZBLpiRIklm2wy0WZ,"Happier Than Ever","Happier Than Ever","Kelly Clarkson",2022-05-25,254725,54,saaato11,2022-09-27T07:22:06Z,"dance pop,pop,talent show","Atlantic Records",0.361,0.461,7,-6.435,0,0.0599,0.233,0,0.0971,0.183,162,3
5rYBgw7CHL5G4S6UJKOZ5H,"Blackphemy","Blackphemy","Yb.",2022-11-22,204771,23,saaato11,2023-01-08T05:52:41Z,"","GYROrecords",0.371,0.449,4,-8.719,1,0.0687,0.506,0.0825,0.09,0.279,80.028,4
04mAOoQNsXmDJlyupJwmkO,"Waiting Room","Lost Ark Studio Compilation, Vol. 8","Phoebe Bridgers",2016-08-12,393962,75,saaato11,2023-08-22T23:36:40Z,"indie pop,la indie,pov: indie","Randm Records",0.531,0.289,2,-10.065,1,0.0286,0.339,0.000358,0.134,0.12,129.753,4
26EjM7ZMAnWOKPAuKNOX24,"Laugh It Off","AUSTIN","Post Malone",2023-07-28,246503,54,saaato11,2023-08-26T12:06:08Z,"dfw rap,melodic rap,pop,rap","Mercury Records/Republic Records",0.494,0.54,9,-5.807,1,0.0407,0.0141,0.00000105,0.0792,0.248,152.115,4
2jhY8NlM4MMQtjiBYpofla,"Life's For The Living - Anniversary Edition","Life’s For The Living (Anniversary Edition)","Passenger,Foy Vance",2023-09-15,295533,21,saaato11,2023-09-15T23:25:35Z,"folk-pop,neo mellow,british singer-songwriter,indie folk,irish singer-songwriter,uk americana","Nettwerk Music Group",0.405,0.444,6,-7.345,1,0.0342,0.591,0,0.103,0.461,179.113,3
32FPFLjaoYds78ZWldtYW0,"Ultraviolet","Ultraviolet","Aidan Bissett",2023-09-01,205553,43,saaato11,2023-09-23T12:44:23Z,"gen z singer-songwriter","10K Projects/Capitol Records",0.607,0.781,8,-5.77,1,0.0318,0.0111,0,0.0615,0.487,94.972,4
