Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0jk6J6B9ivegJc7dTg10Mp,"Let Me Down","Ugly is Beautiful","Oliver Tree",2020-07-17,111209,54,saaato11,2020-11-29T12:43:47Z,"alternative hip hop","Atlantic Records",0.457,0.648,7,-5.762,1,0.0552,0.0114,0.0000169,0.212,0.736,160.021,4
7zRdwBjA7EI3DeAuLRbhRS,"Choose a Side","Imaginary Audience","Mindchatter",2020-10-21,235499,1,saaato11,2020-11-29T12:44:03Z,"proto-hyperpop","Mind of a Genius",0.769,0.242,11,-13.036,1,0.0738,0.622,0.00717,0.0969,0.304,89.996,4
1y5z73EvVijooGkv9puRw8,"Sink Into the Hips","Imaginary Audience","Mindchatter",2020-10-21,227824,3,saaato11,2020-11-29T12:44:10Z,"proto-hyperpop","Mind of a Genius",0.816,0.324,3,-12.122,0,0.0906,0.483,0.265,0.0958,0.823,166.067,4
1Xi84slp6FryDSCbzq4UCD,"Arcade","Arcade","Duncan Laurence",2019-03-07,183624,73,saaato11,2020-11-29T12:44:42Z,"dutch pop","Universal Music, a division of Universal International Music BV",0.459,0.331,9,-12.603,0,0.0421,0.817,0.00104,0.135,0.271,72.023,3
5E30LdtzQTGqRvNd7l6kG5,"Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,saaato11,2020-11-29T12:44:46Z,"modern alternative rock,modern rock,pop","Columbia",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
3XF5xLJHOQQRbWya6hBp7d,"you should see me in a crown","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,180952,75,saaato11,2020-11-29T12:45:14Z,"art pop,pop","Darkroom/Interscope Records",0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,4
7CoPLVZcDZbsUbfDdaYsk1,"Young God","BADLANDS (Deluxe)","Halsey",2015-08-28,180088,0,saaato11,2020-11-29T12:45:37Z,"electropop,etherpop,indie poptimism,pop","Universal Music Group",0.44,0.593,9,-6.521,0,0.0396,0.292,0.00000506,0.119,0.194,119.86,4
3jfr0TF6DQcOLat8gGn7E2,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,1,saaato11,2020-11-29T12:45:41Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
1OIYK9Ya6EgwJ4fMngrPcK,"Highway to Hell","Iron Man 2","AC/DC",2010-04-29,208920,52,saaato11,2020-11-29T12:45:45Z,"australian rock,hard rock,rock","Columbia",0.575,0.915,6,-4.845,0,0.132,0.0572,0.00248,0.123,0.465,115.768,4
6IRdLKIyS4p7XNiP8r6rsx,"all the good girls go to hell","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,168839,72,saaato11,2020-11-29T12:46:36Z,"art pop,pop","Darkroom/Interscope Records",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,4
6KfoDhO4XUWSbnyKjNp9c4,"Maniac","Kid Krow","Conan Gray",2020-03-20,185773,75,saaato11,2020-11-29T12:46:44Z,"bedroom pop,pop,pov: indie","Republic Records",0.628,0.639,8,-5.46,1,0.0435,0.00162,0,0.354,0.493,108.045,4
