Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
25Syi9wnfn6ZGAmiOBypPq,"Motion Sickness","Stranger in the Alps (Deluxe Edition)","Phoebe Bridgers",2018-10-02,229760,62,saaato11,2022-02-26T04:56:38Z,"indie pop,la indie,pov: indie","Dead Oceans",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
0y6kdSRCVQhSsHSpWvTUm7,"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Red (Taylor's Version)","Taylor Swift,Gary Lightbody",2021-11-12,299080,66,saaato11,2022-02-26T04:56:42Z,"pop,british singer-songwriter","Taylor Swift",0.502,0.534,2,-5.954,1,0.0278,0.0399,0,0.0977,0.155,94.05,4
52k6PTgqVCBHrLndNtutrC,"Apocalypse","Apocalypse","Cigarettes After Sex",2017-03-21,290146,0,saaato11,2022-02-26T04:57:49Z,"ambient pop,dream pop,el paso indie,shoegaze","PTKF",0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
2LXtyj95dK56ENS1QLt4IB,"Beach Baby","Blood Bank","Bon Iver",2009-01-20,160093,72,saaato11,2022-02-26T04:58:08Z,"chamber pop,eau claire indie,indie folk,melancholia,modern rock","Jagjaguwar",0.669,0.0809,0,-17.282,1,0.0365,0.983,0.41,0.114,0.0922,114.355,3
6VzcQuzTNTMFnJ6rBSaLH9,"Fine Line","Fine Line","Harry Styles",2019-12-13,377960,75,saaato11,2022-02-26T04:59:12Z,"pop","Columbia",0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,4
01K4zKU104LyJ8gMb7227B,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift,Phoebe Bridgers",2021-11-12,258812,69,saaato11,2022-02-26T04:59:58Z,"pop,indie pop,la indie,pov: indie","Taylor Swift",0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,4
4CxFN5zON70B3VOPBYbd6P,"you were good to me","brent","Jeremy Zucker,Chelsea Cutler",2019-05-03,219146,69,saaato11,2022-02-26T05:01:31Z,"alt z,electropop,pop","Republic Records",0.561,0.0848,2,-15.099,1,0.0404,0.913,0.0000262,0.112,0.206,102.128,4
0ThaVtdQ5zuAYLjvoT342v,"Killer","Stranger in the Alps","Phoebe Bridgers",2017-09-22,189213,55,saaato11,2022-02-26T05:01:38Z,"indie pop,la indie,pov: indie","Dead Oceans",0.326,0.127,0,-13.775,1,0.0368,0.972,0.00000563,0.113,0.076,171.668,5
3GhsBdS9ulPK3KCdwHRPhG,"Nothing's Gonna Hurt You Baby","I.","Cigarettes After Sex",2012-07-21,286293,1,saaato11,2022-02-26T05:02:52Z,"ambient pop,dream pop,el paso indie,shoegaze","Spanish Prayers",0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,4
19jTCAxeVnkwKnWHSsdg0i,"Lucky for You","No Fun / Lucky for You","Novo Amor,Gia Margaret",2019-03-01,136000,62,saaato11,2022-02-26T05:04:39Z,"ambient folk,indie folk,small room","AllPoints",0.529,0.31,10,-12.159,1,0.0388,0.928,0.514,0.102,0.73,177.972,4
7D0RhFcb3CrfPuTJ0obrod,"Sparks","Parachutes","Coldplay",2000-07-10,227093,84,saaato11,2022-02-26T05:05:27Z,"permanent wave,pop","Parlophone UK",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
2jTidefcsTu6VQhpIImJrt,"All I Want","In A Perfect World (Deluxe)","Kodaline",2013-06-14,305746,0,saaato11,2022-02-26T05:08:56Z,"irish pop,modern rock,neo mellow","B-Unique/RCA",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
2MvvoeRt8NcOXWESkxWn3g,"Ribs","Pure Heroine","Lorde",2013-09-27,258969,77,saaato11,2022-02-26T05:09:58Z,"art pop,metropopolis,nz pop,pop","Universal Music New Zealand Limited",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
0hLObGB9xRjuRVasHehmLI,"Truly Madly Deeply - Recorded at Spotify Studios NYC","Spotify Singles","Yoke Lore",2017-10-11,190392,0,saaato11,2022-02-26T05:11:42Z,"nyc pop","Big Indie Records",0.675,0.368,0,-14.072,0,0.0375,0.83,0.00158,0.136,0.176,106.004,4
3rJDsZjIaCfJQSqRUvl0BM,"Funeral","Stranger in the Alps","Phoebe Bridgers",2017-09-22,232373,66,saaato11,2022-02-26T05:15:29Z,"indie pop,la indie,pov: indie","Dead Oceans",0.218,0.263,11,-14.416,1,0.0376,0.947,0.00028,0.0919,0.307,170.724,4
4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267520,73,saaato11,2022-02-26T05:22:21Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
3ZBeHiRJUj1vdiU8zzGPgb,"WYD Now?","WYD Now?","Sadie Jean",2021-12-10,144666,64,saaato11,2022-02-26T05:23:50Z,"alt z,singer-songwriter pop","SELENE",0.378,0.334,1,-10.993,1,0.304,0.776,0,0.115,0.496,181.296,4
3aFw24ccuFNeOEqq8X4dt0,"Remember You","Remember You","Dominurmom",2021-08-27,168860,43,saaato11,2022-02-26T05:23:57Z,"","Dominurmom Music",0.353,0.391,5,-12.295,1,0.0318,0.199,0.00778,0.132,0.0802,139.617,4
7tMbZ0RGW0jFsBw7ipEPEV,"Someone To Stay","Someone To Stay","Vancouver Sleep Clinic",2016-11-04,254013,52,saaato11,2022-02-26T05:24:48Z,"vapor pop","Sony Music Entertainment",0.436,0.473,1,-7.24,1,0.0307,0.588,0.0000435,0.103,0.242,108.906,4
6gPPoRYJwCsoB2VVdPJfmo,"Miserable Man","Miserable Man","David Kushner",2022-01-07,232991,60,saaato11,2022-02-26T05:25:54Z,"gen z singer-songwriter,singer-songwriter pop","David Kushner",0.632,0.349,10,-10.289,1,0.0346,0.926,0.000075,0.294,0.307,109.981,4
7yTeopUxZZrDc31m6AfwWo,"Pick and Choose","Pick and Choose","Daniel Nunnelee",2022-02-04,163636,0,saaato11,2022-02-26T05:28:27Z,"nashville singer-songwriter","Daniel Nunnelee",0.627,0.269,10,-8.496,1,0.0323,0.857,0,0.11,0.29,65.978,4
18UsAG7SfOQ5sxJEdjAMH0,"Be My Mistake","A Brief Inquiry Into Online Relationships","The 1975",2018-11-30,256687,64,saaato11,2022-02-26T05:34:45Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.576,0.155,6,-14.405,1,0.0341,0.834,0.000137,0.0906,0.0946,109.843,3
5Ohxk2dO5COHF1krpoPigN,"Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,81,saaato11,2022-02-26T06:11:15Z,"pop","Columbia",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
3zwMVvkBe2qIKDObWgXw4N,"right where you left me - bonus track","evermore (deluxe version)","Taylor Swift",2021-01-07,245026,74,saaato11,2022-02-26T06:12:18Z,"pop","TS/Republic",0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,4
0KmgJyW4GDgonqsoyx0CZ3,"Astronomy","Astronomy","Conan Gray",2021-05-07,243907,60,saaato11,2022-02-26T06:16:43Z,"bedroom pop,pop,pov: indie","Republic Records",0.471,0.335,4,-8.767,0,0.0273,0.593,0.0000211,0.297,0.111,145.252,3
1K0AENxzuLi4M420wUlvPT,"Unrequited Love (& other clichés)","Unrequited Love (& other clichés)","Breakup Shoes",2018-03-01,286012,50,saaato11,2022-02-26T06:23:28Z,"tempe indie","Breakup Shoes",0.385,0.468,4,-9.588,1,0.0251,0.291,0.0293,0.0892,0.248,81.331,3
0qvzXomUDJVaUboy2wMfiS,"This Town","Flicker (Deluxe)","Niall Horan",2017-10-20,232852,77,saaato11,2022-03-18T11:01:10Z,"pop","Capitol Records (US1A)",0.677,0.401,9,-8.467,1,0.0308,0.712,0,0.116,0.195,111.825,4
6uvh0In7u1Xn4HgxOfAn8O,"Matilda","Harry's House","Harry Styles",2022-05-20,245964,75,saaato11,2022-07-07T13:35:19Z,"pop","Columbia",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
3vSLSOhE8HWBC2WiN0j0hD,"Nothing's the Same","Oh No, Not Again! - EP","Alexander 23,Jeremy Zucker",2021-02-19,175135,43,saaato11,2022-07-07T14:09:33Z,"alt z,singer-songwriter pop,electropop,pop","Interscope Records",0.736,0.308,11,-11.543,1,0.0421,0.492,0.00248,0.179,0.439,132.767,4
4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,28,saaato11,2022-07-07T14:09:43Z,"pop","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
6xGruZOHLs39ZbVccQTuPZ,"Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,69,saaato11,2022-07-07T14:10:00Z,"viral pop","88rising Music/Warner Records",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
4SqWKzw0CbA05TGszDgMlc,"I Love You So","I Love You So","The Walters",2014-11-28,160239,86,saaato11,2022-07-07T14:10:05Z,"chicago indie,pov: indie","Warner Records",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
3325MwcQJr4OL7Wq9D9TS9,"A song I wrote after therapy","A song I wrote after therapy","Harry Hudson",2022-06-22,185043,32,saaato11,2022-07-09T16:16:53Z,"pop r&b","Harry Hudson, LLC",0.641,0.416,5,-7.72,1,0.0253,0.764,0,0.184,0.446,107.974,4
0ltmioOsLQsL0OFgcPbdVi,"i saw you in a dream","Good At Falling","The Japanese House",2019-03-01,200304,51,saaato11,2022-11-28T10:41:41Z,"indie pop,indietronica,modern dream pop,pov: indie,vapor soul","Dirty Hit/The Japanese House PS",0.26,0.261,4,-9.651,1,0.0358,0.837,0,0.249,0.226,138.2,3
5MCgRLsVxWMMsHxtILZ7Or,"Charlie","This Kind of Thing Doesn’t Last","Sydney Rose",2022-11-11,231024,8,saaato11,2023-06-20T09:25:05Z,"gen z singer-songwriter","Public Consumption",0.394,0.294,0,-13.74,1,0.0423,0.818,0.000113,0.112,0.131,131.443,4
4fN0dQGDaV4Hg7Gd7mBOE0,"Rivers and Roads","The Head and the Heart","The Head And The Heart",2011-04-18,284000,0,saaato11,2023-06-25T12:02:18Z,"folk-pop,seattle indie,stomp and holler","Heavenly Recordings",0.499,0.198,0,-8.931,1,0.036,0.721,0.0000372,0.0755,0.165,131.622,3
7vRia9rlEuTDQxkfXIKySi,"It's Not The Same Anymore","Pony","Rex Orange County",2019-10-25,386200,60,saaato11,2023-07-27T10:47:21Z,"bedroom pop","Rex Orange County",0.666,0.317,5,-10.644,1,0.0327,0.873,0.0000374,0.111,0.359,117.676,4
7JIIY2oDPFkURYMCLJuzhe,"Elliot's Song - From Euphoria An HBO Original Series","Elliot's Song (From Euphoria An HBO Original Series)","Dominic Fike,Zendaya",2022-03-04,150320,58,saaato11,2023-07-27T10:47:41Z,"alternative pop rock,pov: indie,pop,post-teen pop","Columbia",0.394,0.327,4,-14.291,1,0.114,0.849,0,0.125,0.411,93.358,4
5Qnrgqy1pAm9GyNQOgyVFz,"Fourth of July","Carrie & Lowell","Sufjan Stevens",2015-03-31,279316,77,saaato11,2023-07-27T10:48:09Z,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter","Asthmatic Kitty",0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4
3rPVtXLBfJz59U1LgrGHhb,"Yours","Superache","Conan Gray",2022-06-24,204967,60,saaato11,2023-07-27T10:48:25Z,"bedroom pop,pop,pov: indie","Republic Records",0.523,0.302,2,-8.868,1,0.035,0.848,0,0.127,0.172,130.47,4
5l6hpyTGBK0LAAxgPnqTQL,"Look After You","How To Save A Life","The Fray",2005-09-13,266773,74,saaato11,2023-07-27T10:48:30Z,"neo mellow,piano rock,pop,pop rock","Epic",0.447,0.592,6,-3.015,0,0.0319,0.0575,0.00000447,0.13,0.283,78.039,4
