Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0xcFH3973DZauDkGnNjMgm,"HARD LOVE","H A R D L O V E","NEEDTOBREATHE",2016-07-15,214626,50,saaato11,2021-07-05T09:26:30Z,"ccm,christian alternative rock,christian indie,christian music,folk-pop","Atlantic Records",0.387,0.843,0,-4.221,0,0.0539,0.0231,0,0.503,0.378,168.149,4
5QFpcM0eYYVYcu2345e6QM,"Not Afraid","Recovery (Deluxe Edition)","Eminem",2010-06-18,248133,11,saaato11,2021-07-05T09:27:23Z,"detroit hip hop,hip hop,rap","Aftermath",0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,5
7bXvOMQ3UrcTS1dO9Ppzsg,"Sober Up (feat. Rivers Cuomo)","The Click","AJR,Rivers Cuomo",2017-06-30,218760,51,saaato11,2021-07-05T09:27:53Z,"pov: indie,alternative rock","Black Butter",0.647,0.616,5,-4.948,1,0.0272,0.277,0,0.0816,0.79,93.019,4
0tByDZgQzoNfFFmpgleB0s,"10/10","10/10","Rex Orange County",2019-09-12,146102,38,saaato11,2021-07-05T09:27:58Z,"bedroom pop","Rex Orange County",0.487,0.909,10,-4.091,1,0.102,0.301,0.000029,0.0803,0.293,187.783,4
15jRg8Ejs7X3JEHw38TSN3,"Team","Pure Heroine (Extended)","Lorde",2013-01-01,193058,0,saaato11,2021-07-05T09:28:13Z,"art pop,metropopolis,nz pop,pop","Universal Music New Zealand Limited",0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,4
7E3T1kVIkvxVJJUx0xyaZd,"Gillyweed","Gillyweed","Drex Carter",2018-09-21,170816,0,saaato11,2021-07-05T09:29:05Z,"sad lo-fi,sad rap","Drex Carter",0.529,0.478,1,-11.449,1,0.428,0.623,0,0.109,0.448,128.572,5
7hqedabBBaXpa2HpoxvkHh,"Sooner Or Later","Young Love","Mat Kearney",2011,236440,27,saaato11,2021-07-05T09:30:46Z,"acoustic pop,neo mellow","Aware Entertainment Inc/Universal Republic Records",0.539,0.912,9,-4.902,1,0.0369,0.0405,0.00133,0.105,0.495,151.001,4
3cWO4Moun8JYsXA0BcPLBC,"Netflix Trip","The Click","AJR",2017-06-30,237786,38,saaato11,2021-07-05T09:31:08Z,"pov: indie","Black Butter",0.463,0.734,7,-3.506,1,0.0436,0.0413,0,0.174,0.46,94.967,4
7aag0fFgE9K1Gj8lJwQaGI,"HAPPINESS","H A R D L O V E","NEEDTOBREATHE",2016-07-15,205773,47,saaato11,2021-07-05T09:31:42Z,"ccm,christian alternative rock,christian indie,christian music,folk-pop","Atlantic Records",0.575,0.765,9,-6.608,1,0.0345,0.00703,0,0.331,0.407,98.037,4
6OtCIsQZ64Vs1EbzztvAv4,"Good Life","Waking Up","OneRepublic",2009-01-01,253306,70,saaato11,2021-07-05T09:31:46Z,"piano rock,pop","Mosley / Interscope",0.634,0.69,6,-7.804,1,0.052,0.0771,0,0.132,0.645,94.988,4
7GtGeeChOx4NS77bqK8SUx,"Ready to Run","FOUR (Deluxe)","One Direction",2014-11-17,196053,64,saaato11,2021-07-05T09:31:57Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.524,0.831,2,-4.174,1,0.036,0.00229,0,0.171,0.299,115.067,4
5VjGZaZiYKS6jHJqVXMKq0,"Don't Forget Where You Belong","Midnight Memories","One Direction",2013-11-25,241000,0,saaato11,2021-07-05T09:32:01Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.54,0.711,7,-5.717,1,0.0255,0.103,0,0.0827,0.292,92.014,4
3tka6vtNbu9C2xsbthEkNG,"Hold On & Believe (feat. The Federal Empire)","Seven","Martin Garrix,The Federal Empire",2016-10-28,234389,37,saaato11,2021-07-05T09:32:34Z,"dutch edm,edm,pop,pop dance,progressive house,bossbeat,modern alternative rock","Epic Amsterdam",0.552,0.759,4,-4.946,1,0.0389,0.0355,0.0000667,0.099,0.41,128.08,4
0R4kSnvtg28SZkO3lrAFBX,"High Hopes","Meet The Vamps","The Vamps",2014-01-01,210466,5,saaato11,2021-07-05T09:34:15Z,"boy band,pop","EMI",0.646,0.477,6,-7.765,1,0.0357,0.702,0,0.0782,0.818,80.034,4
6tCsLAvknuypVnjq2fJwlB,"Make The Money","The Heist","Macklemore & Ryan Lewis",2012-10-10,224834,0,saaato11,2021-07-05T09:46:33Z,"pop rap,seattle hip hop","Macklemore",0.608,0.917,2,-5.993,0,0.27,0.167,0.0000139,0.366,0.462,88.733,4
0icgqJ0w9uKcxKkTRG262L,"Starting Over (feat. Ben Bridwell)","The Heist","Macklemore & Ryan Lewis,Ben Bridwell",2012-10-10,251196,0,saaato11,2021-07-05T09:46:36Z,"pop rap,seattle hip hop","Macklemore",0.537,0.873,6,-6.505,1,0.408,0.723,0.00946,0.684,0.644,164.074,4
1B87ZDrD3Pno9hS4stamWO,"Comin Out Strong (feat. The Weeknd)","HNDRXX","Future,The Weeknd",2017-07-27,254369,61,saaato11,2021-07-05T09:46:40Z,"atl hip hop,hip hop,rap,southern hip hop,trap,canadian contemporary r&b,canadian pop,pop","Epic/Freebandz/A1",0.628,0.481,1,-7.775,1,0.475,0.29,0,0.118,0.33,108.761,5
1PCvKFPWnTXAe2oaReVUcr,"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)","Globalization","Pitbull,Jennifer Lopez,Claudia Leitte",2014-11-21,222520,68,saaato11,2021-07-05T09:46:54Z,"dance pop,miami hip hop,pop,urban contemporary,axe,pop nacional,sertanejo universitario","Mr.305/Polo Grounds Music/RCA Records",0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013,4
6206Kvrl6LTMvDomHgEDMH,"Sweet Serendipity","Live It Up","Lee DeWyze",2010-11-12,198280,36,saaato11,2021-07-05T09:47:11Z,"idol","RCA Records Label",0.456,0.873,10,-3.545,1,0.0365,0.00651,0,0.104,0.759,188.063,4
6gFPdkLitG8mpiWKKZ3lgE,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer Essentials","Major Lazer,Justin Bieber,MØ",2018-10-19,185351,0,saaato11,2021-07-05T09:47:19Z,"dance pop,edm,electro house,moombahton,pop,pop dance,canadian pop,danish pop,electropop","WM Australia",0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,4
3XOMgW4jVBP3c4LFqe7pH3,"Hey Brother","True","Avicii",2013-01-01,255093,24,saaato11,2021-07-05T09:47:26Z,"dance pop,edm,pop,pop dance","Universal Music AB",0.546,0.78,7,-4.867,0,0.0435,0.0309,0.0000464,0.0828,0.458,125.017,4
5M9jOReAKGZ2AttVefFjTY,"Don't Look Down (feat. Usher)","Don't Look Down (feat. Usher)","Martin Garrix,USHER",2015-03-17,223139,60,saaato11,2021-07-05T09:47:43Z,"dutch edm,edm,pop,pop dance,progressive house,atl hip hop,contemporary r&b,dance pop,r&b,rap,south carolina hip hop,urban contemporary","Spinnin' Records/RCA Records",0.575,0.831,0,-5.972,1,0.0356,0.00406,0.000449,0.111,0.377,127.991,4
