Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Sjg6cp8yXtKX5DrcEl7HV,"Landmine","AUSTIN","Post Malone",2023-07-28,184607,50,saaato11,2024-11-29T11:55:56Z,"dfw rap,melodic rap,pop,rap","Mercury Records/Republic Records",0.315,0.559,8,-6.995,1,0.0332,0.0384,0.000348,0.135,0.206,171.872,4
73CKjW3vsUXRpy3NnX4H7F,"Fake Plastic Trees","The Bends","Radiohead",1995-03-13,290706,72,saaato11,2024-12-06T06:58:24Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,4
10nyNJ6zNy2YVYLrcwLccB,"No Surprises","OK Computer","Radiohead",1997-05-28,229120,81,saaato11,2024-12-06T06:58:24Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4
5sA3i6SGkILMiZW6Fhx4wv,"the way things go","the way things go","beabadoobee",2023-07-18,187800,78,saaato11,2024-12-06T06:58:38Z,"bedroom pop,bubblegrunge,indie pop,pov: indie","Dirty Hit",0.528,0.513,9,-8.266,1,0.0306,0.848,0.0127,0.326,0.463,131.952,4
2k8Aje1OtMsZLxLfNH4C54,"Leaving Toronto","Dunya","Mustafa,Daniel Caesar",2024-09-27,248093,48,saaato11,2024-12-06T06:58:46Z,"chill pop,canadian contemporary r&b","Jagjaguwar",0.398,0.248,8,-12.88,1,0.0526,0.906,0.0000166,0.13,0.455,135.55,3
7fyG2MquxykO3Ufiku1Dj2,"Treehouse","Treehouse","Alex G,Emily Yacina",2011-01-17,158801,79,saaato11,2024-12-06T06:58:55Z,"philly indie,pov: indie,slacker rock,small room","Alex G & Emily Yacina",0.612,0.196,7,-19.489,0,0.0359,0.706,0.319,0.111,0.142,73.489,4
7oDFvnqXkXuiZa1sACXobj,"The Bends","The Bends","Radiohead",1995-03-13,246200,60,saaato11,2024-12-10T09:20:21Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.23,0.755,7,-8.065,1,0.0658,0.0115,0.141,0.363,0.312,91.608,4
4yXKLDrHYrffSVmQOFdbDA,"Scott Pilgrim vs. My GPA","Best Buds","Mom Jeans.",2016-07-03,239597,74,saaato11,2024-12-11T14:18:01Z,"alternative emo,diy emo,emo,indie punk,north carolina emo","Mom Jeans. and Many Hats Distribution with Sequel Music Group",0.296,0.494,6,-10.49,1,0.037,0.0715,0.0507,0.108,0.175,163.669,3
2p6hbwOB2u5hI4Uc8FDNL3,"Wonderin’ Bout The Wind","Dangerous: The Double Album","Morgan Wallen",2021-01-08,182226,58,saaato11,2024-12-12T09:03:59Z,"contemporary country","Big Loud / Republic",0.481,0.715,6,-5.626,1,0.0334,0.244,0,0.133,0.395,90.966,4
44IWpUuCig9augdRpR9B1S,"Estrella Fugaz","Estrella Fugaz","DL Blando,Marc Seguí,NAVN",2022-09-16,226455,18,saaato11,2024-12-22T07:01:47Z,"urbano espanol,spanish pop","DL Blando",0.483,0.72,9,-7.505,0,0.0466,0.26,0,0.17,0.371,159.999,4
29Ke83VgW4Bb2eI2LgT9Pc,"my favorite band - voice note","voice notes","Sydney Rose",2024-11-22,172222,30,saaato11,2024-12-24T13:49:57Z,"gen z singer-songwriter","Many Hats Distribution",0.441,0.267,9,-14.18,1,0.0757,0.603,0.00137,0.16,0.164,77.612,4
4Y4IjuPcNAma7vlKRrwAcy,"walking words.","walking words.","bendziis",2024-08-17,225957,16,saaato11,2024-12-24T13:49:57Z,"","6725377 Records DK",0.801,0.435,3,-14.335,0,0.157,0.235,0.00845,0.134,0.977,139.928,4
5rPNVwYjVEgkq6YNPki4Zc,"BABYDOLL","BABYDOLL","Ari Abdul",2022-02-22,196235,73,saaato11,2024-12-24T13:49:57Z,"dark r&b,sped up","Not specified",0.485,0.585,11,-5.097,0,0.0359,0.0483,0.0113,0.489,0.51,84.941,4
1CxtymiucDK0AB9vgGZ6q2,"J’comprends pas","Que la famille","PNL",2015-03-02,283493,70,saaato11,2024-12-24T13:49:57Z,"french hip hop,pop urbaine","Pnl",0.373,0.523,1,-9.111,1,0.041,0.228,0.0171,0.111,0.0398,104.959,4
