Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
68rVGSTnCiFOET9k5Vd8Se,"parents","the underrated youth","YUNGBLUD",2019-10-18,171880,59,saaato11,2021-12-29T05:47:15Z,"british indie rock,modern rock,pov: indie,rock","Locomotion Recordings/Geffen Records",0.618,0.823,7,-4.76,1,0.0447,0.0132,0,0.288,0.58,82.004,4
3r0Z9mtGyrNXjWkgC8J40C,"love song","a weird! af valentine's day","YUNGBLUD",2021-02-12,240206,14,saaato11,2021-12-29T05:47:15Z,"british indie rock,modern rock,pov: indie,rock","UME - Global Clearing House",0.292,0.522,9,-5.526,1,0.0364,0.206,0,0.116,0.388,177.323,3
1AdYZ6X00nXmO613Y7GJOl,"I Miss You","blink-182","blink-182",2003-11-01,227250,66,saaato11,2021-12-29T05:47:31Z,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk","Geffen",0.423,0.714,11,-8.295,1,0.045,0.00113,0.00000628,0.0855,0.593,110.017,4
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In","So Wrong, It's Right","All Time Low",2007-09-25,182826,75,saaato11,2021-12-29T05:47:46Z,"modern rock,neon pop punk,pop punk","Hopeless Records",0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4
0tyR7Bu9P086aWBFZ4QJoo,"Monsters (feat. blackbear)","Wake Up, Sunshine","All Time Low,blackbear",2020-04-03,174067,67,saaato11,2021-12-29T05:48:10Z,"modern rock,neon pop punk,pop punk,alt z,pop","Fueled By Ramen",0.369,0.845,0,-3.449,0,0.0611,0.0493,0,0.416,0.782,78.532,4
1ONoPkp5XIuw3tZ1GzrNKZ,"Miserable At Best","A Lesson In Romantics","Mayday Parade",2007-07-10,316986,52,saaato11,2021-12-29T05:48:26Z,"neon pop punk,pop emo,pop punk","Fearless Records",0.489,0.364,2,-10.672,1,0.03,0.572,0,0.108,0.377,135.352,4
37nxqDCWJSsBYLQO8QURBz,"Anywhere but Here","Anywhere but Here","Mayday Parade",2009-10-05,190640,42,saaato11,2021-12-29T05:49:08Z,"neon pop punk,pop emo,pop punk","Fearless Records",0.414,0.946,4,-3.419,1,0.0856,0.00135,0,0.278,0.42,165.015,4
2OYTFaOB4D1bWLXaT5mrfH,"I Swear This Time I Mean It","Anywhere but Here","Mayday Parade",2009-10-05,241106,42,saaato11,2021-12-29T05:49:15Z,"neon pop punk,pop emo,pop punk","Fearless Records",0.423,0.548,7,-6.742,1,0.0278,0.426,0,0.0781,0.398,141.062,4
0dQVYG5kXtmlDi9haVuQ6T,"The Great Escape","Boys Like Girls","BOYS LIKE GIRLS",2006-01-03,206520,44,saaato11,2021-12-29T05:49:51Z,"neon pop punk,pop punk","Columbia/Red Ink",0.423,0.94,1,-4.012,0,0.0635,0.00166,0,0.178,0.505,149.934,4
3rEwGRmPVVudVjqdgv0tRR,"If It Means A Lot To You","Homesick","A Day To Remember",2009-02-03,243226,66,saaato11,2021-12-29T05:50:02Z,"alternative metal,metalcore,neon pop punk,pop punk,screamo","Victory Records",0.584,0.536,10,-8.158,1,0.0279,0.112,0,0.456,0.441,127.001,4
6yluLIF5UowR56bZgIwd69,"title track","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,165967,41,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.268,0.829,7,-5.17,1,0.101,0.00107,0,0.157,0.351,199.886,4
26gSBcw01jGFdkbWY5Plei,"kiss kiss","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,138097,41,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.569,0.85,1,-5.134,1,0.055,0.000279,0,0.337,0.769,162.061,4
7eTXHE3XiucigdrYHrXpZK,"drunk face","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,143900,43,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.691,0.77,7,-4.578,0,0.0367,0.0282,0,0.497,0.344,90.024,4
7FfCyM2CMWorArcWFtQ7ZX,"bloody valentine","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,205158,44,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.533,0.858,2,-4.212,1,0.0766,0.00021,0,0.148,0.506,160.057,4
1UJvaNw3UufXObCph26Li9,"forget me too (feat. Halsey)","Tickets To My Downfall (SOLD OUT Deluxe)","mgk,Halsey",2020-09-29,171620,44,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap,electropop,etherpop,indie poptimism,pop","Bad Boy/Interscope Records",0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,4
5Vx0dXQM4yRn8jf87406Op,"all I know (feat. Trippie Redd)","Tickets To My Downfall (SOLD OUT Deluxe)","mgk,Trippie Redd",2020-09-29,129142,41,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap,melodic rap,rap,trap","Bad Boy/Interscope Records",0.712,0.624,9,-6.911,1,0.067,0.0342,0.0000491,0.0919,0.335,77.471,4
4cJMTTVlG4zefUr4mNITuQ,"lonely","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,190142,41,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.455,0.728,6,-6.62,0,0.0749,0.015,0.0000474,0.111,0.461,165.948,3
3IoyR0WTLcC8NsudZKh37e,"WWIII","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,59739,36,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.435,0.932,4,-3.652,1,0.148,0.0000747,0.00000131,0.12,0.812,160.084,4
2N2q2P0N86ZNS6mKYXoojf,"concert for aliens","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,160222,40,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.507,0.951,11,-2.999,1,0.0586,0.00032,0,0.33,0.692,95.016,4
2pIAlUHOhM9ijF4kJr7ZNY,"my ex's best friend (with blackbear)","Tickets To My Downfall (SOLD OUT Deluxe)","mgk,blackbear",2020-09-29,139460,42,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap,alt z,pop","Bad Boy/Interscope Records",0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939,4
7EAvqzE3B4S53jH1bjkuCe,"jawbreaker","Tickets To My Downfall (SOLD OUT Deluxe)","mgk",2020-09-29,117579,39,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap","Bad Boy/Interscope Records",0.707,0.576,2,-5.665,1,0.0364,0.000615,0,0.405,0.632,128.08,4
5jlivIdjjp1pP5HvN0J0QI,"nothing inside (feat. iann dior)","Tickets To My Downfall (SOLD OUT Deluxe)","mgk,iann dior",2020-09-29,172234,41,saaato11,2021-12-29T05:51:41Z,"ohio hip hop,pop rap,melodic rap","Bad Boy/Interscope Records",0.561,0.81,8,-4.754,0,0.0461,0.00047,0,0.157,0.508,87.5,4
