Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0GT5m0eIa0OATOECdQtcsk,"Listen (featuring Avril Lavigne)","Ambitions","ONE OK ROCK,Avril Lavigne",2017-01-11,218992,41,saaato11,2024-06-08T12:13:42Z,"j-pop,j-rock,canadian pop,candy pop,dance pop,pop","Aer-born",0.442,0.907,1,-4.593,1,0.0551,0.0185,0.0000106,0.199,0.439,168.091,4
62i2LI6iDmAHbE9H9wa99z,"One Way Ticket","Ambitions","ONE OK ROCK",2017-01-11,216970,50,saaato11,2024-06-08T12:13:42Z,"j-pop,j-rock","Aer-born",0.47,0.738,8,-4.641,1,0.0398,0.385,0.000621,0.0656,0.488,97.973,4
1P3cdB5wydoRlTFRz0bNLO,"Take what you want (featuring 5 Seconds of Summer)","Ambitions","ONE OK ROCK,5 Seconds of Summer",2017-01-11,244150,48,saaato11,2024-06-08T12:13:42Z,"j-pop,j-rock,boy band,pop","Aer-born",0.507,0.865,5,-4.024,1,0.0864,0.0161,0,0.262,0.459,118.016,4
79oyoDlPustmUs5yIlhbBI,"Letting Go","Eye of the Storm","ONE OK ROCK",2019-02-13,200253,47,saaato11,2024-06-08T12:13:50Z,"j-pop,j-rock","A-Sketch",0.79,0.688,9,-6.272,1,0.0697,0.324,0.0000496,0.0862,0.44,98.012,4
3VESewT7ERH2wtE5OyuKWH,"In the Stars (feat. Kiiara)","Eye of the Storm","ONE OK ROCK,Kiiara",2019-02-13,204013,42,saaato11,2024-06-08T12:14:01Z,"j-pop,j-rock,alt z,electropop","A-Sketch",0.597,0.785,0,-4.115,1,0.0617,0.446,0,0.0821,0.193,157.974,4
6PM8wi7Z9LnM426pJT47kY,"Let Me Let You Go","Luxury Disease","ONE OK ROCK",2022-09-09,180211,48,saaato11,2024-06-08T12:14:23Z,"j-pop,j-rock","WM Japan",0.547,0.827,5,-3.794,1,0.0487,0.0102,0,0.0905,0.717,96.101,4
7a7EIFzJLd7lcDRgThMQgm,"Wherever you are","Nicheシンドローム","ONE OK ROCK",2010-06-09,295600,62,saaato11,2024-06-08T12:15:31Z,"j-pop,j-rock","Aer-born",0.379,0.69,4,-4.79,1,0.0549,0.0286,0,0.335,0.288,173.716,4
5zYVPAQey14E2Dqw2vrBhU,"Closer - Tokyo Remix","Closer (Tokyo Remix)","The Chainsmokers,Mackenyu Arata",2020-02-06,246786,28,saaato11,2024-06-08T12:17:18Z,"pop","Disruptor Records/Columbia",0.723,0.539,8,-5.149,1,0.0391,0.308,0,0.109,0.635,95.001,4
39HrUxcvKF3jtLz7fUDWXc,"First Love","First Love","Hikaru Utada",1999-03-10,257293,67,saaato11,2024-06-08T12:18:54Z,"anime,classic j-pop,j-pop,japanese singer-songwriter","Universal Music LLC",0.438,0.434,7,-8.37,1,0.0371,0.122,0,0.15,0.195,179.913,4
5e9Zbrqdx6OgmHgG9Rhn0w,"Overthink","Overthink","Wez Atlas",2020-04-15,208050,14,saaato11,2024-06-08T12:25:39Z,"japanese r&b","Solgasa",0.849,0.385,10,-8.616,0,0.172,0.833,0.00000196,0.113,0.482,84.967,4
