Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2oiixB9QMIzhWaHGVlQx4g,"Yandel 150","Yandel 150","Yandel,Feid",2022-12-20,216148,69,saaato11,2023-07-09T15:25:44Z,"latin hip hop,reggaeton,trap latino,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano","La Leyenda LLC",0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
3k3NWokhRRkEPhCzPmV8TW,"Ojitos Lindos","Un Verano Sin Ti","Bad Bunny,Bomba Estéreo",2022-05-06,258298,80,saaato11,2023-07-09T15:25:44Z,"reggaeton,trap latino,urbano latino,cumbia,latin alternative,latin rock,pop electronico,tropical alternativo","Rimas Entertainment LLC",0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,4
6pD0ufEQq0xdHSsRbg9LBK,"un x100to","un x100to","Grupo Frontera,Bad Bunny",2023-04-17,194563,75,saaato11,2023-07-09T15:25:44Z,"musica chihuahuense,reggaeton,trap latino,urbano latino","Rimas Entertainment LLC.",0.569,0.724,6,-4.076,0,0.0474,0.228,0,0.27,0.562,83.118,4
6YZdkObH88npeKrrkb8Ggf,"DUELE EL CORAZON (feat. Wisin)","DUELE EL CORAZON (feat. Wisin)","Enrique Iglesias,Wisin",2016-04-18,199693,64,saaato11,2023-07-09T15:25:49Z,"dance pop,latin pop,mexican pop,reggaeton,urbano latino","RCA Records/Sony Music International/Sony Music Latin",0.716,0.908,8,-3.254,0,0.103,0.0858,0,0.135,0.869,91.03,4
7nKBxz47S9SD79N086fuhn,"SUBEME LA RADIO","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias,Descemer Bueno,Zion & Lennox",2017-02-24,207680,66,saaato11,2023-07-13T08:44:27Z,"dance pop,latin pop,mexican pop,cubaton,reggaeton,urbano latino","RCA Records/Sony Music International/Sony Music Latin",0.688,0.822,0,-3.304,1,0.0537,0.0642,0,0.241,0.66,91.011,4
3NqBxTOMCJ3zW9CIP51td4,"Jugaste y Sufrí","Corta Venas","Eslabon Armado,DannyLux",2020-12-18,275194,72,saaato11,2023-07-20T06:18:37Z,"corrido,corridos tumbados,sad sierreno,sierreno","DEL Records",0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,1
3IBD4k04mnCYJ3R7iKDGN6,"Nunca Es Suficiente","DESVELADO","Eslabon Armado",2023-04-28,293292,44,saaato11,2023-07-20T06:35:18Z,"corrido,corridos tumbados,sad sierreno,sierreno","DEL Records",0.712,0.477,5,-6.972,0,0.0271,0.137,0,0.11,0.308,135.001,4
5GJwAcRGDvzf51pLicIjjb,"MENTIROSA","MENTIROSA","Micah Palace",2023-02-24,121275,44,saaato11,2023-07-20T17:35:32Z,"","Micah Palace",0.825,0.664,6,-4.488,1,0.0439,0.421,0,0.0994,0.673,94.977,4
5sO5U27s6EUGMBj4fkqUyz,"Te Quiero","Te Quiero","Los Temerarios",1990-06-01,192800,66,saaato11,2023-07-25T11:13:04Z,"grupera,musica mexicana","Virtus Inc.",0.563,0.334,2,-13.963,1,0.0292,0.507,0.0000289,0.0995,0.412,79.168,4
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo",2022-07-06,198937,79,saaato11,2023-08-27T15:06:57Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,rap canario","DALE PLAY Records",0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
