Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4cluDES4hQEUhmXj6TXkSo,"What Makes You Beautiful","Up All Night","One Direction",2012-05-25,199986,84,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,4
3jJ5NJ3aNWvV70Rd7hgZIH,"Gotta Be You","Up All Night","One Direction",2012-05-25,244506,64,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.495,0.583,8,-4.531,1,0.0249,0.374,0,0.0781,0.603,84.969,4
5G2c6FsfTzgYUzageCmfXY,"One Thing","Up All Night","One Direction",2012-05-25,197600,72,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.713,0.718,2,-3.806,1,0.0278,0.00233,0,0.0838,0.656,126.999,4
0UAB340gAcSMk3r0a8PTag,"More Than This","Up All Night","One Direction",2012-05-25,229106,65,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.498,0.715,0,-4.446,1,0.0315,0.0607,0,0.274,0.225,151.809,4
1I93YiKgu2P5pwprWmziPI,"Up All Night","Up All Night","One Direction",2012-05-25,194693,63,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.606,0.929,0,-2.182,1,0.055,0.023,0,0.101,0.622,139.022,4
5bODPM8nTwwTIE4W9fuUcC,"I Wish","Up All Night","One Direction",2012-05-25,216946,60,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.62,0.872,7,-3.123,1,0.0347,0.00914,0,0.111,0.299,124.044,4
6N5ruusDFjQPYvCka8ejwP,"Tell Me a Lie","Up All Night","One Direction",2012-05-25,198053,57,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.561,0.898,7,-4.722,1,0.056,0.000165,0.0000186,0.327,0.638,133.965,4
4K0M12PIWJjA4H0NAP142y,"Taken","Up All Night","One Direction",2012-05-25,237706,59,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.507,0.868,2,-5.204,1,0.0305,0.00387,0,0.413,0.684,95.035,4
5MIMD5WMooNWe8QsMqCrE8,"I Want","Up All Night","One Direction",2012-05-25,173586,58,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.674,0.814,7,-2.814,1,0.0391,0.0182,0,0.079,0.491,128.092,4
2EpTKW1O5Zmok99BzQOi9D,"Everything About You","Up All Night","One Direction",2012-05-25,217453,56,saaato11,2021-09-30T12:23:38Z,"boy band,pop,post-teen pop,talent show","Syco Music UK",0.644,0.799,7,-3.575,1,0.0366,0.0136,0,0.0811,0.79,130.051,4
