Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0GNVXNz7Jkicfk2mp5OyG5,"Stick Season","Stick Season","Noah Kahan",2022-07-08,182346,63,saaato11,2023-06-22T09:05:30Z,"pov: indie,singer-songwriter pop","Mercury Records/Republic Records",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
0caJ2wkqp4UmXBwdR2JvB5,"Dial Drunk","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,213817,69,saaato11,2023-06-22T09:05:30Z,"pov: indie,singer-songwriter pop","Mercury Records/Republic Records",0.698,0.59,8,-7.596,1,0.0299,0.0875,0,0.115,0.628,112.083,4
3yn01PcU95PTbiZ3xvop2j,"Call Your Mom","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,278670,76,saaato11,2023-06-22T09:05:42Z,"pov: indie,singer-songwriter pop","Mercury Records/Republic Records",0.485,0.215,0,-12.124,1,0.0348,0.703,0.00000355,0.115,0.159,172.122,4
2Ys3c2UaD2RTeD9wA3TEQn,"Where The Skies Are Blue","LOVE","The Lumineers",2021-08-04,140120,0,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","UME - Global Clearing House",0.57,0.477,9,-6.577,1,0.0277,0.862,0.000485,0.0643,0.552,132.428,4
46s1fV4IkamvXSYgyPqJvi,"It Wasn't Easy To Be Happy For You","LOSS","The Lumineers",2021-08-11,214066,0,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","UME - Global Clearing House",0.764,0.373,2,-5.321,1,0.0302,0.856,0,0.0949,0.379,89.1,4
5NORWMFC27ywGSZxi8uquP,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,21,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,4
1K3LRUEcUz5FMtPYyg0F45,"Ho Hey","The Lumineers (Deluxe Edition)","The Lumineers",2012,163133,21,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.682,0.471,0,-9.182,1,0.0302,0.768,0,0.0908,0.421,79.907,4
5bzf1xrbqr1ttjAJuRz2xY,"Cleopatra","Cleopatra","The Lumineers",2016-04-08,201413,12,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.536,0.775,8,-6.765,1,0.0394,0.228,0.000142,0.0947,0.485,151.39,4
6X0OpZij7I99x2ZXQZHfRj,"Dead Sea","The Lumineers (Deluxe Edition)","The Lumineers",2012,247933,2,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.711,0.319,0,-11.212,1,0.0277,0.801,0.00000211,0.202,0.493,94.042,4
7fRPmHOjj4BlSH78DvLEQT,"WHERE WE ARE","WHERE WE ARE (Acoustic)","The Lumineers",2022-03-16,172800,15,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.573,0.507,11,-8.084,1,0.0342,0.759,0.00000137,0.377,0.363,123.183,4
7x46YkKAwp3yZpaa72n5Mu,"Stubborn Love","The Lumineers (Deluxe Edition)","The Lumineers",2012,279000,13,saaato11,2023-06-22T09:06:20Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.596,0.544,0,-11.759,1,0.0362,0.604,0.0176,0.262,0.262,115.023,4
