Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0mK2lMtu6txTZWRb1p3N0V,"Move It","Move It","Pete & Bas",2022-11-18,156000,1,saaato11,2022-11-23T23:02:40Z,"","Independent",0.719,0.915,2,-3.087,1,0.252,0.178,0,0.386,0.547,139.853,4
1RDvyOk4WtPCtoqciJwVn8,"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Jung Kook,BTS,FIFA Sound",2022-11-20,201391,13,saaato11,2022-11-23T23:02:51Z,"k-pop,k-pop boy group,pop,football","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC",0.71,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,4
7vAJiDFrFtMYVOrZbOw7jj,"Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack","Hayya Hayya (Better Together) [Music from FIFA World Cup Qatar 2022 Soundtrack]","Trinidad Cardona,Davido,Aisha,FIFA Sound",2022-04-01,206069,56,saaato11,2022-11-23T23:02:55Z,"sped up,afrobeats,afropop,azontobeats,ghanaian hip hop,nigerian pop,football","Trinidad Cardona / Def Jam Recordings",0.733,0.829,2,-3.302,1,0.0375,0.401,0,0.403,0.623,128.938,4
0eX5SU6x0ETZKZbUcxrNkU,"The World Is Ours (Coca-Cola 2014 World's Cup Anthem)","One Love, One Rhythm - The Official 2014 FIFA World Cup Album","Aloe Blacc X David Correy",2014-05-12,174880,12,saaato11,2022-11-23T23:03:28Z,"","Sony Music Entertainment",0.528,0.903,2,-3.935,1,0.0527,0.197,0,0.117,0.665,132.024,4
4nOygULhEuDO5ZBRNPFaso,"Wavin' Flag - Coca-Cola® Celebration Mix","Troubadour (Champion Edition - Asian Version)","K'NAAN",2009,212520,62,saaato11,2022-11-23T23:03:32Z,"reggae fusion","Interscope Records*",0.58,0.767,0,-4.174,1,0.0557,0.313,0,0.0518,0.776,151.845,4
4pDj6rJPTd6RIbrLiCL5Zg,"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte) - Olodum Mix","The 2014 FIFA World Cup Official Album: One Love, One Rhythm","Pitbull,Jennifer Lopez,Claudia Leitte",2014-05-09,238680,30,saaato11,2022-11-23T23:03:37Z,"dance pop,miami hip hop,pop,urban contemporary,axe,pop nacional,sertanejo universitario","Sony Music Entertainment",0.398,0.967,6,-2.805,0,0.112,0.0433,0.024,0.0299,0.686,125.015,4
7wD6iRghe6SnKHkvHqpnC5,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM","Colors (Coca-Cola® Anthem, 2018 FIFA World CupTM)","Jason Derulo",2018-03-09,187389,55,saaato11,2022-11-23T23:03:42Z,"dance pop,pop","Beluga Heights/Warner Records",0.707,0.845,8,-3.478,1,0.201,0.0278,0,0.134,0.507,120.125,4
2A17TySL9lcoRTA28w9yfB,"La La La (Brazil 2014) (feat. Carlinhos Brown)","The 2014 FIFA World Cup Official Album: One Love, One Rhythm","Shakira,Carlinhos Brown",2014-05-09,197680,58,saaato11,2022-11-23T23:03:46Z,"colombian pop,dance pop,latin pop,pop,axe,latin alternative,mpb,samba reggae","Sony Music Entertainment",0.783,0.806,11,-5.449,1,0.0763,0.179,0.000113,0.341,0.576,127.98,4
4RabxUkDmdvt6hJRqblvEZ,"Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem] (feat. Avicii & Alexandre Pires)","Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem] (feat. Avicii & Alexandre Pires)","Carlos Santana,Wyclef Jean,Avicii,Alexandre Pires",2014-05-06,228320,35,saaato11,2022-11-23T23:03:57Z,"rap kreyol,dance pop,edm,pop,pop dance,axe,pagode,pagode novo","Sony Music Latin/RCA Records",0.55,0.956,5,-4.195,0,0.197,0.0255,0.000678,0.33,0.412,127.997,4
2Cd9iWfcOpGDHLz6tVA3G4,"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Shakira,Freshlyground",2010-05-07,202626,7,saaato11,2022-11-23T23:04:17Z,"colombian pop,dance pop,latin pop,pop,african rock,afropop,kwaito,south african jazz,south african pop,south african pop dance","Epic",0.766,0.873,11,-6.381,0,0.143,0.00627,0,0.0764,0.743,126.988,4
4DnHUy01jEA4b5ydC3HgsT,"Live It Up - Official Song 2018 FIFA World Cup Russia","Live It Up (Official Song 2018 FIFA World Cup Russia)","Nicky Jam,Will Smith,Era Istrefi",2018-05-25,207977,55,saaato11,2022-11-23T23:04:30Z,"latin hip hop,reggaeton,trap latino,urbano latino,hip hop,pop rap,albanian hip hop,albanian pop,kosovan pop","Sony Music Latin",0.582,0.944,2,-0.928,0,0.185,0.00573,0.00000127,0.547,0.8,143.97,4
22TFAU0e7WHAQFGzwneu1e,"World Cup","World Cup","IShowSpeed",2022-11-04,256704,58,saaato11,2022-11-23T23:05:54Z,"meme","Warner Records",0.41,0.82,1,-4.252,1,0.376,0.181,0,0.679,0.303,81.202,3
46NBoIAHrmR7qcUGCIFEjR,"This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)","This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016]","David Guetta,Zara Larsson",2016-05-13,207272,67,saaato11,2022-11-23T23:06:08Z,"big room,dance pop,edm,pop,pop dance,scandipop,swedish electropop,swedish pop","Parlophone (France)",0.367,0.915,9,-3.456,0,0.0488,0.0022,0.0000581,0.0905,0.365,110.169,4
2OFNudaD0TiwN4PAjLudtm,"Samba De Janeiro - Radio Edit","Samba De Janeiro (The Original & The Original Remixes)","Bellini",2014-01-01,168447,0,saaato11,2022-11-23T23:06:38Z,"","Polydor",0.624,0.976,2,-3.775,1,0.0601,0.0103,0.00447,0.314,0.939,132.927,4
6CDzDgIUqeDY5g8ujExx2f,"Heat Waves","Heat Waves","Glass Animals",2020-06-29,238805,17,saaato11,2022-11-23T23:07:05Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
3DKCTIiJ97bS9TGiqcABjo,"Thiago Silva","Thiago Silva","Dave,AJ Tracey",2016-05-13,201963,65,saaato11,2022-11-23T23:07:46Z,"uk hip hop,grime,ukg revival","Tropics Records",0.667,0.673,0,-7.574,1,0.323,0.0641,0.000004,0.0975,0.669,144.256,4
62AuGbAkt8Ox2IrFFb8GKV,"Sweet Caroline","Sweet Caroline","Neil Diamond",1969-06-06,203573,74,saaato11,2022-11-23T23:08:20Z,"adult standards,brill building pop,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock","Geffen",0.529,0.127,11,-16.066,1,0.0274,0.614,0.000133,0.237,0.579,63.05,4
7ef4DlsgrMEH11cDZd32M6,"One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",2018-04-06,214846,77,saaato11,2022-11-23T23:08:26Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,uk pop","Sony Music UK",0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,4
4kLLWz7srcuLKA7Et40PQR,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,289133,79,saaato11,2022-11-23T23:08:33Z,"dance pop,pop,pop rap","Interscope",0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,4
2DFi8rwHcVkTTgu7PULhtI,"My Type","My Type","Saint Motel",2014-06-17,206393,65,saaato11,2022-11-23T23:08:57Z,"la indie,modern alternative rock,modern rock,pov: indie","Parlophone UK",0.596,0.897,10,-2.94,1,0.0462,0.0641,0.0000524,0.0628,0.578,118,4
1qPbGZqppFwLwcBC1JQ6Vr,"Wonderwall","(What's The Story) Morning Glory?","Oasis",1995-10-02,258906,70,saaato11,2022-11-23T23:09:16Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother Recordings Ltd",0.41,0.854,2,-5.609,1,0.0366,0.00236,0,0.133,0.456,174.584,4
1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,77,saaato11,2022-11-23T23:09:20Z,"alternative rock,indie rock,indietronica,modern rock,rock","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
22HYEJveCvykVDHDiEEmjZ,"Tubthumping","Tubthumper","Chumbawamba",1997-09-01,278778,67,saaato11,2022-11-23T23:09:58Z,"anarcho-punk","EMI",0.348,0.88,2,-7.366,1,0.0978,0.128,0,0.357,0.606,101.185,4
6KGHsN5QI0qunsADx3e51i,"C’est la vie","C'Est La Vie","Khaled",2012-01-01,230146,59,saaato11,2022-11-23T23:10:16Z,"classic arab pop,moroccan pop,rai","Universal Music Division Capitol Music France",0.623,0.915,3,-5.349,1,0.0413,0.0167,0,0.361,0.838,129.961,4
3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",2005-11-28,218093,83,saaato11,2022-11-23T23:10:37Z,"colombian pop,dance pop,latin pop,pop,rap kreyol","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
0JhKJg5ejeQ8jq89UQtnw8,"Levels - Radio Edit","Levels","Avicii",2011-10-28,199903,19,saaato11,2022-11-23T23:11:20Z,"dance pop,edm,pop,pop dance","Virgin",0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,4
1xRRPtBWty61XDG7BvMdmL,"Don't Look Back in Anger","Time Flies...1994-2009","Oasis",2010,290253,51,saaato11,2022-11-23T23:11:58Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.348,0.914,0,-3.586,1,0.0666,0.0301,0.00000768,0.0955,0.231,163.98,4
0ct6r3EGTcMLPtrXHDvVjc,"The Nights","The Days / Nights","Avicii",2014-01-01,176658,81,saaato11,2022-11-23T23:13:48Z,"dance pop,edm,pop,pop dance","Universal Music AB",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
1fidCEsYlaVE3pHwKCvpFZ,"Am I Wrong","Black Star Elephant","Nico & Vinz",2014,245866,76,saaato11,2022-11-23T23:14:23Z,"afrobeats","Warner Records",0.729,0.675,8,-6.003,1,0.0312,0.175,0.00000158,0.55,0.779,119.968,4
