Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
45hIFQoMhALVsGEaI3wDLy,"Just Slide (feat. Jaden)","Just Slide (feat. Jaden)","Harry Hudson,Jaden",2018-11-09,159120,30,saaato11,2020-10-12T13:41:32Z,"pop r&b,pop rap,rap","MSFTSMusic / Roc Nation Records",0.571,0.563,5,-5.798,0,0.0385,0.134,0,0.0992,0.307,86.022,4
2yJVeT8cP1zstJxRP7Nlv8,"No Interruption","All American","Hoodie Allen",2012-04-10,215240,55,saaato11,2020-10-12T13:41:46Z,"indie pop rap","Hoodie Allen",0.497,0.706,1,-6.455,1,0.0667,0.227,0,0.224,0.55,103,4
2GaEGK2kh2iO0mUlGh670b,"Breakfast In the Park","Breakfast In the Park","Scotty Sire",2020-03-25,150244,0,saaato11,2020-10-12T13:42:02Z,"social media pop","Scotty Sire",0.827,0.461,11,-8.613,0,0.33,0.122,0.0000139,0.387,0.83,75.007,4
2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,78,saaato11,2020-10-12T13:42:10Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
5V6JyohGPr2S0YuJqt7ydm,"Your Favorite Song","Your Favorite Song","Eighty Ninety",2017-09-29,184493,21,saaato11,2020-10-12T13:42:25Z,"brooklyn indie,hopebeat","EIGHTY NINETY",0.74,0.442,8,-9.579,1,0.0405,0.727,0.043,0.111,0.722,120.026,4
6M0IsaUX4GNyto4niSegfI,"No Option","Stoney (Deluxe)","Post Malone",2016-12-09,179826,62,saaato11,2020-10-12T13:42:46Z,"dfw rap,melodic rap,pop,rap","Universal Records",0.575,0.734,2,-4.949,1,0.057,0.0757,0,0.241,0.494,83.983,4
3xaugmCyXrVkrDTXbFkMW3,"Sanctuary","Sanctuary","Joji",2019-06-14,180018,7,saaato11,2020-10-12T13:43:08Z,"viral pop","88rising Music/Warner Records",0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,4
09IOPhEh1OMe0HD9b36FJk,"Over Now","beerbongs & bentleys","Post Malone",2018-04-27,246986,61,saaato11,2020-10-12T13:43:21Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.569,0.777,4,-4.041,0,0.0834,0.137,0,0.132,0.181,164.029,4
0QV83q2vzzOM4uODVyXf7i,"TONYA","iridescence","BROCKHAMPTON",2018-09-21,283000,39,saaato11,2020-10-12T13:43:51Z,"boy band,rap","Question Everything/RCA Records",0.576,0.558,7,-7.713,0,0.312,0.509,0.0000207,0.158,0.0395,80.193,4
3cHkjS45Xiduc6DcXtXmAo,"Running Thru 3AM","Moon By Island Gardens","Aeris Roves",2018-11-02,209746,36,saaato11,2020-10-12T13:44:04Z,"uk contemporary r&b","RCA Records Label",0.677,0.388,8,-6.697,1,0.0406,0.731,0,0.154,0.419,119.069,4
4T3fNx3CgwDRRYgmFCbD4J,"Better","Better","Khalid",2018-09-14,229412,63,saaato11,2020-10-12T13:44:29Z,"pop,pop r&b","Right Hand Music Group, LLC/RCA Records",0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,4
3jZihewg1kioufCyUKhm7w,"gold","vertigo","EDEN",2018-01-19,196701,42,saaato11,2020-10-12T13:44:40Z,"indie poptimism","EDEN-Astralwerks",0.7,0.454,8,-9.574,1,0.172,0.612,0,0.379,0.583,97.032,4
5IWMH89twdzA3XZpjW4Gvq,"Summertime In Paris","ERYS","Jaden,WILLOW",2019-07-05,270960,34,saaato11,2020-10-12T13:44:44Z,"pop rap,rap,afrofuturism,pop,post-teen pop,pov: indie","MSFTSMusic / Roc Nation Records",0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937,4
10V96IBSJJjZPAS4fcKEmn,"Monday Mourning","Monday Mourning","Drex Carter",2018-05-14,120000,0,saaato11,2020-10-12T13:44:57Z,"sad lo-fi,sad rap","Drex Carter",0.767,0.537,5,-7.783,0,0.116,0.595,0,0.0862,0.632,87.497,4
2sfZgYusD8bBvB7qWekvSx,"I Know","Hollywood's Bleeding","Post Malone",2019-09-06,141413,0,saaato11,2020-10-12T13:45:16Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.666,0.603,1,-5.671,1,0.0763,0.497,0,0.112,0.262,102.94,4
3fkxlQ1gKektnGhSxBOD1E,"Road Trips","Road Trips","米卡",2019-03-01,180082,16,saaato11,2020-10-12T13:49:57Z,"","The Whole Earth Connection",0.503,0.632,7,-5.686,0,0.0365,0.0965,0.0000222,0.112,0.254,160.02,4
4F1a462vK4YzOd75GR3CX6,"Show Me","Drive Slow","Mac Ayres,Chris Anderson",2017-08-11,200453,43,saaato11,2020-10-12T13:50:06Z,"chill r&b","Dixon Court Records",0.607,0.475,6,-9.612,1,0.0463,0.73,0.0231,0.16,0.448,171.713,4
2qHiyBpxyOXnRGG3t2iE96,"Gone, Gone, Gone","The World From The Side Of The Moon","Phillip Phillips",2012-01-01,209693,0,saaato11,2020-10-15T06:48:36Z,"folk-pop,neo mellow,pop rock","19 Recordings/Interscope",0.664,0.642,6,-5.961,1,0.038,0.129,0,0.114,0.501,118.002,4
7GLBqDKAJLCLIsj2GEDkSw,"nobody else","mama's boy","LANY",2020-10-02,197480,55,saaato11,2020-10-20T13:12:16Z,"la pop,opm","Polydor Records",0.569,0.291,0,-14.509,1,0.043,0.744,0,0.137,0.313,151.659,4
6Nle9hKrkL1wQpwNfEkxjh,"Chanel","Chanel","Frank Ocean",2017-03-10,210285,78,saaato11,2020-10-20T13:13:06Z,"lgbtq+ hip hop,neo soul","Blonded",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
5E30LdtzQTGqRvNd7l6kG5,"Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,saaato11,2020-10-30T11:48:49Z,"modern alternative rock,modern rock,pop","Columbia",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
7nsdNLRdLtuUghj1u49byC,"Don't Be Sad","Don't Be Sad","Scotty Sire",2020-07-08,190726,0,saaato11,2020-12-06T10:12:52Z,"social media pop","Scotty Sire",0.657,0.716,1,-5.219,1,0.131,0.12,0,0.0664,0.361,133.079,4
6kls8cSlUyHW2BUOkDJIZE,"Hate Me (with Juice WRLD)","Hate Me (with Juice WRLD)","Ellie Goulding,Juice WRLD",2019-06-26,186223,68,saaato11,2021-01-13T15:32:51Z,"indietronica,metropopolis,pop,uk pop,chicago rap,melodic rap,rap","Polydor Records",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
39bs2V8huzcmWoeSlHKZeP,"1 SIDED LOVE","ANONYMOUS","blackbear",2019-04-26,170666,0,saaato11,2021-01-14T10:02:34Z,"alt z,pop","Beartrap/Alamo/Interscope",0.584,0.42,8,-7.827,1,0.0322,0.236,0,0.119,0.283,90.051,4
0GT5m0eIa0OATOECdQtcsk,"Listen (featuring Avril Lavigne)","Ambitions","ONE OK ROCK,Avril Lavigne",2017-01-11,218992,41,saaato11,2021-01-14T14:42:54Z,"j-pop,j-rock,canadian pop,candy pop,dance pop,pop","Aer-born",0.442,0.907,1,-4.593,1,0.0551,0.0185,0.0000106,0.199,0.439,168.091,4
4htaANAuRONAk71TVX84MT,"The One - Live from Irving Plaza, NYC, 4 Dec 2018","Live from Irving Plaza, NYC, 4 Dec 2018","Kodaline",2019-12-13,283776,12,saaato11,2021-01-14T14:43:40Z,"irish pop,modern rock,neo mellow","B-Unique/RCA",0.37,0.276,10,-14.584,1,0.0462,0.911,0.00000287,0.86,0.415,101.913,4
6J7cSyvSCnPwv3vqHchEfL,"If It Means a Lot to You","Homesick","A Day To Remember",2009,243226,0,saaato11,2021-01-14T14:43:49Z,"alternative metal,metalcore,neon pop punk,pop punk,screamo","Victory",0.584,0.536,10,-8.158,1,0.0279,0.112,0,0.456,0.44,126.996,4
