Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6FQ7tecargtjwGK5L4Atsj,"Lavender","Love, Nostalgia","Dreamer Boy",2018-11-13,218794,41,saaato11,2022-03-06T12:50:22Z,"nashville indie","Dreamer Boy",0.662,0.403,8,-10.404,0,0.243,0.55,0,0.179,0.409,78.024,4
5qVHb2ZrjEZHKdw9xRmfaN,"Where Are You Now (Live)","Live at the Troubadour","Honor Society",2013-09-20,227000,12,saaato11,2022-03-07T12:57:15Z,"","Go Entertainment",0.588,0.538,5,-8.951,0,0.0294,0.0125,0,0.32,0.341,98.92,4
7fJ727E3cIJsYCA2ZhAsAG,"Scott Pilgrim vs. the World Ruined a Whole Generation of Women","MSG, Vol. 1","Negative XP",2019-09-30,212240,0,saaato11,2022-03-07T12:57:20Z,"epunk","MSG",0.443,0.702,0,-6.273,1,0.187,0.784,0.0000179,0.0826,0.677,169.923,4
4MYaU9PrPCI095w8nBs93q,"Don't Leave, Don't Go","Don't Leave, Don't Go / Bleed","Deyaz",2022-03-04,184242,0,saaato11,2022-03-07T12:57:24Z,"gen z singer-songwriter","Deyaz",0.676,0.14,7,-11.6,1,0.0495,0.966,0.00000376,0.106,0.229,99.023,4
1Ip5p31SowqjJLo2ss1afJ,"better off without me","better off without me","Matt Hansen",2022-03-04,170211,70,saaato11,2022-03-07T12:57:27Z,"gen z singer-songwriter,singer-songwriter pop","Matt Hansen Music",0.62,0.468,0,-7.492,1,0.04,0.619,0,0.322,0.646,149.855,4
2mQqKFxQ6PDSKyFOCSLrXc,"Be Nice to Me","Rose","The Front Bottoms",2014-06-17,167306,0,saaato11,2022-03-07T12:57:34Z,"asbury park indie,emo,new jersey indie,pov: indie","Bar/None Records",0.338,0.818,3,-5.666,1,0.0739,0.0231,0,0.129,0.696,118.635,4
2gQPv5jvVPqU2a9HhMNO1v,"Toxic","Toxic","BoyWithUke",2021-10-29,168020,62,saaato11,2022-03-07T12:57:44Z,"sad rap","Republic Records",0.594,0.612,8,-6.627,0,0.363,0.835,0,0.461,0.687,179.629,4
4yIHTPSFg5Ma41IJNE0GUL,"horror story","age tape 1","Arden Jones",2022-02-03,123269,44,saaato11,2022-03-07T12:57:44Z,"singer-songwriter pop","vnclm_ / Atlantic",0.718,0.606,5,-6.026,0,0.0375,0.388,0,0.101,0.676,101.917,4
1VkM4OtAnNtJa6XBT3SHR6,"PINCH ME","PINCH ME","young friend",2021-03-04,179363,0,saaato11,2022-03-07T12:57:44Z,"modern indie pop","CLUBB",0.777,0.465,6,-10.55,0,0.0501,0.621,0,0.0932,0.757,113.003,4
4e11dFRYAcJyvIv9Y35ERA,"Blue Skies","Blue Skies","dexter in the newsagent",2021-06-02,159490,0,saaato11,2022-03-07T12:57:44Z,"","Common Knowledge",0.744,0.703,11,-5.034,0,0.0679,0.852,0.00274,0.449,0.864,99.008,4
