Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,78,saaato11,2020-03-29T13:31:38Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
6VOY6Wu9mRPzLop8PwSJ9V,"Paris","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,293076,29,saaato11,2020-03-29T13:31:49Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.794,0.668,8,-6.516,1,0.0363,0.527,0.00107,0.076,0.85,117.014,4
7hpJ9tATWb2vztlq99hERP,"Maniac","Maniac","Conan Gray",2019-10-25,185786,20,saaato11,2020-03-29T13:33:18Z,"bedroom pop,pop,pov: indie","Republic Records",0.623,0.647,8,-5.438,1,0.04,0.00122,0,0.354,0.522,107.987,4
10V96IBSJJjZPAS4fcKEmn,"Monday Mourning","Monday Mourning","Drex Carter",2018-05-14,120000,0,saaato11,2020-03-29T13:34:07Z,"sad lo-fi,sad rap","Drex Carter",0.767,0.537,5,-7.783,0,0.116,0.595,0,0.0862,0.632,87.497,4
4R9ATNRRl1uth17i5qDCc0,"I.F.L.Y.","I.F.L.Y.","Bazzi",2019-07-18,165714,0,saaato11,2020-03-29T13:34:15Z,"pop","iamcosmic",0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,4
5IWMH89twdzA3XZpjW4Gvq,"Summertime In Paris","ERYS","Jaden,WILLOW",2019-07-05,270960,34,saaato11,2020-03-29T13:34:18Z,"pop rap,rap,afrofuturism,pop,post-teen pop,pov: indie","MSFTSMusic / Roc Nation Records",0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937,4
74ODGXs4byLTRdnKGM4s6E,"Super Far","LANY","LANY",2017-06-30,203650,0,saaato11,2020-03-29T13:35:07Z,"la pop,opm","Universal Music Group",0.754,0.458,8,-6.852,1,0.144,0.105,0,0.249,0.495,96.011,4
7FLQuyyCaIrBRqNt5l83U4,"Reforget","I met you when I was 18. (the playlist)","Lauv",2018-05-31,231676,0,saaato11,2020-03-29T13:35:26Z,"pop","Lauv",0.44,0.469,5,-8.338,0,0.112,0.449,0,0.169,0.225,169.755,4
2Z5wXgysowvzl0nKGNGU0t,"Out of My League","More Than Just a Dream","Fitz and The Tantrums",2013-05-07,209386,71,saaato11,2020-03-29T13:36:14Z,"la indie,modern alternative rock,modern rock,pop rock,pov: indie","Elektra (NEK)",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
2LFELeRAne8UMsIlQJcGYM,"9pm on a Sunday","9pm on a Sunday","khai dreams",2018-01-30,84000,0,saaato11,2020-03-29T13:37:00Z,"lo-fi rap,pov: indie","Khai Dreams",0.793,0.356,1,-16.942,0,0.143,0.574,0.00000427,0.0812,0.501,79.992,4
6BZ6pl5bczDc3cMF1kBaOy,"pink skies","kinda","LANY",2016-06-24,185922,66,saaato11,2020-03-29T13:37:18Z,"la pop,opm","Polydor Records",0.719,0.631,5,-6.616,1,0.0433,0.266,0.00000769,0.134,0.466,103.968,4
7GtGeeChOx4NS77bqK8SUx,"Ready to Run","FOUR (Deluxe)","One Direction",2014-11-17,196053,64,saaato11,2020-03-29T13:37:32Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.524,0.831,2,-4.174,1,0.036,0.00229,0,0.171,0.299,115.067,4
5VjGZaZiYKS6jHJqVXMKq0,"Don't Forget Where You Belong","Midnight Memories","One Direction",2013-11-25,241000,0,saaato11,2020-03-29T13:38:33Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.54,0.711,7,-5.717,1,0.0255,0.103,0,0.0827,0.292,92.014,4
7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,77,saaato11,2020-03-29T13:38:58Z,"folk-pop,modern rock","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
2RiBogNRfulkNf7fVbPOrJ,"Saturday Sun","Nation of Two","Vance Joy",2018-02-23,214720,66,saaato11,2020-03-29T13:39:01Z,"folk-pop,modern rock","Atlantic Records",0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,4
7bXvOMQ3UrcTS1dO9Ppzsg,"Sober Up (feat. Rivers Cuomo)","The Click","AJR,Rivers Cuomo",2017-06-30,218760,51,saaato11,2020-03-30T14:32:45Z,"pov: indie,alternative rock","Black Butter",0.647,0.616,5,-4.948,1,0.0272,0.277,0,0.0816,0.79,93.019,4
6eDfe957aV4sqGnDhlSikJ,"Drive Safe","The Sailor","Rich Brian",2019-07-26,240118,4,saaato11,2020-03-30T14:35:32Z,"indonesian hip hop","88rising Music/Warner Records",0.635,0.312,7,-8.134,1,0.0265,0.635,0,0.138,0.414,98.017,4
2ZDpSQfBdgkooeXw6oj3Uz,"100 Degrees","The Sailor","Rich Brian",2019-07-26,166145,2,saaato11,2020-03-30T14:35:39Z,"indonesian hip hop","88rising Music/Warner Records",0.756,0.648,0,-5.287,1,0.0731,0.118,0,0.515,0.657,80.979,4
67WTwafOMgegV6ABnBQxcE,"Some Nights","Some Nights","fun.",2012-02-14,277040,65,saaato11,2020-03-30T14:36:24Z,"baroque pop,metropopolis,neo mellow","Fueled By Ramen",0.672,0.738,0,-7.045,1,0.0506,0.0178,0.0000675,0.0927,0.392,107.938,4
2jiPHbFX5XM8TjaTfYJ0eo,"Stolen Dance","Sadnecessary","Milky Chance",2013-05-31,313684,3,saaato11,2020-04-07T14:06:38Z,"german pop,modern rock","Lichtdicht Records",0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4
0tByDZgQzoNfFFmpgleB0s,"10/10","10/10","Rex Orange County",2019-09-12,146102,38,saaato11,2020-04-10T18:33:38Z,"bedroom pop","Rex Orange County",0.487,0.909,10,-4.091,1,0.102,0.301,0.000029,0.0803,0.293,187.783,4
12ZYXSzFJUSrFyO1u3Ylqx,"Constant","Constant","Jesse Barrera,Jeremy Passion",2020-02-14,190348,62,saaato11,2020-04-15T20:25:15Z,"bedroom r&b,chill r&b,pop soul","THE JB CAVE Records",0.667,0.427,9,-8.74,1,0.0271,0.492,0.0000139,0.201,0.604,87.033,4
4F1a462vK4YzOd75GR3CX6,"Show Me","Drive Slow","Mac Ayres,Chris Anderson",2017-08-11,200453,43,saaato11,2020-04-15T20:25:35Z,"chill r&b","Dixon Court Records",0.607,0.475,6,-9.612,1,0.0463,0.73,0.0231,0.16,0.448,171.713,4
7oF2B0C0JBPWv024xRk62i,"Good Years","Icarus Falls","ZAYN",2018-12-14,180120,7,saaato11,2020-05-06T07:10:25Z,"pop,uk pop","RCA Records Label",0.638,0.411,2,-5.979,1,0.042,0.55,0,0.141,0.158,96.969,4
4WCPjTAMJKfK8kww8CRxLQ,"Best Years","CALM","5 Seconds of Summer",2020-03-27,190382,0,saaato11,2020-05-06T07:10:41Z,"boy band,pop","5 Seconds Of Summer/Interscope",0.29,0.722,2,-4.375,1,0.0428,0.314,0,0.121,0.458,173.359,4
0znCw9dSfsrBGUtxAzd9kD,"5 shots","she's no angel","gianni & kyle",2018-11-01,181709,0,saaato11,2020-05-09T08:36:23Z,"indie pop rap","hardpink records",0.918,0.449,1,-5.702,1,0.0605,0.124,0,0.0595,0.481,91.978,4
1b3nlcP6hogIzYRVK2Ui7K,"Wherever You Are","Wherever You Are","Kodaline",2020-01-10,185004,0,saaato11,2020-08-05T12:22:11Z,"irish pop,modern rock,neo mellow","B-Unique Records (UK) Ltd",0.514,0.612,4,-5.981,1,0.0298,0.142,0,0.0868,0.342,125.99,4
15jRg8Ejs7X3JEHw38TSN3,"Team","Pure Heroine (Extended)","Lorde",2013-01-01,193058,0,saaato11,2020-08-05T12:22:34Z,"art pop,metropopolis,nz pop,pop","Universal Music New Zealand Limited",0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,4
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,76,saaato11,2020-08-05T12:22:51Z,"indie poptimism,modern alternative rock,modern rock,pov: indie","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
1oKoTnf5bERKjEiobXAuyN,"summertime","summertime","cinnamons,evening cinema",2017-08-07,251818,39,saaato11,2020-08-05T12:23:06Z,"city pop","cinnamons & evening cinema",0.688,0.704,3,-6.315,1,0.0303,0.104,0,0.0672,0.849,131.969,4
6R5JpLDVRgRI6P2OQCjA4n,"Drifting Away","Summer Is Like a Dream","khai dreams",2017-08-26,192500,0,saaato11,2020-08-05T13:35:34Z,"lo-fi rap,pov: indie","Khai Dreams",0.521,0.268,1,-15.199,1,0.0407,0.739,0.177,0.0718,0.272,119.879,4
0QMCxc6dP8ObzoJExJd5oc,"Fantasy","Summer Is Like a Dream","khai dreams",2017-08-26,170666,0,saaato11,2020-08-05T13:35:42Z,"lo-fi rap,pov: indie","Khai Dreams",0.35,0.429,7,-13.14,1,0.131,0.712,0,0.307,0.207,169.901,4
