Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5dONhl6aXFuN86UBdayF6W,"Olivia","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,177973,66,saaato11,2019-08-10T07:23:03Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.64,0.681,6,-5.362,1,0.0334,0.0438,0,0.166,0.676,118.069,4
0AtP8EkGPn6SwxKDaUuXec,"Remember The Name (feat. Eminem & 50 Cent)","No.6 Collaborations Project","Ed Sheeran,Eminem,50 Cent",2019-07-12,207760,65,saaato11,2019-08-10T07:23:04Z,"pop,singer-songwriter pop,uk pop,detroit hip hop,hip hop,rap,east coast hip hop,gangster rap,pop rap,queens hip hop","Atlantic Records UK",0.852,0.666,11,-6.923,0,0.184,0.135,0,0.798,0.726,91.046,4
4R9ATNRRl1uth17i5qDCc0,"I.F.L.Y.","I.F.L.Y.","Bazzi",2019-07-18,165714,0,saaato11,2019-08-10T07:23:30Z,"pop","iamcosmic",0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,4
2ZDpSQfBdgkooeXw6oj3Uz,"100 Degrees","The Sailor","Rich Brian",2019-07-26,166145,2,saaato11,2019-08-10T07:23:38Z,"indonesian hip hop","88rising Music/Warner Records",0.756,0.648,0,-5.287,1,0.0731,0.118,0,0.515,0.657,80.979,4
5IWMH89twdzA3XZpjW4Gvq,"Summertime In Paris","ERYS","Jaden,WILLOW",2019-07-05,270960,34,saaato11,2019-08-10T07:23:55Z,"pop rap,rap,afrofuturism,pop,post-teen pop,pov: indie","MSFTSMusic / Roc Nation Records",0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937,4
2JvzF1RMd7lE3KmFlsyZD8,"MIDDLE CHILD","MIDDLE CHILD","J. Cole",2019-01-23,213593,76,saaato11,2019-08-10T07:24:00Z,"conscious hip hop,hip hop,north carolina hip hop,rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
67WTwafOMgegV6ABnBQxcE,"Some Nights","Some Nights","fun.",2012-02-14,277040,65,saaato11,2019-08-10T07:24:02Z,"baroque pop,metropopolis,neo mellow","Fueled By Ramen",0.672,0.738,0,-7.045,1,0.0506,0.0178,0.0000675,0.0927,0.392,107.938,4
07rmSXN6vNoquX1AsWd9pP,"Lalala","Lalala","Y2K,bbno$",2019-06-07,160615,0,saaato11,2019-08-10T07:24:12Z,"pop rap,viral rap,canadian hip hop,dark trap,meme rap","Y2K",0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
47Bg6IrMed1GPbxRgwH2aC,"Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,2,saaato11,2019-08-10T07:24:19Z,"bedroom pop","Rex Orange County",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
5Z3GHaZ6ec9bsiI5BenrbY,"Young Dumb & Broke","American Teen","Khalid",2017-04-27,202546,79,saaato11,2019-08-10T07:24:22Z,"pop,pop r&b","Right Hand Music Group, LLC/RCA Records",0.799,0.539,1,-6.351,1,0.0421,0.199,0.0000166,0.165,0.394,136.948,4
5EZJdxADQvZVRptQqKy65U,"Nothing Wrong","Type-3 - EP","Higher Brothers,Harikiri",2018-02-27,160645,0,saaato11,2019-08-10T07:24:28Z,"chinese hip hop,sichuanese hip hop,chinese melodic rap","88rising Music / EMPIRE",0.825,0.67,1,-7.765,1,0.0702,0.0599,0,0.139,0.646,124.025,4
