Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4zbqQYMK0n7ZS5w6Hmgf4P,"Casanova (feat. Skizzy Mars & G Eazy)","Crew Cuts","Hoodie Allen,Skizzy Mars,G-Eazy",2013-02-21,239350,31,saaato11,2022-07-09T05:04:08Z,"indie pop rap,oakland hip hop,pop rap,rap","Hoodie Allen",0.574,0.816,7,-5.579,0,0.153,0.0474,0,0.339,0.138,93.895,4
1FCQEg7wOK9IIBuxx63krr,"And We Danced (feat. Ziggy Stardust)","The Unplanned Mixtape","Macklemore",2010-01-05,246213,58,saaato11,2022-07-09T05:04:24Z,"pop rap,seattle hip hop","Macklemore",0.758,0.677,5,-6.598,1,0.0782,0.456,0,0.0954,0.713,124.998,4
4RabxUkDmdvt6hJRqblvEZ,"Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem] (feat. Avicii & Alexandre Pires)","Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem] (feat. Avicii & Alexandre Pires)","Carlos Santana,Wyclef Jean,Avicii,Alexandre Pires",2014-05-06,228320,35,saaato11,2022-07-09T05:04:38Z,"rap kreyol,dance pop,edm,pop,pop dance,axe,pagode,pagode novo","Sony Music Latin/RCA Records",0.55,0.956,5,-4.195,0,0.197,0.0255,0.000678,0.33,0.412,127.997,4
6cmm1LMvZdB5zsCwX5BjqE,"Down","All Or Nothing","Jay Sean,Lil Wayne",2009-01-01,212506,77,saaato11,2022-07-09T05:04:44Z,"dance pop,pop,pop rap,post-teen pop,hip hop,new orleans rap,rap,trap","Cash Money",0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,4
6M6Tk58pQvABy6ru66dY3d,"No Money","The Aviary","Galantis",2017-09-15,191293,66,saaato11,2022-07-09T05:05:05Z,"dance pop,edm,pop,pop dance,progressive electro house","Big Beat Records",0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,4
5vddPg2RoRtqLwg3Pz3aI6,"Real Life Sux","Real Life Sux","Justus Bennetts",2021-05-20,143529,14,saaato11,2022-07-09T05:05:11Z,"gen z singer-songwriter","Sounds Good",0.699,0.815,1,-5.91,1,0.18,0.111,0,0.102,0.891,76.468,4
4vVTI94F9uJ8lHNDWKv0i2,"Eenie Meenie","Eenie Meenie","Sean Kingston,Justin Bieber",2010-03-23,201946,76,saaato11,2022-07-09T05:06:11Z,"dance pop,miami hip hop,pop,canadian pop","Epic/Beluga Heights",0.72,0.607,1,-4.168,1,0.0322,0.0543,0,0.113,0.828,121.223,4
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,76,saaato11,2022-07-09T05:06:19Z,"indie poptimism,modern alternative rock,modern rock,pov: indie","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
226le7T3p82reYWzsi9Hsz,"1, 2 Many","What You See Is What You Get","Luke Combs,Brooks & Dunn",2019-11-08,180906,72,saaato11,2022-07-09T05:10:19Z,"contemporary country,country,country road","River House Artists/Columbia Nashville",0.54,0.821,6,-3.789,1,0.0873,0.0397,0,0.423,0.685,148.798,4
1ydmhnyDOWr5y0s7Vvdw5i,"Can't Hold Us (feat. Ray Dalton)","The Heist (Deluxe Edition)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",2012-10-09,258431,61,saaato11,2022-07-09T05:10:53Z,"pop rap,seattle hip hop,pop dance","Macklemore",0.633,0.927,2,-4.468,1,0.0839,0.0267,0,0.0986,0.88,146.097,4
3tjFYV6RSFtuktYl3ZtYcq,"Mood (feat. iann dior)","Mood (feat. iann dior)","24kGoldn,iann dior",2020-07-24,140525,4,saaato11,2022-07-09T05:13:05Z,"cali rap,pop rap,melodic rap","Records/Columbia",0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,4
