Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0e2UXJVBkra5oNKMoOF9BH,"Headhunters","Headhunters","Krooked Kings",2023-10-18,184258,27,saaato11,2023-10-22T08:26:20Z,"","Nobody Gets It Records",0.544,0.632,11,-7.988,0,0.0396,0.0176,0.00507,0.158,0.587,154.986,4
7jmZBU1Zif96EWkM3hAMhQ,"Sometimes I Need to Be Alone","Rick","Ricky Montgomery",2023-09-29,261881,41,saaato11,2023-10-22T08:26:37Z,"la indie,pop,pov: indie","Warner Records",0.487,0.691,0,-7.411,1,0.0536,0.0568,0.0000968,0.152,0.399,75.039,4
7fJ727E3cIJsYCA2ZhAsAG,"Scott Pilgrim vs. the World Ruined a Whole Generation of Women","MSG, Vol. 1","Negative XP",2019-09-30,212240,0,saaato11,2023-10-22T08:27:01Z,"epunk","MSG",0.443,0.702,0,-6.273,1,0.187,0.784,0.0000179,0.0826,0.677,169.923,4
2mQqKFxQ6PDSKyFOCSLrXc,"Be Nice to Me","Rose","The Front Bottoms",2014-06-17,167306,0,saaato11,2023-10-22T08:27:07Z,"asbury park indie,emo,new jersey indie,pov: indie","Bar/None Records",0.338,0.818,3,-5.666,1,0.0739,0.0231,0,0.129,0.696,118.635,4
3aFw24ccuFNeOEqq8X4dt0,"Remember You","Remember You","Dominurmom",2021-08-27,168860,43,saaato11,2023-10-22T08:27:20Z,"","Dominurmom Music",0.353,0.391,5,-12.295,1,0.0318,0.199,0.00778,0.132,0.0802,139.617,4
45qkFWPAEU4DcWT3697FrP,"Stuck Between","Stuck Between","Dutch Criminal Record",2016-11-11,164428,0,saaato11,2023-10-22T08:27:28Z,"portsmouth indie","Dutch Criminal Record",0.519,0.878,4,-5.728,0,0.0294,0.0000745,0.000899,0.11,0.552,105.04,4
54YY9VsZn8sbwXht0VAKZB,"Black Memories","Chinese Fountain","The Growlers",2014-09-23,171400,0,saaato11,2023-10-22T08:27:33Z,"garage rock revival,indie garage rock,indie surf","Everloving Records",0.617,0.576,0,-8.009,1,0.0286,0.00661,0,0.153,0.825,113.965,4
1ZK4x9YUytJSgdu2yC39z7,"HIDE","HIDE","Marko",2022-02-04,167109,41,saaato11,2023-10-22T08:27:41Z,"","Marko",0.798,0.684,2,-4.424,1,0.298,0.673,0.00000806,0.19,0.717,159.862,4
37y7iDayfwm3WXn5BiAoRk,"Dark Red","Dark Red","Steve Lacy",2017-02-20,173104,19,saaato11,2023-10-22T08:27:46Z,"afrofuturism","Three Quarter",0.603,0.783,6,-4.023,1,0.062,0.449,0.00000796,0.119,0.775,172.041,4
3pyyGVqWvRMq43qtJBzxe0,"Kids","Kids","Current Joys",2015-03-08,269142,58,saaato11,2023-10-22T08:27:50Z,"lo-fi indie,pov: indie","Current Joys",0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,4
