Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Y1syktNHkkg5dhbeoEBwX,"Sunburn Fades","Sunburn Fades","Briston Maroney",2023-06-23,233600,23,saaato11,2023-12-31T11:33:07Z,"nashville indie,pov: indie","Canvasback",0.629,0.391,1,-8.437,1,0.0263,0.305,0,0.094,0.398,107.911,4
3Ox5iyqF3SeTC2bqOA9V9u,"Galileo Galilei","The Ballet Girl","Aden Foyer",2023-09-08,199405,45,saaato11,2023-12-31T11:33:25Z,"","Columbia",0.538,0.914,9,-3.423,1,0.0393,0.0504,0,0.35,0.521,132.003,4
2LF1EjI7vMM37yRUzEWk8s,"Grace","Grace","Henrik",2023-08-18,200666,58,saaato11,2023-12-31T11:33:56Z,"singer-songwriter pop","North Main 2023",0.664,0.544,7,-8.302,1,0.0269,0.00959,0.666,0.204,0.159,111.997,4
46gcml0UNQm0C3bzAHgbV3,"Not Me Anymore","Not Me Anymore","POLYDRIVE",2021-08-20,202721,26,saaato11,2023-12-31T11:36:21Z,"new hampshire indie","POLYDRIVE",0.702,0.605,0,-8.869,0,0.0353,0.179,0.00262,0.159,0.464,125.026,4
6zArUpWiIqCJ4dTThzRpxL,"Just Come Home with Me Tonight","Just Come Home with Me Tonight","Joesef",2022-11-17,247645,37,saaato11,2023-12-31T11:37:26Z,"indie soul,uk alternative pop","Bold Cut",0.612,0.638,1,-7.237,1,0.034,0.131,0.000276,0.14,0.449,82.881,4
3cHkjS45Xiduc6DcXtXmAo,"Running Thru 3AM","Moon By Island Gardens","Aeris Roves",2018-11-02,209746,36,saaato11,2023-12-31T11:38:42Z,"uk contemporary r&b","RCA Records Label",0.677,0.388,8,-6.697,1,0.0406,0.731,0,0.154,0.419,119.069,4
0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,75,saaato11,2023-12-31T11:39:51Z,"r&b,rap","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
2hNIXzib2zAgnaC6ouytT2,"Rainbow Bap feat. ¿Téo? - Remix","CTV3: Day Tripper's Edition","Jaden,¿Téo?",2021-08-27,300333,34,saaato11,2023-12-31T11:42:13Z,"pop rap,rap,latinx alternative","MSFTSMusic / Roc Nation Records, LLC",0.717,0.471,1,-8.543,0,0.281,0.577,0.0000162,0.16,0.227,97.981,4
1DlFEqhGmARazOCKYFYIf8,"Diamond","Five Stars","Higher Brothers",2019-02-22,192001,0,saaato11,2023-12-31T11:43:08Z,"chinese hip hop,sichuanese hip hop","88rising Music",0.836,0.66,8,-5.754,1,0.111,0.0557,0,0.0975,0.752,95.041,4
5H4mXWKcicuLKDn4Jy0sK7,"Time Flies","Dark Lane Demo Tapes","Drake",2020-05-01,192931,72,saaato11,2023-12-31T11:43:15Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","OVO",0.864,0.477,10,-5.786,1,0.224,0.201,0,0.182,0.5,86.46,4
3EX5N7UmwRzmAu7n1cYIZW,"Toto","Hath (B Sides)","Drex Carter",2022-12-28,145998,9,saaato11,2023-12-31T11:43:26Z,"sad lo-fi,sad rap","Drex Carter",0.854,0.528,8,-10.595,0,0.241,0.14,0,0.275,0.301,120.017,4
4V8uu21mnpyg7BElNNJdPs,"No Faith in Brooklyn (feat. Jhameel)","All American","Hoodie Allen,Jhameel",2012-04-10,201226,47,saaato11,2023-12-31T11:43:36Z,"indie pop rap,shimmer pop","Hoodie Allen",0.695,0.807,9,-5.123,1,0.0346,0.0121,0,0.266,0.4,91.947,4
0AIT0YZoeDXmi4jHygJhwb,"Acquiesce","The Masterplan","Oasis",1995,265066,26,saaato11,2023-12-31T11:44:09Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.197,0.955,7,-1.782,1,0.075,0.00625,0.000215,0.438,0.223,111.795,4
7r5jtUUlC8gjs9ehoTgt8f,"The Masterplan","The Masterplan","Oasis",1995,322826,23,saaato11,2023-12-31T11:44:18Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.369,0.616,7,-6.39,1,0.0304,0.103,0.0000488,0.0793,0.156,147.697,4
