Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
46s1fV4IkamvXSYgyPqJvi,"It Wasn't Easy To Be Happy For You","LOSS","The Lumineers",2021-08-11,214066,0,saaato11,2022-11-18T12:52:11Z,"folk-pop,modern rock,neo mellow,stomp and holler","UME - Global Clearing House",0.764,0.373,2,-5.321,1,0.0302,0.856,0,0.0949,0.379,89.1,4
7gVWKBcfIW93YxNBi3ApIE,"You're On Your Own, Kid","Midnights (3am Edition)","Taylor Swift",2022-10-22,194206,60,saaato11,2022-11-18T12:52:28Z,"pop","Taylor Swift",0.696,0.39,2,-10.331,1,0.0616,0.447,0.0000155,0.125,0.395,120.032,4
5IXdkgrT4lb9sKIb8tbOQ3,"Sick of U (with Oliver Tree)","Sick of U","BoyWithUke,Oliver Tree",2022-09-30,168676,64,saaato11,2022-11-18T12:53:04Z,"sad rap,alternative hip hop","Mercury Records/Republic Records",0.62,0.814,0,-3.192,1,0.0911,0.306,0,0.0977,0.654,92.714,4
4Xx4oojaE3MlJKpgtilgp1,"Yung Luv","Yung Luv","Andrelli,Hearts & Colors",2018-01-12,210000,30,saaato11,2022-11-18T12:53:13Z,"swedish pop,channel pop","Firefly Entertainment AB - X5 Music Group",0.633,0.548,8,-8.018,1,0.0523,0.219,0.0000388,0.0689,0.541,173.994,4
5fKdmq06fBDFG0pC87XUhA,"Pompeii","Pompeii","Ian McConnell",2022-11-10,175970,22,saaato11,2022-11-18T12:53:47Z,"","Ian McConnell",0.676,0.49,9,-9.477,1,0.0464,0.0639,0,0.071,0.321,134.029,4
7x46YkKAwp3yZpaa72n5Mu,"Stubborn Love","The Lumineers (Deluxe Edition)","The Lumineers",2012,279000,13,saaato11,2022-11-18T12:53:54Z,"folk-pop,modern rock,neo mellow,stomp and holler","Decca (UMO)",0.596,0.544,0,-11.759,1,0.0362,0.604,0.0176,0.262,0.262,115.023,4
6zcKVlJ943l7yB5tcEdCbS,"Married With Children","Definitely Maybe","Oasis",1994,192533,37,saaato11,2022-11-18T12:53:59Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.577,0.407,4,-11.536,1,0.0286,0.801,0,0.0971,0.337,87.877,4
3eR23VReFzcdmS7TYCrhCe,"It Ain't Me (with Selena Gomez)","It Ain't Me (with Selena Gomez)","Kygo,Selena Gomez",2017-02-16,220780,77,saaato11,2022-11-18T12:54:37Z,"edm,pop,pop dance,tropical house,post-teen pop","Kygo",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
26hOm7dTtBi0TdpDGl141t,"Die For You","SMITHEREENS","Joji",2022-11-04,211666,66,saaato11,2022-11-18T12:54:42Z,"viral pop","88rising Music/Warner Records",0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,4
0Ts1lnK3lYa2dwE2orDJc5,"I Don’t Think That I Like Her","CHARLIE","Charlie Puth",2022-10-07,188507,58,saaato11,2022-11-18T12:55:09Z,"pop,viral pop","Atlantic Records",0.587,0.548,8,-5.846,0,0.0339,0.396,0,0.109,0.713,186.073,4
6Pgkp4qUoTmJIPn7ReaGxL,"Without You (feat. Sandro Cavazza)","AVĪCI (01)","Avicii,Sandro Cavazza",2017-08-10,181672,74,saaato11,2022-11-18T12:56:36Z,"dance pop,edm,pop,pop dance,swedish pop","Universal Music AB",0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,4
4Dmav01B2Fra0U4VYPPq4d,"MANIAC (feat. Windser)","MANIAC (feat. Windser)","Macklemore,Windser",2022-08-19,180902,42,saaato11,2022-11-18T12:56:52Z,"pop rap,seattle hip hop","Bendo LLC",0.708,0.674,11,-7.434,1,0.107,0.137,0,0.258,0.736,152.051,4
3pJMOvec8R8OKzEmB9PRJD,"Congrats","Congrats","LANY",2022-08-24,217470,35,saaato11,2022-11-18T12:57:03Z,"la pop,opm","For The World Records",0.551,0.491,0,-7.354,1,0.0255,0.0405,0,0.105,0.318,84.003,4
