Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6FBBD18782ptYUNLKlaIHR,"思い出は奇麗で","Black Bird / Tiny Dancers / 思い出は奇麗で","Aimer",2018-09-05,211813,0,saaato11,2020-02-14T12:52:43Z,"anime,anime rock,j-pixie,j-pop,j-poprock","Sony Music Labels Inc.",0.568,0.637,7,-4.722,1,0.0263,0.017,0,0.0562,0.716,93.959,4
7GYGVDPbi0zQUBIkuOPAY0,"ハルノヒ","ハルノヒ","Aimyon",2019-04-03,326866,52,saaato11,2020-02-14T12:52:48Z,"j-acoustic,j-pop","WM Japan",0.591,0.673,9,-2.445,1,0.0294,0.263,0,0.109,0.525,106.956,4
59eluCMn0XbOWqeWQ91FTM,"君はロックを聴かない","青春のエキサイトメント","Aimyon",2017-09-12,246306,65,saaato11,2020-02-14T12:52:51Z,"j-acoustic,j-pop","WM Japan",0.524,0.687,7,-4.039,1,0.0267,0.00135,0,0.169,0.619,99.919,4
5lP7oqYYLpIhUv33KdS4HX,"漂白","青春のエキサイトメント","Aimyon",2017-09-12,291240,45,saaato11,2020-02-14T12:52:54Z,"j-acoustic,j-pop","WM Japan",0.582,0.503,1,-5.939,1,0.029,0.0195,0,0.349,0.502,82.499,4
6QkCxeBgxUV1Up4QsAEzFd,"笑顔","blues","back number",2012-11-21,272466,39,saaato11,2020-02-14T12:53:06Z,"j-pop,j-rock","Universal Music LLC",0.487,0.542,6,-4.407,1,0.0291,0.0414,0,0.103,0.282,75.082,4
2KJuczBBRz3RszSrnyNkHS,"君はいらないだろうな","SISTER","back number",2015-05-27,192453,44,saaato11,2020-02-14T12:53:09Z,"j-pop,j-rock","Universal Music LLC",0.615,0.218,9,-8.38,1,0.0476,0.767,0,0.112,0.379,139.279,4
0HCVA2I2rPnT4s6CUGRWOe,"浮ついた気持ち","あとのまつり","back number",2010,285200,0,saaato11,2020-02-14T12:53:12Z,"j-pop,j-rock","idOLSMITH Recordings",0.595,0.648,7,-5.83,0,0.0317,0.123,0,0.127,0.577,103.966,4
44vXWYTcdrejrIQZEoHzl8,"Lights","Lights/Boy With Luv","BTS",2019-07-03,292773,53,saaato11,2020-02-14T12:53:20Z,"k-pop,k-pop boy group,pop","Universal Music LLC",0.625,0.663,5,-5.115,1,0.0302,0.112,0,0.105,0.398,98.998,4
6b0wum5uIKLGHC6TIRPYZW,"たばこ","コレカラー","Koresawa",2017-08-09,374600,52,saaato11,2020-02-14T12:54:05Z,"anime rock","日本クラウン株式会社",0.666,0.322,5,-8.298,1,0.0314,0.864,0,0.336,0.25,148.151,4
1YykWT9Ry8SNMp4Y1tUhKJ,"まちがいさがし","LOVE","SUDA MASAKI",2019-07-10,223640,0,saaato11,2020-02-14T12:54:18Z,"anime rock,j-pop,japanese punk rock","Sony Music Labels Inc.",0.534,0.642,2,-5.568,1,0.0372,0.523,0,0.39,0.443,155.921,4
77lmDcPPyY6kK907gdgC6i,"HANABI","SUPERMARKET FANTASY","Mr.Children",2008-12-10,342773,0,saaato11,2020-02-14T12:54:27Z,"classic j-pop,j-pop,j-rock","TOY'S FACTORY",0.638,0.766,1,-5.541,1,0.0268,0.156,0,0.124,0.595,112,4
3kvMma1IjS9GwYzH2vFfoa,"くるみ","シフクノオト","Mr.Children",2004-04-07,330306,0,saaato11,2020-02-14T12:54:31Z,"classic j-pop,j-pop,j-rock","TOY'S FACTORY",0.568,0.685,0,-6.428,1,0.024,0.0573,0,0.11,0.286,95.972,4
5SHguvOUbyPTINNjCvRo8K,"春愁","Love me, Love you","Mrs. GREEN APPLE",2018-02-14,183800,65,saaato11,2020-02-14T12:54:36Z,"anime rock,j-pop,j-rock","Universal Music LLC",0.724,0.444,10,-4.903,1,0.0412,0.0121,0,0.123,0.739,129.962,4
27VzBf5TfcPrhoylqxQ46v,"僕のこと","僕のこと","Mrs. GREEN APPLE",2018-12-26,321760,49,saaato11,2020-02-14T12:54:40Z,"anime rock,j-pop,j-rock","Universal Music LLC",0.436,0.705,7,-3.808,1,0.0538,0.0151,0,0.142,0.439,159.972,4
5LkWXxDxUTwEVHL0pfKL55,"Pretender","Pretender","OFFICIAL HIGE DANDISM",2019-05-15,326440,51,saaato11,2020-02-14T12:54:46Z,"anime,anime rock,j-pop","ポニーキャニオン",0.526,0.86,8,-3.37,1,0.027,0.0406,0,0.129,0.403,91.955,4
4np9EJ7JAnGmKRIiuND2X2,"カゲロウ","ゼイタクビョウ","ONE OK ROCK",2007-11-21,248000,0,saaato11,2020-02-14T12:54:54Z,"j-pop,j-rock","A-Sketch",0.532,0.852,9,-6.429,1,0.0429,0.0576,0,0.15,0.583,79.986,4
6D6Pybzey0shI8U9ttRAPx,"欲望に満ちた青年団","ゼイタクビョウ","ONE OK ROCK",2007-11-21,202200,59,saaato11,2020-02-14T12:54:56Z,"j-pop,j-rock","Aer-born",0.554,0.752,11,-5.473,1,0.0303,0.0479,0,0.364,0.694,87.985,4
0a5rZP8sYdlvBRVmcNovyC,"キミシダイ列車","残響リファレンス","ONE OK ROCK",2011-10-05,254746,56,saaato11,2020-02-14T12:54:59Z,"j-pop,j-rock","Aer-born",0.452,0.909,8,-3.791,1,0.0416,0.000226,0.00000171,0.235,0.849,170.092,4
5qZfnmfk2vyyNzbufxPLyF,"トレモロ","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,200013,28,saaato11,2020-02-14T12:55:08Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.531,0.815,0,-4.04,1,0.035,0.00647,0,0.346,0.707,98.043,4
0lQ8EeqnsJmTDIn5WUEPtU,"億万笑者","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,270080,21,saaato11,2020-02-14T12:55:11Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.359,0.917,7,-4.474,1,0.0789,0.00147,0.000605,0.331,0.442,176.144,4
5vmbOCBlB2Vo6ROsQG02no,"有心論","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,250840,34,saaato11,2020-02-14T12:55:14Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.541,0.813,2,-4.949,1,0.128,0.0149,0,0.0875,0.563,145.133,4
2YtGffDs1z9VOZRLW1Iv5J,"いいんですか?","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,248186,36,saaato11,2020-02-14T12:55:17Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.477,0.845,11,-3.975,1,0.0435,0.00386,0,0.0836,0.882,174.865,4
7omUuXZu2DVHqYRUkdOENh,"君と羊と青","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,158186,36,saaato11,2020-02-14T12:55:20Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.413,0.962,8,-2.274,1,0.103,0.000111,0.000519,0.157,0.784,164.049,4
4fnngMruarJ2uQy6Lf7zv4,"会心の一撃","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,276560,37,saaato11,2020-02-14T12:55:23Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.468,0.993,1,-1.306,1,0.163,0.00105,0.00192,0.346,0.357,96.02,4
6FZGeOJzBQ6KI8lyqaztae,"ふたりごと - 一生に一度のワープVer.","RADWIMPSのはじまりはじまりのまとめ","RADWIMPS",2016-05-25,288413,28,saaato11,2020-02-14T12:55:26Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.583,0.852,5,-4.731,1,0.037,0.135,0,0.166,0.733,102.084,4
1hEeUXyPCifIAlrSV8mT0E,"セプテンバーさん","青とメメメと君と","RADWIMPS",2017-02-24,307493,32,saaato11,2020-02-14T12:55:29Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.713,0.8,2,-5.917,1,0.0299,0.594,0,0.0639,0.862,123.082,4
7aBLCJXblSqbifYQNubNnE,"夢番地","青とメメメと君と","RADWIMPS",2017-02-24,296880,24,saaato11,2020-02-14T12:55:33Z,"j-pop,j-rock,visual kei","Universal Music LLC",0.567,0.714,9,-4.117,1,0.0319,0.0287,0,0.191,0.488,131.916,4
6LQw5GHktbS2uiutmJ8j1l,"It's only love","It's only love","Rude-α",2019-09-23,205460,0,saaato11,2020-02-14T12:55:39Z,"japanese pop rap","Sony Music Labels Inc.",0.708,0.799,10,-4.255,1,0.109,0.498,0,0.11,0.727,180.037,4
0v3iUTe5rskRsxbUhboRlT,"いつか","カントリーロード","Saucy Dog",2017-05-24,274871,62,saaato11,2020-02-14T12:55:45Z,"j-indie,j-pop,japanese alternative rock","MASH A&R",0.603,0.509,7,-4.535,1,0.0263,0.0941,0,0.201,0.445,79.989,4
4uSoMPAEXXI8ztBWC6SXIm,"別の人の彼女になったよ","別の人の彼女になったよ","wacci",2018-08-22,303000,0,saaato11,2020-02-14T12:55:56Z,"anime,j-division,j-pop","Sony Music Labels Inc.",0.529,0.631,2,-4.722,1,0.0263,0.0252,0,0.346,0.462,72.035,4
