Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3xgK660fsZH7ZDcOMfIdfB,"Jungle","VHS","X Ambassadors,Jamie N Commons",2015-06-30,189706,55,saaato11,2023-01-18T06:22:38Z,"modern alternative rock,modern rock,stomp pop,modern blues rock","Kid Ina Korner / Interscope",0.389,0.748,2,-4.461,1,0.0805,0.000821,0.00058,0.358,0.216,78.056,4
6kls8cSlUyHW2BUOkDJIZE,"Hate Me (with Juice WRLD)","Hate Me (with Juice WRLD)","Ellie Goulding,Juice WRLD",2019-06-26,186223,68,saaato11,2023-01-18T06:23:10Z,"indietronica,metropopolis,pop,uk pop,chicago rap,melodic rap,rap","Polydor Records",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
1ZPWWSwCkxKfqdp4H0RFCo,"ROXANNE","ROXANNE","Arizona Zervas",2019-10-10,163636,0,saaato11,2023-01-18T06:23:14Z,"indie pop rap,pop rap,rhode island rap","Arizona Zervas",0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5
6Pgkp4qUoTmJIPn7ReaGxL,"Without You (feat. Sandro Cavazza)","AVĪCI (01)","Avicii,Sandro Cavazza",2017-08-10,181672,74,saaato11,2023-01-18T06:23:35Z,"dance pop,edm,pop,pop dance,swedish pop","Universal Music AB",0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,4
1eTdTVIxLlhHwwA50vEzZa,"nothing inside (feat. iann dior)","Tickets To My Downfall","mgk,iann dior",2020-09-25,172234,53,saaato11,2023-01-18T06:25:03Z,"ohio hip hop,pop rap,melodic rap","Bad Boy/Interscope Records",0.561,0.81,8,-4.754,0,0.0461,0.00047,0,0.157,0.508,87.5,4
6qiiDtFAJjyEhoZVcf6ovL,"GOOBA","TattleTales","6ix9ine",2020-09-04,132303,0,saaato11,2023-01-18T06:25:10Z,"emo rap","Create Music Group",0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,4
1OIYK9Ya6EgwJ4fMngrPcK,"Highway to Hell","Iron Man 2","AC/DC",2010-04-29,208920,52,saaato11,2023-01-18T06:25:40Z,"australian rock,hard rock,rock","Columbia",0.575,0.915,6,-4.845,0,0.132,0.0572,0.00248,0.123,0.465,115.768,4
6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,82,saaato11,2023-01-18T06:25:47Z,"dance pop,pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
5ghIJDpPoe3CfHMGu71E6T,"Smells Like Teen Spirit","Nevermind (Remastered)","Nirvana",1991-09-26,301920,76,saaato11,2023-01-18T06:25:58Z,"grunge,permanent wave,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
7rjGZWlqqeEMDrAabwZQhr,"WHY","WHY","NF",2018-06-18,188989,51,saaato11,2023-01-18T06:26:54Z,"hip hop,pop rap","NF Real Music",0.737,0.77,10,-7.753,0,0.51,0.368,0,0.306,0.431,158.351,4
0Fs9cdPDhptWEDJmiCbkEW,"She Knows (feat. Amber Coffman & Cults)","Born Sinner (Deluxe Version)","J. Cole,Cults,Amber Coffman",2013-06-18,296520,75,saaato11,2023-01-18T06:27:06Z,"conscious hip hop,hip hop,north carolina hip hop,rap,experimental pop,indie surf,pov: indie,art pop","Roc Nation LLC",0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,4
3oLe5ZILASG8vU5dxIMfLY,"The Search","The Search","NF",2019-07-26,248053,71,saaato11,2023-01-18T06:27:26Z,"hip hop,pop rap","NF Real Music",0.789,0.789,2,-4.813,1,0.298,0.598,0,0.099,0.37,119.95,4
