Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1VSuFS7PahCN3SWbOcQ98m,"forget me too (feat. Halsey)","Tickets To My Downfall","mgk,Halsey",2020-09-25,171620,66,saaato11,2021-04-17T09:21:28Z,"ohio hip hop,pop rap,electropop,etherpop,indie poptimism,pop","Bad Boy/Interscope Records",0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,4
2mt1IqcFyY1zmYZT8Q3xw9,"hot girl bummer","everything means nothing","blackbear",2020-08-21,188343,1,saaato11,2021-04-17T09:21:46Z,"alt z,pop","Beartrap / Alamo / Interscope Records",0.782,0.559,6,-7.106,0,0.0767,0.125,0,0.385,0.685,129.992,1
5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,83,saaato11,2021-04-17T09:24:19Z,"canadian contemporary r&b,canadian pop,pop","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
2Nl3vx5qRnATIckVRZxb4T,"何なんw","HELP EVER HURT NEVER","Fujii Kaze",2020-05-20,320640,60,saaato11,2021-04-17T09:27:16Z,"japanese teen pop","Universal Music LLC",0.633,0.729,7,-7.113,1,0.13,0.394,0.000164,0.144,0.69,89.851,4
4uVslVnCNW0wkBxUmtqeVn,"i hope your whole life sux","cybersex","blackbear",2017-11-27,179186,0,saaato11,2021-04-17T09:29:44Z,"alt z,pop","Alamo Records / Interscope",0.699,0.645,1,-5.862,0,0.199,0.27,0,0.0686,0.696,133.942,4
6WypApj7S2Nxbk7Cz545N3,"Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347525,35,saaato11,2021-04-17T09:32:57Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,4
3GRSqlALWISqLeNncZMbpX,"Mean It","~how i'm feeling~","Lauv,LANY",2019-11-14,232853,0,saaato11,2021-04-17T09:33:57Z,"pop,la pop,opm","Lauv",0.746,0.45,7,-8.543,1,0.0872,0.0407,0,0.172,0.336,95.998,4
09IOPhEh1OMe0HD9b36FJk,"Over Now","beerbongs & bentleys","Post Malone",2018-04-27,246986,61,saaato11,2021-04-17T09:35:41Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.569,0.777,4,-4.041,0,0.0834,0.137,0,0.132,0.181,164.029,4
7dt6x5M1jzdTEt8oCbisTK,"Better Now","beerbongs & bentleys","Post Malone",2018-04-27,231266,77,saaato11,2021-04-17T09:35:45Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.674,0.578,10,-5.804,1,0.0408,0.331,0,0.135,0.34,145.07,4
53mrVsi49rLHIaKBiSvElG,"do re mi (feat. Gucci Mane)","do re mi (feat. Gucci Mane)","blackbear,Gucci Mane",2017-07-28,233705,0,saaato11,2021-04-17T09:36:44Z,"alt z,pop,atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap","Alamo Records / Interscope",0.746,0.647,8,-6.388,1,0.052,0.007,0,0.156,0.196,112.015,3
5ZOBvjy3QOGmIjqamE9J32,"YEAH RIGHT","TEST DRIVE","Joji",2018-10-16,174357,0,saaato11,2021-04-17T09:37:17Z,"viral pop","88rising Music/12Tone Music, LLC",0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,4
