Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3a3dQOO19moXPeTt2PomoT,"What You Heard","What You Heard","Sonder",2019-02-22,238242,76,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-28T07:29:47Z,"experimental r&b","Sonder Global",0.429,0.371,2,-9.017,0,0.0327,0.546,0.00000571,0.104,0.135,137.134,4
3PWWCpVpIqLehQMvEeIV7L,"Paper Soldier","Paper Soldier","vixorite",2022-12-31,241742,0,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-28T07:29:58Z,"","BraveSquid",0.701,0.525,1,-10.182,1,0.242,0.222,0.0133,0.09,0.701,151.084,4
3REQkt60mafExNVnJehMdL,"Make Me Stay","Too Late To Die Young","Sonder",2022-10-21,172131,59,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:44:48Z,"experimental r&b","Sonder Global LLC",0.739,0.371,4,-8.152,0,0.0511,0.358,0.0000427,0.139,0.207,122.033,4
1rKdNSA119ByMxI9chV5J6,"too far close","It'll Be Fine","Chase Shakur",2022-06-24,180266,62,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:45:08Z,"","Forever N September",0.795,0.334,4,-10.074,0,0.0479,0.559,0.0148,0.112,0.403,129.99,4
174yp4XX5F3HGX82Lj2JBB,"Know That You Are Loved","Mother","Cleo Sol",2021-08-20,202440,57,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-28T07:30:21Z,"alternative r&b,uk contemporary r&b,uk funky","Forever Living Originals",0.432,0.0513,9,-19.795,1,0.0378,0.977,0.918,0.125,0.127,139.545,4
1xK59OXxi2TAAAbmZK0kBL,"Romantic Homicide","Romantic Homicide","d4vd",2022-07-20,132630,85,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-28T07:30:34Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
22IVwZ1qqRkylPpBamcznF,"dream river.","new home","Woodsman",2020-01-31,91945,48,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-28T07:31:04Z,"","Sonder House",0.252,0.13,8,-26.619,0,0.0449,0.969,0.876,0.105,0.0775,140.779,3
1PDP7mLiAMwhfmgIwzhOm2,"Yebba’s Heartbreak","Certified Lover Boy","Drake,Yebba",2021-09-03,133762,76,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:48:26Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,pop soul","OVO",0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,4
0Qr61NXlyAeQaADO5xn3rI,"Cry","Cry","Cigarettes After Sex",2019-10-25,256800,3,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:49:47Z,"ambient pop,dream pop,el paso indie,shoegaze","PTKF",0.409,0.399,7,-10.456,1,0.0275,0.763,0.654,0.112,0.161,142.823,4
4lH6nENd1y81jp7Yt9lTBX,"Solo","HNDRXX","Future",2017-07-27,265996,80,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:49:52Z,"atl hip hop,hip hop,rap,southern hip hop,trap","Epic/Freebandz/A1",0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,4
78Sw5GDo6AlGwTwanjXbGh,"Here With Me","Here With Me","d4vd",2022-09-22,242484,32,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:53:00Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.574,0.469,4,-8.209,1,0.0254,0.534,0.0000921,0.128,0.288,132.023,4
3Z0qLOS0cqWKPHXkbTXmNF,"Gilded Lily","Offering","Cults",2022-10-26,212736,75,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:53:16Z,"experimental pop,indie surf,pov: indie","Sinderlyn/Columbia",0.4,0.571,11,-6.534,0,0.0288,0.468,0.0000305,0.519,0.146,61.859,4
0j3mqDTK4Z6lvrLzFCUUz6,"Good Looking","Good Looking","Suki Waterhouse",2022-08-18,214800,81,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:54:25Z,"indie pop","Sub Pop Records",0.365,0.554,4,-9.076,1,0.03,0.079,0.000358,0.125,0.259,150.11,3
4PEGwWH4tL6H7dGl4uVSPg,"Like a Tattoo","Love Deluxe","Sade",1992-10-26,218000,74,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:58:44Z,"british soul,sophisti-pop","Epic",0.557,0.16,5,-16.302,0,0.0315,0.922,0.000756,0.0996,0.133,136.01,4
1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,79,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T07:58:52Z,"british soul,sophisti-pop","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
1SvET7grrtsHT0CkyJjJcZ,"Is It a Crime","The Best of Sade","Sade",1994-10-31,381560,62,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T08:00:50Z,"british soul,sophisti-pop","Epic",0.45,0.376,5,-10.398,0,0.033,0.223,0.00489,0.184,0.542,122.427,3
6gyxAPdkCJI9lj3J1IhW5z,"Love Is Stronger Than Pride","The Best of Sade","Sade",1994-10-31,258226,53,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-29T08:01:20Z,"british soul,sophisti-pop","Epic",0.595,0.34,4,-12.362,0,0.0288,0.813,0.000298,0.0946,0.292,87.557,4
2J6OF7CkpdQGSfm1wdclqn,"Clouded","Fuck The World","Brent Faiyaz",2020-02-07,110128,78,31h4lhmjsdfwsu7csk46qjvti7yy,2023-02-04T05:02:33Z,"r&b,rap","Lost Kids",0.583,0.344,2,-8.765,1,0.0559,0.774,0,0.143,0.581,65.203,3
0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,75,31h4lhmjsdfwsu7csk46qjvti7yy,2023-02-04T05:02:57Z,"r&b,rap","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
6BiCjPFN5rM9JPy5eP5mCs,"RIP Young","The House Is Burning","Isaiah Rashad",2021-07-30,158050,65,31h4lhmjsdfwsu7csk46qjvti7yy,2023-02-04T07:20:56Z,"hip hop,rap,tennessee hip hop,underground hip hop","Top Dawg Entertainment/Warner Records",0.971,0.677,2,-6.895,1,0.092,0.0476,0.0000222,0.112,0.58,120.027,4
0WFryfbNKPXVtVQlz5dZ8H,"hotline (edit)","hotline (edit)","Billie Eilish",2023-05-09,60719,77,31h4lhmjsdfwsu7csk46qjvti7yy,2023-06-08T05:39:48Z,"art pop,pop","Darkroom/Interscope Records",0.516,0.254,9,-16.027,0,0.0589,0.816,0.855,0.189,0.304,56.829,4
3RznzRnsl8mzP63l4AF2M7,"Dream Sweet in Sea Major","Hawaii: Part II","Miracle Musical",2012-12-12,420012,64,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-13T10:39:37Z,"pov: indie","ミラクルミュージカル",0.341,0.428,0,-11.193,1,0.0414,0.919,0.0675,0.106,0.188,169.896,4
2nltARCkZyrzjQANViDpuX,"Jacob and the Stone","Minari (Original Motion Picture Soundtrack)","Emile Mosseri",2021-02-12,98560,72,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-18T06:53:32Z,"","Masterworks",0.193,0.171,1,-18.494,1,0.0368,0.915,0.942,0.119,0.105,84.067,4
2FH1R4lNVQQx64VLEPLOhF,"Big Country","Minari (Original Motion Picture Soundtrack)","Emile Mosseri",2021-02-12,136234,49,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-18T06:53:42Z,"","Masterworks",0.254,0.202,8,-19.028,1,0.0309,0.975,0.927,0.0784,0.199,61.854,4
5ycC7I02VDiWjAxaDOuH5A,"Rain Song","Minari (Original Motion Picture Soundtrack)","Emile Mosseri,Han Ye-ri",2021-02-12,132650,39,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-18T06:53:50Z,"","Masterworks",0.2,0.0897,8,-18.295,1,0.0347,0.89,0.529,0.111,0.189,178.692,3
09rSXt91Fe1b6ZBjKrbzhL,"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto","Rachmaninoff: Piano Concerto No. 2 in C Minor, Op. 18 & Piano Concerto No. 3 in D Minor, Op. 30","Sergei Rachmaninoff,Khatia Buniatishvili,Paavo Järvi,Czech Philharmonic",2017-03-10,655080,35,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-18T06:54:01Z,"classical,post-romantic era,russian romanticism,ukrainian classical,caucasian classical piano,classical piano,classical performance,orchestral performance,orchestra,symfonicky orchestr","Sony Classical",0.0767,0.023,4,-28.564,1,0.0418,0.975,0.893,0.0732,0.0372,73.377,4
57R1nBluakXaayH9EzgwZa,"Pearls","The Best of Sade","Sade",1994-10-31,273826,54,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-18T06:54:19Z,"british soul,sophisti-pop","Epic",0.109,0.117,7,-16.216,0,0.0301,0.842,0.00122,0.108,0.0398,79.851,1
7erXAfnatmoUow8DnbseOY,"Your Love Is King","The Best of Sade","Sade",1994-10-31,219893,58,31h4lhmjsdfwsu7csk46qjvti7yy,2023-07-18T06:54:55Z,"british soul,sophisti-pop","Epic",0.741,0.421,9,-6.789,1,0.0303,0.577,0.0000719,0.0374,0.595,134.621,3
2QVmiA93GVhWNTWQctyY1K,"Outro","Hurry Up, We're Dreaming","M83",2011,247026,61,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-01T05:40:40Z,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop","Mute",0.226,0.261,2,-11.276,1,0.0339,0.0301,0.0677,0.0628,0.084,108.915,4
1Fwj0wThn3kTg8D7KgWdsU,"My Tears Are Becoming A Sea","Hurry Up, We're Dreaming","M83",2011,151826,58,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-01T05:41:10Z,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop","Mute",0.194,0.376,4,-11.356,1,0.0463,0.11,0.386,0.593,0.0723,48.637,3
575kn9FC2EQX0bvDBOlz21,"Falling","Time","Timothy Cole",2018-11-08,182000,44,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-01T05:55:31Z,"","631572 Records DK",0.233,0.025,6,-29.374,1,0.0353,0.988,0.914,0.104,0.131,63.536,5
40TZnaw4eDPChJNHw2Swf3,"Let U Go","Let U Go","lucidbeatz",2023-01-08,128004,73,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-09T12:25:55Z,"","Next Chapter Music",0.764,0.264,9,-18.716,0,0.12,0.139,0.0109,0.104,0.0385,135.016,5
1jCsCYgzQQHk3bDJDuFbNi,"If I Ever Fall In Love","If I Ever Fall In Love","Shai",1992-01-01,189026,58,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-14T00:58:13Z,"boy band,contemporary r&b,new jack swing,r&b","Gasoline Alley",0.402,0.205,6,-11.232,1,0.038,0.758,0,0.147,0.42,143.994,4
2DpJ9T2RVRanZcYFHKOAfA,"Put Your Head On My Shoulder","Put Your Head On My Shoulder: The Very Best Of Paul Anka","Paul Anka",2000-10-03,154733,66,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-24T01:51:38Z,"adult standards,canadian pop,easy listening,rock-and-roll","RCA Records Label",0.547,0.335,4,-9.2,0,0.0307,0.747,0,0.101,0.474,115.838,3
1mdfrHeZzxjz0FJ4BKRuxS,"Puppy Love - Remastered","Paul Anka Sings His Big 15 (Remastered)","Paul Anka",1959-01-02,161533,57,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-24T01:51:53Z,"adult standards,canadian pop,easy listening,rock-and-roll","Green Hill Productions",0.234,0.443,7,-7.605,1,0.0361,0.701,0,0.25,0.448,68.69,4
7wA6K5a70ApY3Ypgqg4Gbz,"Dagenham Dream","Negro Swan","Blood Orange",2018-08-24,165395,40,31h4lhmjsdfwsu7csk46qjvti7yy,2023-10-03T08:28:33Z,"alternative r&b,art pop,escape room,indie soul,indietronica,metropopolis","Domino Recording Co",0.53,0.399,1,-11.211,1,0.127,0.589,0.0000107,0.109,0.497,177.193,4
6wrptu9SlLfq8bE6C86kEX,"Che Vuole Questa Musica Stasera","Profumo di donna (Original Motion Picture Soundtrack)","Armando Trovajoli",2003,217186,56,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-03T04:30:17Z,"vintage italian soundtrack","Creazioni Artistiche Musicali",0.499,0.339,0,-10.147,0,0.0317,0.687,0.0000191,0.112,0.29,90.864,3
7pcGcVUN9m12lfNuS3Xz8I,"Once Upon a Time","Once Upon a Time","Austin Farwell",2022-02-01,92592,64,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-03T04:30:21Z,"ambient lo-fi","785668 Records DK",0.346,0.0227,6,-25.447,1,0.0387,0.982,0.921,0.0976,0.0611,69.424,5
7caj6X6NMX3tlhWnu1du6V,"We Belong Together","Ritchie Valens","Ritchie Valens",1959,116626,71,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-12T04:27:24Z,"rock-and-roll,rockabilly","Rhino/Del-Fi",0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,3
0VE4ayVlGs5DBoqOdgJ0Zv,"Donna - Single Version","Ritchie Valens","Ritchie Valens",1959,150973,57,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-12T04:27:34Z,"rock-and-roll,rockabilly","Rhino/Del-Fi",0.472,0.225,5,-12.581,1,0.0263,0.864,0,0.111,0.29,100.299,3
75FAk9JQHHLecKEZ8OZxpK,"I Do Love You","Disco Nights (Expanded Edition)","G.Q.",1979-01-01,288733,48,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-12T04:28:17Z,"classic soul,disco,funk,post-disco,quiet storm","Legacy Recordings",0.465,0.48,7,-13.653,1,0.202,0.0343,0.00000293,0.0427,0.365,184.611,4
0ARAvN0l7iViWw15JtsU3E,"I Do Love You","Oh, How It Hurts","Barbara Mason",1968-01-01,204493,43,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-12T04:29:31Z,"classic soul,philly soul,southern soul","Arctic",0.707,0.357,10,-9.363,1,0.0288,0.571,0.0000541,0.0709,0.653,84.344,4
1ZWoj485L6n4QRN0ahm5iY,"I Want You Back - Remastered","East Side Story Volume 5","Don Julian & The Larks",1999-03-30,188626,46,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-12T04:30:01Z,"rhythm and blues,souldies","East Side Records",0.619,0.271,0,-10.129,1,0.102,0.852,0,0.327,0.681,158.866,3
322jQ92QZRnliN8VbQMsUh,"Lights Are On - Instrumental","Lights Are On (Instrumental)","Edith Whiskers",2021-11-05,192075,67,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-18T08:31:36Z,"","Tinpot Records",0.274,0.144,3,-20.374,1,0.0372,0.932,0.916,0.111,0.172,136.023,4
6rICwAoIjzdTjvm7OvW6qJ,"It Was Only a Dream","It Was Only a Dream / I Don't Mind","Joey Quinones,Thee Sinseers",2019-06-18,148946,59,31h4lhmjsdfwsu7csk46qjvti7yy,2024-10-02T05:32:39Z,"souldies,retro soul","Colemine Records",0.416,0.196,5,-12.043,1,0.0302,0.827,0.727,0.101,0.362,180.371,3
5eNlV1bKbo1ElXD0Rg2iIv,"pluto projector (melody)","pluto projector (instrumental)","emptiness",2024-01-08,71168,53,31h4lhmjsdfwsu7csk46qjvti7yy,2024-10-02T05:32:47Z,"liminal space","Chilled Sad",0.232,0.0065,7,-38.757,1,0.0412,0.968,0.95,0.0926,0.279,75.275,4
736PP5LTtREkDgktNmX3Gu,"Superpowers","NEVER ENOUGH","Daniel Caesar",2023-04-07,174512,80,31h4lhmjsdfwsu7csk46qjvti7yy,2024-12-03T08:35:14Z,"canadian contemporary r&b","Republic Records",0.459,0.433,7,-8.983,1,0.0367,0.614,0.0285,0.19,0.0482,106.626,5
