Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1GRLxWFbZZZGF8mQw2BKSY,"Evol","Bright Future","Adrianne Lenker",2024-03-22,254263,52,,2024-12-24T14:38:13Z,"countrygaze,indie pop,small room","4AD",0.238,0.131,1,-12.652,1,0.0365,0.977,0,0.0915,0.376,205.35,4
29Ke83VgW4Bb2eI2LgT9Pc,"my favorite band - voice note","voice notes","Sydney Rose",2024-11-22,172222,30,,2024-12-24T13:48:42Z,"gen z singer-songwriter","Many Hats Distribution",0.441,0.267,9,-14.18,1,0.0757,0.603,0.00137,0.16,0.164,77.612,4
4Y4IjuPcNAma7vlKRrwAcy,"walking words.","walking words.","bendziis",2024-08-17,225957,16,,2024-12-24T13:31:43Z,"","6725377 Records DK",0.801,0.435,3,-14.335,0,0.157,0.235,0.00845,0.134,0.977,139.928,4
5rPNVwYjVEgkq6YNPki4Zc,"BABYDOLL","BABYDOLL","Ari Abdul",2022-02-22,196235,73,,2024-12-24T13:30:55Z,"dark r&b,sped up","Not specified",0.485,0.585,11,-5.097,0,0.0359,0.0483,0.0113,0.489,0.51,84.941,4
1CxtymiucDK0AB9vgGZ6q2,"J’comprends pas","Que la famille","PNL",2015-03-02,283493,70,,2024-12-24T13:29:43Z,"french hip hop,pop urbaine","Pnl",0.373,0.523,1,-9.111,1,0.041,0.228,0.0171,0.111,0.0398,104.959,4
3FLY0t9loX5LBi4MMWxWrV,"Symphonia IX","Wild Heart","Current Joys",2013-01-02,181360,75,,2024-12-24T13:26:51Z,"lo-fi indie,pov: indie","Current Joys",0.593,0.38,0,-12.682,1,0.0247,0.913,0.573,0.289,0.149,99.323,4
18mGXTNsyfqwE3AZ9WbEy0,"I Think You Were in My Profile Picture Once","Sports","Modern Baseball",2012-11-27,79796,55,,2024-12-24T13:26:30Z,"alternative emo,emo,philly indie,pov: indie","Good Harbor",0.556,0.481,1,-9.758,1,0.0423,0.645,0,0.12,0.351,179.745,3
0s8XyNiZlOjH2uerXGwV6P,"Daylight","Amnesia","5 Seconds of Summer",2014-01-01,205969,45,,2024-12-24T13:25:47Z,"boy band,pop","Capitol",0.515,0.793,2,-3.908,1,0.047,0.0052,0,0.313,0.484,155.868,4
1tZcw7GtIqviL32bzaKdSo,"(Nice Dream)","The Bends","Radiohead",1995-03-13,233226,62,,2024-12-24T13:24:47Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.263,0.566,9,-11.075,1,0.0344,0.163,0.261,0.225,0.375,172.851,3
4EKxkcaHHu7uYJu6yWDnes,"Permanent Daylight","My Iron Lung","Radiohead",1994-09-26,169253,47,,2024-12-24T13:22:04Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.403,0.708,2,-11.248,1,0.0343,0.0843,0.942,0.0821,0.0768,139.452,4
1ShRHPAiiIrh0arZbSFmx1,"Heavy","CINEMA","The Marías",2021-06-25,253213,77,,2024-12-24T13:21:09Z,"bedroom pop,la indie","Nice Life/Atlantic",0.76,0.413,0,-8.395,1,0.0307,0.326,0.745,0.0601,0.733,96.999,4
11hEwcy9LMEvzAlOYAFhkK,"not a lot, just forever","songs","Adrianne Lenker",2020-10-23,250198,75,,2024-12-24T13:20:17Z,"countrygaze,indie pop,small room","4AD",0.354,0.269,1,-13.242,1,0.0297,0.885,0.00035,0.0872,0.304,91.608,4
6UO72VSXEONxdfLyABihs9,"Black Star","The Bends","Radiohead",1995-03-13,247040,68,,2024-12-24T13:19:12Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.289,0.555,7,-7.434,1,0.0402,0.00312,0.0496,0.27,0.306,158.671,4
7wTqEW5nrMhvyEhEyTnOMd,"The Cut That Always Bleeds","Kid Krow","Conan Gray",2020-03-20,231920,77,,2024-12-24T13:18:38Z,"bedroom pop,pop,pov: indie","Republic Records",0.489,0.413,0,-6.499,1,0.0314,0.59,0,0.0639,0.246,136.116,4
5tyMJlMqaggzvuX7TtlrTe,"Love song","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,229325,65,,2024-12-24T13:17:27Z,"art pop,pop","Polydor Records",0.384,0.0701,9,-16.512,1,0.0367,0.966,0.00017,0.0805,0.288,63.425,4
0vxNNwfm6zj8ISkCi6INFR,"Weathervane","Weathervane","Hunter Metts",2024-11-15,224173,67,,2024-12-24T13:16:41Z,"","Position Music",0.521,0.431,7,-9.841,1,0.0335,0.834,0.000688,0.116,0.35,144.995,4
5Qv2Nby1xTr9pQyjkrc94J,"All I Need","In Rainbows","Radiohead",2007-12-28,228746,75,,2024-12-24T13:16:15Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock","XL Recordings",0.67,0.478,4,-8.689,0,0.0355,0.531,0.428,0.138,0.0997,88.014,4
6BuB8dzxIclK31T7z2ppLg,"LIKE ME","LIKE ME","MGEE",2023-08-17,143811,53,,2024-12-24T13:11:32Z,"","Gambl Records / StayBizzy",0.793,0.65,2,-7.136,0,0.139,0.736,0.000189,0.112,0.702,140.003,4
