Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
18UsAG7SfOQ5sxJEdjAMH0,"Be My Mistake","A Brief Inquiry Into Online Relationships","The 1975",2018-11-30,256687,64,saaato11,2021-02-07T13:15:13Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.576,0.155,6,-14.405,1,0.0341,0.834,0.000137,0.0906,0.0946,109.843,3
22AJMMJMaQ3qtTwlegrKcm,"Six Feet Apart","Six Feet Apart","Alec Benjamin",2020-04-09,173705,48,saaato11,2021-02-07T13:18:48Z,"alt z,pop,pov: indie","P2020",0.492,0.378,5,-7.117,1,0.0304,0.811,0,0.136,0.497,110.907,4
5dTJMpqiELczVuHJP3OAEu,"This Town","This Town","Niall Horan",2016-09-29,232600,54,saaato11,2021-02-07T13:19:16Z,"pop","Capitol Records (US1A)",0.679,0.407,9,-7.778,1,0.0302,0.699,0,0.122,0.195,111.814,4
3zesxb7sOGbeSwUrzLUP0f,"Palace","The Thrill Of It All (Special Edition)","Sam Smith",2017-11-03,187156,48,saaato11,2021-02-07T13:19:43Z,"pop,uk pop","PLG - Capitol",0.425,0.193,9,-10.236,1,0.0316,0.74,0.00000418,0.117,0.273,84.93,3
7qH9Z4dJEN0l9bidizW7fq,"Anchor","Bathing Beach","Novo Amor",2017-05-26,257533,77,saaato11,2021-02-07T13:20:20Z,"ambient folk,indie folk","AllPoints",0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4
6668ZaUUXqZ25Tb0DMr2HO,"When You Love Someone - Acoustic","When You Love Someone (Acoustic)","James TW",2016-08-19,210106,54,saaato11,2021-02-07T13:21:37Z,"british singer-songwriter,uk pop","Island Records",0.712,0.298,7,-8.363,1,0.0407,0.779,0,0.115,0.568,125.019,4
7oRNU7Tmek0nm2lqyDojoG,"Beach Baby","Blood Bank","Bon Iver",2009-01-20,160093,0,saaato11,2021-02-07T13:22:00Z,"chamber pop,eau claire indie,indie folk,melancholia,modern rock","Jagjaguwar",0.668,0.081,0,-17.282,1,0.0366,0.983,0.42,0.114,0.0925,114.358,3
2LthqyP0MLhGUBICwR1535,"Re: Stacks","For Emma, Forever Ago","Bon Iver",2008-02-19,401413,0,saaato11,2021-02-07T13:25:12Z,"chamber pop,eau claire indie,indie folk,melancholia,modern rock","Jagjaguwar",0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.053,4
3CzWNLFyIwns8KJgH5toHV,"You Are Your Mother's Child","Upside Down Mountain","Conor Oberst",2014-05-16,228640,31,saaato11,2021-02-07T13:25:41Z,"chamber pop,indie rock,melancholia,omaha indie","Nonesuch",0.611,0.174,9,-13.153,1,0.0452,0.875,0,0.102,0.463,115.558,4
3haQUZHtNrjLzWg7oY4Fvx,"Hey There Delilah","Ambiance Dimanche Matin","Plain White T's",2020-09-25,232826,0,saaato11,2021-02-07T13:29:24Z,"modern rock,neo mellow,neon pop punk,pop punk,pop rock","UME - Global Clearing House",0.535,0.388,2,-10.162,1,0.0288,0.892,0.0000303,0.126,0.322,103.927,4
6ORqU0bHbVCRjXm9AjyHyZ,"Good Riddance (Time of Your Life)","Nimrod","Green Day",1997-10-14,153466,77,saaato11,2021-02-07T13:33:41Z,"modern rock,permanent wave,punk,rock","Reprise",0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,4
