Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,75,redsnake1377,2020-01-26T00:08:48Z,"indie rock,la indie,modern alternative rock,modern rock,pov: indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,82,redsnake1377,2020-01-26T00:08:54Z,"australian psych,modern rock,neo-psychedelic,rock","Universal Music Australia Pty. Ltd.",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
5SlHTXLWa0nvh8VtGgKlJB,"Beggin'","Conquest","Madcon",2009-01-01,216520,0,redsnake1377,2020-01-26T00:09:00Z,"norwegian hip hop","Universal Records",0.731,0.718,4,-7.51,0,0.0672,0.0226,0,0.0518,0.428,129.053,4
2SkJKMfjpYsNv0KWOxiegX,"Kaleidoscope","When the Morning Comes","A Great Big World",2015-11-13,229320,48,redsnake1377,2020-01-26T00:09:05Z,"neo mellow,piano rock,pop rock,viral pop","Epic",0.709,0.913,7,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4
4NtUY5IGzHCaqfZemmAu56,"Dancing Queen","Arrival","ABBA",1976,230693,1,redsnake1377,2020-01-26T00:09:09Z,"europop,swedish pop","Polar Music International AB",0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,4
7FESgYLcOufHqKlwrvJN60,"Feel It Still","Feel It Still","Portugal. The Man",2017-03-02,163250,52,redsnake1377,2020-01-26T00:09:14Z,"indie rock,indietronica,modern alternative rock,modern rock","Atlantic Records",0.78,0.798,1,-5.151,0,0.0613,0.0406,0.0000631,0.0733,0.771,78.969,4
2ISSQPb9LHHiV6ng2NXosL,"Beautiful Now","True Colors","Zedd,Jon Bellion",2015-05-15,218293,66,redsnake1377,2020-01-26T00:09:17Z,"complextro,edm,german techno,pop,pop dance,indie pop rap","Interscope",0.628,0.832,11,-4.126,0,0.0282,0.0079,0.0000146,0.074,0.56,128.003,4
0gb1J5UrTpzaU1s3nupgCd,"No Money","No Money","Galantis",2016-04-01,189126,63,redsnake1377,2020-01-26T00:09:21Z,"dance pop,edm,pop,pop dance,progressive electro house","Big Beat Records",0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01,4
6tNQw4RAj7oYogHXVzKJg8,"Feels Like Summer","Feels Like Summer","Weezer",2017-03-16,195389,31,redsnake1377,2020-01-26T00:09:26Z,"alternative rock,modern power pop,modern rock,permanent wave,rock","Crush Music/Atlantic",0.468,0.939,11,-1.976,1,0.112,0.0139,0.0000925,0.833,0.698,176.075,4
1kusepF3AacIEtUTYrw4GV,"Paper Planes","Kala","M.I.A.",2007-01-01,203760,2,redsnake1377,2020-01-26T00:09:30Z,"escape room,indietronica,new rave","Interscope",0.447,0.848,2,-6.175,1,0.222,0.033,0.0000745,0.722,0.485,172.247,4
7zsXy7vlHdItvUSH8EwQss,"Cold Water","Cold Water","Major Lazer,Justin Bieber,MØ",2016-07-22,185360,65,redsnake1377,2020-01-26T00:09:43Z,"dance pop,edm,electro house,moombahton,pop,pop dance,canadian pop,danish pop,electropop","Mad Decent PS (Bieber/Major Lazer)",0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.5,92.946,4
0SuLAslEMFZAXf0SwY7syi,"All Time Low","The Human Condition","Jon Bellion",2016-06-10,217603,66,redsnake1377,2020-01-26T00:09:48Z,"indie pop rap","Capitol Records (CAP)",0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,4
7j56HrjR9cGzvekvZY3Faz,"HandClap","Fitz and The Tantrums","Fitz and The Tantrums",2016-06-10,193253,63,redsnake1377,2020-01-26T00:09:52Z,"la indie,modern alternative rock,modern rock,pop rock,pov: indie","Elektra (NEK)",0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956,4
3yWsWi2PAo9s6elIhnywIS,"One Foot","One Foot","WALK THE MOON",2017-09-22,261371,0,redsnake1377,2020-01-26T00:09:57Z,"dance rock,modern alternative rock,modern rock,neo mellow,pop rock","RCA Records Label",0.581,0.826,0,-4.87,1,0.0357,0.00773,0.00000156,0.792,0.492,100.018,4
2P4OICZRVAQcYAV2JReRfj,"Waiting For Love","Stories","Avicii",2015-10-02,230613,77,redsnake1377,2020-01-26T00:10:01Z,"dance pop,edm,pop,pop dance","Universal Music AB",0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,4
3s4U7OHV7gnj42VV72eSZ6,"Rather Be (feat. Jess Glynne)","Rather Be (feat. Jess Glynne)","Clean Bandit,Jess Glynne",2014-01-17,227833,71,redsnake1377,2020-01-26T00:10:16Z,"pop,uk dance,uk funky,dance pop,uk pop","Atlantic Records",0.799,0.586,11,-6.735,1,0.0377,0.162,0.00000203,0.193,0.549,120.97,4
23L5CiUhw2jV1OIMwthR3S,"In the Name of Love","In the Name of Love","Martin Garrix,Bebe Rexha",2016-07-29,195706,76,redsnake1377,2020-01-26T00:10:19Z,"dutch edm,edm,pop,pop dance,progressive house,dance pop","Epic Amsterdam",0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,4
0xMd5bcWTbyXS7wPrBtZA6,"Burn","Halcyon Days","Ellie Goulding",2013-01-01,231211,55,redsnake1377,2020-01-26T00:10:54Z,"indietronica,metropopolis,pop,uk pop","Polydor Records",0.559,0.777,1,-5.031,1,0.0432,0.31,0,0.105,0.329,87.016,4
2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,80,redsnake1377,2020-01-26T00:11:09Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
5uHYcK0nbEYgRaFTY5BqnP,"Magic (feat. Rivers Cuomo)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Rivers Cuomo",2010-04-27,196133,60,redsnake1377,2020-01-26T00:11:30Z,"atl hip hop,dance pop,pop rap,rap,southern hip hop,alternative rock","Rebel Rock/Grand Hustle/Atlantic",0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,4
6Z8R6UsFuGXGtiIxiD8ISb,"Safe And Sound","In A Tidal Wave Of Mystery (Deluxe Edition)","Capital Cities",2013,192789,41,redsnake1377,2021-09-18T03:37:37Z,"metropopolis,modern rock","Capital Cities",0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
2iUmqdfGZcHIhS3b9E9EWq,"Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,76,redsnake1377,2021-05-19T17:46:42Z,"modern rock,neo mellow,pop rock,pov: indie","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
4kbj5MwxO1bq9wjT5g9HaA,"Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,83,redsnake1377,2021-05-19T17:46:49Z,"dance rock,modern alternative rock,modern rock,neo mellow,pop rock","RCA Records Label",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris,Ellie Goulding",2014-10-31,227266,82,redsnake1377,2021-05-19T17:47:10Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,indietronica,metropopolis,uk pop","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
6cMswWRv4lAU3mh5lclgCc,"Dreaming","LOVETAP!","Smallpools",2015-03-24,216253,57,redsnake1377,2021-05-19T17:47:48Z,"hopebeat,indie poptimism,la indie,la pop,metropopolis,modern alternative rock,modern rock","RCA Records Label",0.612,0.89,10,-2.827,0,0.047,0.000478,0,0.0672,0.886,118.989,4
3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,84,redsnake1377,2021-10-09T20:54:04Z,"dance pop,pop,post-teen pop","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
5GjnIpUlLGEIYk052ISOw9,"This Is What It Feels Like","Intense","Armin van Buuren,Trevor Guthrie",2013-05-03,204360,69,redsnake1377,2022-07-07T15:36:34Z,"dutch house,dutch trance,edm,pop dance,progressive house,trance,canadian pop","ARVA",0.551,0.833,8,-5.217,1,0.03,0.0391,0.00000277,0.0632,0.145,129.885,5
5XVjNRubJUW0iPhhSWpLCj,"Better Off Alone","Who Needs Guitars Anyway?","Alice Deejay",2000-10-01,214883,76,redsnake1377,2022-07-31T17:35:22Z,"eurodance","Universal Music, a division of Universal International Music BV",0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,4
60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd,Foxes",2012-01-01,271426,73,redsnake1377,2022-11-21T05:09:04Z,"complextro,edm,german techno,pop,pop dance,electropop,metropopolis,uk pop","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,79,redsnake1377,2022-11-21T05:10:25Z,"dance pop,pop rap,deep talent show","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
67T6l4q3zVjC5nZZPXByU8,"Whatcha Say","Jason Derulo","Jason Derulo",2010-02-24,221253,65,redsnake1377,2022-11-21T05:10:36Z,"dance pop,pop","Beluga Heights/Warner Records",0.615,0.711,11,-5.507,1,0.078,0.0444,0,0.145,0.711,144.034,4
5y69gQtK33qxb8a24ACkCy,"A Thousand Miles","Be Not Nobody","Vanessa Carlton",2002-04-30,237493,0,redsnake1377,2022-11-21T05:10:43Z,"lilith,neo mellow,piano rock,pop rock,post-teen pop","A&M",0.559,0.845,11,-3.871,1,0.0379,0.222,0,0.164,0.304,94.915,4
4bPQs0PHn4xbipzdPfn6du,"I Write Sins Not Tragedies","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,186634,70,redsnake1377,2022-11-21T05:10:56Z,"pop","Decaydance Records / Fueled By Ramen",0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094,4
2dBwB667LHQkLhdYlwLUZK,"Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-11-12,265427,64,redsnake1377,2022-11-21T05:11:08Z,"art pop,pop","Polydor Records",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
6cmm1LMvZdB5zsCwX5BjqE,"Down","All Or Nothing","Jay Sean,Lil Wayne",2009-01-01,212506,77,redsnake1377,2023-01-07T04:35:51Z,"dance pop,pop,pop rap,post-teen pop,hip hop,new orleans rap,rap,trap","Cash Money",0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,4
5vlEg2fT4cFWAqU5QptIpQ,"Replay","Replay","Iyaz",2009-08-11,182306,71,redsnake1377,2023-01-07T04:36:48Z,"dance pop,pop rap,post-teen pop","Time Is Money/Beluga Heights/Reprise",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
3JZM6t7gVvH5KNPNjj2Z94,"Vivir Mi Vida - Versión Pop","3.0","Marc Anthony",2013-07-23,231093,52,redsnake1377,2023-04-09T13:22:29Z,"latin pop,modern salsa,salsa,tropical","Sony Music Latin",0.573,0.919,0,-3.148,0,0.0684,0.0802,0,0.0549,0.699,130.017,4
3QHMxEOAGD51PDlbFPHLyJ,"Vivir Mi Vida","3.0","Marc Anthony",2013-07-23,252346,74,redsnake1377,2023-04-09T13:22:35Z,"latin pop,modern salsa,salsa,tropical","Sony Music Latin",0.656,0.877,0,-3.231,0,0.0342,0.345,0,0.349,0.894,105.018,4
