Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,79,saaato11,2021-09-30T12:49:04Z,"dance pop,pop rap,deep talent show","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
4z8Ll8nU1jMqB8HvKTyLP1,"Happy Little Pill","TRXYE","Troye Sivan",2014-08-15,224874,46,saaato11,2021-09-30T12:49:16Z,"australian pop,pop,viral pop","EMI Recorded Music Australia Pty Ltd",0.567,0.593,4,-7.127,0,0.0375,0.000848,0.00000209,0.114,0.0398,91.703,4
0nhBKubnVz9yFNNprBniWz,"YOUTH","Blue Neighbourhood (Deluxe)","Troye Sivan",2015-12-09,185194,67,saaato11,2021-09-30T12:49:26Z,"australian pop,pop,viral pop","EMI Recorded Music Australia Pty Ltd",0.628,0.737,7,-4.437,1,0.041,0.0638,0,0.0777,0.591,91.505,4
1PCvKFPWnTXAe2oaReVUcr,"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)","Globalization","Pitbull,Jennifer Lopez,Claudia Leitte",2014-11-21,222520,68,saaato11,2021-09-30T12:49:35Z,"dance pop,miami hip hop,pop,urban contemporary,axe,pop nacional,sertanejo universitario","Mr.305/Polo Grounds Music/RCA Records",0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013,4
0g5EKLgdKvNlln7TNqBByK,"Middle","Encore","DJ Snake,Bipolar Sunshine",2016-08-05,220573,73,saaato11,2021-09-30T12:50:02Z,"dance pop,edm,electronic trap,pop,pop dance,gauze pop","DJ Snake Def Jam",0.583,0.695,9,-5.336,1,0.0423,0.0138,0,0.0527,0.224,104.879,4
24nxWk1ALiCjq4y14Qss5M,"Disconnected","She Looks So Perfect","5 Seconds of Summer",2014-01-01,210424,30,saaato11,2021-09-30T12:50:24Z,"boy band,pop","Capitol",0.624,0.891,2,-4.812,1,0.083,0.12,0,0.223,0.693,99.945,4
3XOMgW4jVBP3c4LFqe7pH3,"Hey Brother","True","Avicii",2013-01-01,255093,24,saaato11,2021-09-30T12:50:36Z,"dance pop,edm,pop,pop dance","Universal Music AB",0.546,0.78,7,-4.867,0,0.0435,0.0309,0.0000464,0.0828,0.458,125.017,4
1lkvpmrCaXK8QtliFDcHBO,"Bubbly","Coco","Colbie Caillat",2007-01-01,196226,69,saaato11,2021-09-30T12:51:00Z,"dance pop,neo mellow,pop","Universal Records",0.688,0.477,9,-6.684,1,0.036,0.594,0,0.115,0.257,127.866,4
0BsNBDyV9XAPVhkyWKfdNk,"Heart Attack","SEX AND LOVE (Deluxe Edition)","Enrique Iglesias",2014-07-04,170146,33,saaato11,2021-09-30T12:51:19Z,"dance pop,latin pop,mexican pop","Universal Music Group International",0.542,0.897,4,-4.077,1,0.0784,0.0617,0,0.415,0.504,76.956,4
5qHcOrOMSznBWzR8Xy1WYZ,"Memphis","Journals","Justin Bieber,Big Sean",2014-05-13,223866,50,saaato11,2021-09-30T12:51:33Z,"canadian pop,pop,detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap","RBMG/Def Jam",0.642,0.718,5,-6.954,0,0.056,0.0123,0,0.0854,0.509,122.973,4
7zMMgJ8cSCg4iPuoxWtTyL,"Fall","Believe (Deluxe Edition)","Justin Bieber",2012-06-15,248386,49,saaato11,2021-09-30T12:51:45Z,"canadian pop,pop","RBMG/Def Jam",0.607,0.754,11,-4.321,1,0.0412,0.259,0,0.111,0.606,82.995,4
5Wd2bfQ7wc6GgSa32OmQU3,"Story of My Life","Story of My Life","One Direction",2013-10-28,244560,0,saaato11,2021-09-30T12:52:30Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.606,0.663,3,-5.705,1,0.0473,0.242,0,0.145,0.293,120.967,4
3N700uzMEFlY82oxgMmkSo,"Truly Madly Deeply","Take Me Home: Special Deluxe Edition","One Direction",2013-05-22,180066,0,saaato11,2021-09-30T12:52:36Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.671,0.389,0,-8.011,1,0.0314,0.543,0,0.223,0.537,113.054,4
1sJUslPI3S0J6Nt9SimOam,"Forever & Always","Fearless","Taylor Swift",2008-11-11,225786,11,saaato11,2021-09-30T12:53:20Z,"pop","Big Machine Records, LLC",0.607,0.826,10,-4.989,1,0.0584,0.0767,0,0.104,0.501,128.048,4
4oZMpCMbVdWhHYMw7iGnMk,"Wild Heart","Meet The Vamps","The Vamps",2014-01-01,191866,26,saaato11,2021-09-30T12:53:33Z,"boy band,pop","EMI",0.614,0.902,1,-4.817,1,0.0315,0.000518,0,0.0781,0.782,119.012,4
7FLQuyyCaIrBRqNt5l83U4,"Reforget","I met you when I was 18. (the playlist)","Lauv",2018-05-31,231676,0,saaato11,2021-09-30T12:53:51Z,"pop","Lauv",0.44,0.469,5,-8.338,0,0.112,0.449,0,0.169,0.225,169.755,4
1Fo4OvzP9PThFKMeMIAEYu,"Superhero","Superhero","Lauv",2018-08-30,179997,0,saaato11,2021-09-30T12:53:59Z,"pop","Lauv",0.681,0.34,7,-8.617,1,0.0339,0.82,0,0.285,0.417,129.98,4
5SHguvOUbyPTINNjCvRo8K,"春愁","Love me, Love you","Mrs. GREEN APPLE",2018-02-14,183800,65,saaato11,2021-09-30T12:54:37Z,"anime rock,j-pop,j-rock","Universal Music LLC",0.724,0.444,10,-4.903,1,0.0412,0.0121,0,0.123,0.739,129.962,4
1DlFEqhGmARazOCKYFYIf8,"Diamond","Five Stars","Higher Brothers",2019-02-22,192001,0,saaato11,2021-09-30T12:55:30Z,"chinese hip hop,sichuanese hip hop","88rising Music",0.836,0.66,8,-5.754,1,0.111,0.0557,0,0.0975,0.752,95.041,4
32lItqlMi4LBhb4k0BaSaC,"Candy Paint","beerbongs & bentleys","Post Malone",2018-04-27,227533,71,saaato11,2021-09-30T12:55:45Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.66,0.667,4,-5.941,1,0.156,0.64,0.00000122,0.0753,0.381,180.044,4
00Y2wpTbjFDOnNWgAXEhYZ,"Stay With Me","NO","Black English",2014-09-16,280040,0,saaato11,2021-09-30T12:56:36Z,"","Arts & Crafts",0.325,0.554,9,-8.945,1,0.0327,0.0165,0.183,0.121,0.144,103.949,4
3cHkjS45Xiduc6DcXtXmAo,"Running Thru 3AM","Moon By Island Gardens","Aeris Roves",2018-11-02,209746,36,saaato11,2021-09-30T12:58:54Z,"uk contemporary r&b","RCA Records Label",0.677,0.388,8,-6.697,1,0.0406,0.731,0,0.154,0.419,119.069,4
