Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2F45kvGsQXzalwpLdhqvca,"Missing Piece","Don't Fade","Vance Joy",2022-02-10,215840,19,saaato11,2022-02-12T13:10:05Z,"folk-pop,modern rock","Atlantic Records",0.632,0.863,0,-5.21,1,0.0446,0.0449,0.00000101,0.13,0.731,101.976,4
1bjhYUwKUHEg5fHknxFObO,"Lost","channel ORANGE","Frank Ocean",2012-01-01,234093,0,saaato11,2022-02-12T13:10:20Z,"lgbtq+ hip hop,neo soul","Red Zone Entertainment / IDJ",0.912,0.594,10,-4.894,0,0.226,0.0319,0.00122,0.123,0.514,123.07,4
1DWZUa5Mzf2BwzpHtgbHPY,"Good News","Circles","Mac Miller",2020-01-17,342040,68,saaato11,2022-02-12T13:10:38Z,"hip hop,pittsburgh rap,rap","Warner Records",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
0ioTTk5l0Zz7Oh48qEocgj,"KEEP IT UP","KEEP IT UP","Rex Orange County",2022-01-26,183000,45,saaato11,2022-02-12T13:11:07Z,"bedroom pop","Rex Orange County",0.708,0.477,8,-7.297,1,0.0565,0.292,0.00000175,0.255,0.733,149.929,4
3pyyGVqWvRMq43qtJBzxe0,"Kids","Kids","Current Joys",2015-03-08,269142,58,saaato11,2022-02-12T13:11:22Z,"lo-fi indie,pov: indie","Current Joys",0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,4
0gEcmyKlIUoi3sHTFVO1bE,"I Was Sad Last Night I'm OK Now","Live on Ice","tobi lou",2019-08-02,190560,49,saaato11,2022-02-12T13:11:44Z,"chicago rap,indie hip hop,indie r&b","Artclub / EMPIRE",0.87,0.637,5,-8.368,0,0.0614,0.497,0.0000315,0.205,0.78,120.99,4
33n1o7mzohXiCzS6Rr5q2E,"belong","komorebi","slenderbodies",2019-09-20,173493,45,saaato11,2022-02-12T13:12:11Z,"vapor soul","Avant Garden/Island Records",0.751,0.574,11,-7.338,0,0.053,0.853,0.000709,0.159,0.823,119.978,4
6GQLX6Z28fYwDNCrhaKzYF,"Undercover Martyn","Tourist History","Two Door Cinema Club",2010-03-01,166573,59,saaato11,2022-02-12T13:12:15Z,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie","Kitsune",0.445,0.87,2,-4.898,1,0.116,0.000244,0.00000735,0.096,0.625,159.867,4
0znCw9dSfsrBGUtxAzd9kD,"5 shots","she's no angel","gianni & kyle",2018-11-01,181709,0,saaato11,2022-02-12T13:12:41Z,"indie pop rap","hardpink records",0.918,0.449,1,-5.702,1,0.0605,0.124,0,0.0595,0.481,91.978,4
0K23PGm2l9kJgdDuYilOMu,"Words","What's Going On","Scotty Sire",2019-09-16,215213,0,saaato11,2022-02-12T13:13:02Z,"social media pop","Scotty Sire",0.738,0.686,9,-7.488,1,0.072,0.00912,0.00000373,0.141,0.44,130.1,4
3uYm4MtU6jUQft2DtGqEoZ,"Knock Knock","Knock Knock - Single","Mac Miller",2010,202806,1,saaato11,2022-02-12T13:13:28Z,"hip hop,pittsburgh rap,rap","Rostrum Records",0.667,0.922,4,-4.857,0,0.128,0.0353,0,0.364,0.509,108.952,4
226le7T3p82reYWzsi9Hsz,"1, 2 Many","What You See Is What You Get","Luke Combs,Brooks & Dunn",2019-11-08,180906,72,saaato11,2022-02-12T13:13:32Z,"contemporary country,country,country road","River House Artists/Columbia Nashville",0.54,0.821,6,-3.789,1,0.0873,0.0397,0,0.423,0.685,148.798,4
2Lhdl74nwwVGOE2Gv35QuK,"Cupid's Chokehold / Breakfast in America","The Papercut Chronicles","Gym Class Heroes",2005-02-22,243773,73,saaato11,2022-02-12T13:13:48Z,"dance pop,pop rap","Decaydance/Fueled By Ramen/ATL",0.72,0.744,1,-6.938,0,0.12,0.237,0,0.255,0.619,78.953,4
0kvKVeUmmNbhPShLhKpfCV,"Fluorescent Adolescent","Fluorescent Adolescent","Arctic Monkeys",2007-07-08,183893,0,saaato11,2022-02-12T13:13:52Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Records",0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
0sTlGEld0h8kIPZaKDYUf4,"Notion","Notion","The Rare Occasions",2021-12-02,195120,78,saaato11,2022-02-12T13:14:01Z,"la indie","Elektra (NEK)",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,78,saaato11,2022-02-12T13:26:55Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
23tJmuwvUOa2kTsOlNMWCS,"Love Like That","~how i'm feeling~ (the extras)","Lauv",2019-12-20,184556,0,saaato11,2022-02-12T13:27:22Z,"pop","Lauv",0.679,0.481,3,-9.045,1,0.0593,0.208,0.0000102,0.284,0.486,80.011,4
6KoW0yc1co2a3GLuaM4scJ,"MIDDLE OF THE END (HOW DOES IT FEEL)","MIDDLE OF THE END (HOW DOES IT FEEL)","Jack Kays",2021-04-23,169442,45,saaato11,2022-02-14T02:56:36Z,"cincinnati rap","Columbia",0.62,0.659,9,-5.976,1,0.0358,0.384,0,0.0699,0.848,92.088,4
1FiHwQuheDkhq9nNdNxOH9,"Wonderwall","Stop The Clocks","Oasis",2006,258613,32,saaato11,2022-04-19T13:33:50Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.406,0.889,6,-4.364,0,0.0325,0.000682,0,0.205,0.706,174.593,4
1xLs8Mu1QEVbGCpyHQ2r2U,"Why","What Could Possibly Go Wrong","Dominic Fike",2020-07-31,139906,67,saaato11,2022-07-28T10:56:19Z,"alternative pop rock,pov: indie","Columbia",0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,4
4R9ATNRRl1uth17i5qDCc0,"I.F.L.Y.","I.F.L.Y.","Bazzi",2019-07-18,165714,0,saaato11,2022-09-15T13:14:25Z,"pop","iamcosmic",0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,4
7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,77,saaato11,2022-09-15T13:14:44Z,"folk-pop,modern rock","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
6BZ6pl5bczDc3cMF1kBaOy,"pink skies","kinda","LANY",2016-06-24,185922,66,saaato11,2022-09-15T13:14:48Z,"la pop,opm","Polydor Records",0.719,0.631,5,-6.616,1,0.0433,0.266,0.00000769,0.134,0.466,103.968,4
6ORqU0bHbVCRjXm9AjyHyZ,"Good Riddance (Time of Your Life)","Nimrod","Green Day",1997-10-14,153466,77,saaato11,2022-09-15T13:15:18Z,"modern rock,permanent wave,punk,rock","Reprise",0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,4
15jRg8Ejs7X3JEHw38TSN3,"Team","Pure Heroine (Extended)","Lorde",2013-01-01,193058,0,saaato11,2022-09-15T13:15:26Z,"art pop,metropopolis,nz pop,pop","Universal Music New Zealand Limited",0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,4
7nsdNLRdLtuUghj1u49byC,"Don't Be Sad","Don't Be Sad","Scotty Sire",2020-07-08,190726,0,saaato11,2022-09-15T13:15:32Z,"social media pop","Scotty Sire",0.657,0.716,1,-5.219,1,0.131,0.12,0,0.0664,0.361,133.079,4
