Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3pXVWgkWybiGchdKGYDgdl,"Heat Waves (with iann dior)","Heat Waves (with iann dior)","Glass Animals,iann dior",2021-03-25,175301,0,saaato11,2023-05-02T13:04:10Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop,melodic rap","Polydor Records",0.655,0.716,8,-5.077,0,0.0897,0.476,0,0.479,0.521,80.813,4
1vvNmPOiUuyCbgWmtc6yfm,"My Way","My Way","Calvin Harris",2016-09-16,219159,71,saaato11,2023-05-02T13:04:25Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance","Columbia",0.818,0.913,4,-3.06,0,0.0426,0.093,0.0000369,0.161,0.536,119.986,4
5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,83,saaato11,2023-05-02T13:04:42Z,"canadian contemporary r&b,canadian pop,pop","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
4UIYwKXhJh7pCLOmXUKZTX,"Live Forever","Stop The Clocks","Oasis",2006-11-20,276666,15,saaato11,2023-05-02T13:05:53Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony BMG Music UK",0.109,0.857,10,-2.716,1,0.0443,0.00000818,0.0000781,0.293,0.14,91.499,4
3pOZSiqMwaRxtW0I4oQmtz,"Stand by Me","BE HERE NOW","Oasis",1997,356066,41,saaato11,2023-05-02T13:06:08Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.22,0.831,7,-2.623,1,0.0377,0.0118,0.00000179,0.135,0.393,169.916,4
3YLU5gTpGOD860v5DyLo50,"DON'T LOOK BACK IN ANGER","(WHAT'S THE STORY) MORNING GLORY?","Oasis",1995-10-02,287893,0,saaato11,2023-05-02T13:06:13Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.348,0.914,0,-3.6,1,0.0711,0.0262,0.0000077,0.15,0.252,163.997,4
5qlSYa5PePLAuAsAFgqVxW,"Wall of Glass","As You Were (Deluxe Edition)","Liam Gallagher",2017-10-06,223546,53,saaato11,2023-05-02T13:06:21Z,"britpop,britpop revival,solo wave","Warner Records",0.351,0.939,0,-4.469,1,0.0564,0.0000642,0.00113,0.296,0.321,182.067,4
0AIT0YZoeDXmi4jHygJhwb,"Acquiesce","The Masterplan","Oasis",1995,265066,26,saaato11,2023-05-02T13:06:36Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.197,0.955,7,-1.782,1,0.075,0.00625,0.000215,0.438,0.223,111.795,4
63JU4kHsgytIKkSM4tedme,"Everything's Electric","Everything's Electric","Liam Gallagher",2022-02-04,216859,45,saaato11,2023-05-02T13:06:46Z,"britpop,britpop revival,solo wave","Warner Records",0.409,0.969,1,-2.423,0,0.0706,0.00435,0.000124,0.0602,0.5,166.02,4
6kls8cSlUyHW2BUOkDJIZE,"Hate Me (with Juice WRLD)","Hate Me (with Juice WRLD)","Ellie Goulding,Juice WRLD",2019-06-26,186223,68,saaato11,2023-05-02T13:07:34Z,"indietronica,metropopolis,pop,uk pop,chicago rap,melodic rap,rap","Polydor Records",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
1ZPWWSwCkxKfqdp4H0RFCo,"ROXANNE","ROXANNE","Arizona Zervas",2019-10-10,163636,0,saaato11,2023-05-02T13:07:37Z,"indie pop rap,pop rap,rhode island rap","Arizona Zervas",0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5
6Pgkp4qUoTmJIPn7ReaGxL,"Without You (feat. Sandro Cavazza)","AVĪCI (01)","Avicii,Sandro Cavazza",2017-08-10,181672,74,saaato11,2023-05-02T13:07:40Z,"dance pop,edm,pop,pop dance,swedish pop","Universal Music AB",0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,4
1OIYK9Ya6EgwJ4fMngrPcK,"Highway to Hell","Iron Man 2","AC/DC",2010-04-29,208920,52,saaato11,2023-05-02T13:07:47Z,"australian rock,hard rock,rock","Columbia",0.575,0.915,6,-4.845,0,0.132,0.0572,0.00248,0.123,0.465,115.768,4
