Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2T9G81i8JSiPUyP8H4ZVqn,"2016","Withering","d4vd",2024-02-09,138029,50,saaato11,2024-06-29T14:29:03Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.171,0.759,2,-6.04,1,0.0945,0.000258,0,0.262,0.573,177.246,4
3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,89,saaato11,2024-06-29T14:29:27Z,"pov: indie,psychedelic pop","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
5FCMqNc9fodjQRIXbG7Ld1,"i don't know you anymore","i don't know you anymore","sombr",2023-12-14,227756,65,saaato11,2024-06-29T14:29:58Z,"","Warner Records",0.358,0.504,8,-7.056,0,0.0293,0.662,0.0258,0.103,0.172,132.242,4
1qxyuBgnwAeRxqaEP2p4UX,"Slipping Through My Fingers","Slipping Through My Fingers","Declan McKenna",2023-12-15,263500,11,saaato11,2024-06-29T14:30:02Z,"pov: indie","Sony Music Labels Inc.",0.519,0.118,7,-17.093,1,0.0435,0.895,0.00106,0.127,0.216,120.843,4
5ihBtaVVMqO5VqJA5wnmfy,"The View Between Villages - Extended","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,292903,60,saaato11,2024-06-29T14:33:32Z,"pov: indie,singer-songwriter pop","Mercury Records/Republic Records",0.359,0.37,1,-10.076,1,0.0518,0.684,0.00283,0.0836,0.104,152.827,4
5APPlPgagEAXjGLIizqSDS,"Pasture Child","Sunburn","Dominic Fike",2023-07-07,173466,52,saaato11,2024-06-29T14:36:02Z,"alternative pop rock,pov: indie","Columbia",0.579,0.666,0,-5.953,0,0.0839,0.0717,0.000422,0.0949,0.446,84.016,4
20ZP3Om9DvDazXrNUC7WM2,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Toast to Our Differences (Deluxe Edition)","Rudimental,Jess Glynne,Macklemore,Dan Caplen",2019-01-25,211760,72,saaato11,2024-06-29T14:37:43Z,"pop dance,uk dance,uk funky,dance pop,pop,uk pop,pop rap,seattle hip hop,neo soul,uk contemporary r&b","Atlantic Records UK",0.654,0.798,0,-4.084,1,0.0451,0.188,0,0.15,0.574,92.207,4
0oWyUnmjpaFWzZNfnQmrGc,"georgia","georgia got colder","Jonah Kagen",2022-12-02,210186,36,saaato11,2024-06-29T14:42:47Z,"singer-songwriter pop","Arista Records",0.327,0.376,8,-10.54,1,0.0384,0.861,0.0000111,0.345,0.285,80.114,4
5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,77,saaato11,2024-06-29T14:43:08Z,"album rock,classic rock,rock,soft rock,yacht rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
7gVWKBcfIW93YxNBi3ApIE,"You're On Your Own, Kid","Midnights (3am Edition)","Taylor Swift",2022-10-22,194206,60,saaato11,2024-06-29T14:43:53Z,"pop","Taylor Swift",0.696,0.39,2,-10.331,1,0.0616,0.447,0.0000155,0.125,0.395,120.032,4
3vSLSOhE8HWBC2WiN0j0hD,"Nothing's the Same","Oh No, Not Again! - EP","Alexander 23,Jeremy Zucker",2021-02-19,175135,43,saaato11,2024-06-29T14:47:30Z,"alt z,singer-songwriter pop,electropop,pop","Interscope Records",0.736,0.308,11,-11.543,1,0.0421,0.492,0.00248,0.179,0.439,132.767,4
0dVtDcgWqGSymest1S9IO1,"Bleachers","Bleachers","bluffs.",2022-01-14,242000,19,saaato11,2024-06-29T14:48:37Z,"","Guest Room Records",0.546,0.363,9,-13.027,1,0.0302,0.862,0.000153,0.0974,0.434,90.005,4
0sTlGEld0h8kIPZaKDYUf4,"Notion","Notion","The Rare Occasions",2021-12-02,195120,78,saaato11,2024-06-29T14:53:23Z,"la indie","Elektra (NEK)",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
2n0U2OG5d6TuW5mKx7YrC0,"Two Birds","Far","Regina Spektor",2009-06-19,195840,70,saaato11,2024-06-29T14:54:06Z,"indie pop,lilith,piano rock","Sire",0.546,0.5,0,-8.881,1,0.0379,0.802,0.00108,0.107,0.449,150.92,4
38WyDtxZhxm63jiythwemE,"Ribs","Pure Heroine","Lorde",2013-01-01,258969,27,saaato11,2024-06-29T14:54:35Z,"art pop,metropopolis,nz pop,pop","Universal Music New Zealand Limited",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
6O5TrlFWTYvznd9fMC0VvU,"When We Were Young","25","Adele",2015-11-20,290900,76,saaato11,2024-06-29T14:57:07Z,"british soul,pop,pop soul,uk pop","XL Recordings",0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4
4qeHV9T5N3S7KAKryZQp8s,"Older","Older","Alec Benjamin",2021-09-17,164396,0,saaato11,2024-06-29T14:57:35Z,"alt z,pop,pov: indie","Elektra (NEK)",0.539,0.489,2,-8.456,1,0.0635,0.59,0,0.197,0.515,84.211,4
0UV5zxRMz6AO4ZwUOZNIKI,"Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,76,saaato11,2024-06-29T14:59:13Z,"chamber pop,indie rock,modern folk rock,philly indie,pov: indie,seattle indie,stomp and holler","Anti/Epitaph",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
