Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5OWsea313ovaQoXvsgWq79,"Whatever - Remastered","Definitely Maybe (Deluxe Edition Remastered)","Oasis",1994,382266,56,oasisofficial,2024-12-19T10:43:27Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother Recordings Ltd",0.252,0.902,7,-2.479,1,0.0392,0.0421,0.0148,0.309,0.306,91.474,4
03QZPaiw1N94aAFDv7k5Em,"Rock 'n' Roll Star - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,322946,51,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.315,0.975,4,-3.21,1,0.0685,0.000567,0.00137,0.467,0.436,138.197,4
6Js4ekYgSpkrfaU33sJyeI,"Shakermaker - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,308280,40,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.317,0.931,4,-2.661,1,0.0569,0.0136,0.12,0.687,0.16,95.919,4
0nOF9ewQlwzVU0qKPR2DTq,"Live Forever - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,276666,47,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.192,0.828,9,-3.382,0,0.0452,0.0000274,0.0000197,0.362,0.189,118.935,5
3PRv7fmKiVWG8cIatkFNX3,"Up in the Sky - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,268000,38,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.268,0.905,0,-3.543,1,0.0397,0.0000141,0.0214,0.38,0.328,140.571,4
1YVtoErcUIG1jxnKPtihGe,"Columbia - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,377400,45,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.314,0.835,7,-5.106,1,0.0498,0.00000201,0.617,0.392,0.0412,100.138,4
6dUfUi14QkuIpGA0GFFPyC,"Supersonic - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,283786,59,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.361,0.911,9,-2.853,1,0.0405,0.0000606,0.00752,0.0891,0.643,103.999,4
4H9muKIJpzTODxUxkPTgnH,"Bring It on Down - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,257812,42,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.113,0.938,9,-2.741,1,0.0771,0.0000113,0.801,0.446,0.192,153.625,4
2wKeVnM8OBoGjGm8Qvqhi5,"Cigarettes & Alcohol - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,289146,48,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.292,0.759,2,-2.311,1,0.046,0.0000153,0.037,0.16,0.451,114.758,4
1JHCEDui9bf3hDxJcCwemy,"Digsy's Dinner - Remastered","Definitely Maybe (Remastered)","Oasis",1994-08-29,152266,37,oasisofficial,2022-07-26T14:58:04Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.301,0.987,2,-2.865,1,0.111,0.000895,0.537,0.066,0.057,139.495,4
