Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-08-16,249293,83,saaato11,2021-10-14T01:24:33Z,"glam metal,rock","Island Records",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
0rmGAIH9LNJewFw7nKzZnc,"You Give Love A Bad Name","Slippery When Wet","Bon Jovi",1986-08-16,222706,80,saaato11,2021-10-14T01:24:40Z,"glam metal,rock","Island Records",0.541,0.959,0,-2.947,0,0.0505,0.0663,0.00000218,0.344,0.812,122.805,4
0v1XpBHnsbkCn7iJ9Ucr1l,"It's My Life","Crush","Bon Jovi",2000-01-01,224493,79,saaato11,2021-10-14T01:24:44Z,"glam metal,rock","Island Records",0.551,0.914,0,-4.063,0,0.0465,0.0263,0.0000135,0.347,0.543,119.994,4
05sAiE8Cg4njAkvzLEVCRt,"True Love","エンジェル","Fumiya Fujii",1994,233360,44,saaato11,2021-10-14T01:25:02Z,"classic city pop,j-pop","Pony Canyon",0.668,0.293,1,-14.243,1,0.0272,0.00523,0.0048,0.103,0.15,101.885,4
2CbDcSVFCbMSfLMoZiAFYN,"Tomorrow never knows","Tomorrow never knows","Mr.Children",1994-11-10,308293,59,saaato11,2021-10-14T01:25:13Z,"classic j-pop,j-pop,j-rock","Toy's Factory",0.637,0.485,0,-10.263,1,0.0245,0.173,0,0.122,0.403,109.035,4
0AU7xhipAm9Saq0k8A9Iua,"HANABI","SUPERMARKET FANTASY","Mr.Children",2008-12-10,342773,61,saaato11,2021-10-14T01:25:18Z,"classic j-pop,j-pop,j-rock","Toy's Factory",0.638,0.766,1,-5.541,1,0.0268,0.157,0,0.124,0.595,112.005,4
60A7LGAmK0QrRjyYpKWzue,"抱きしめたい","Kind of Love","Mr.Children",1992-12-01,324440,53,saaato11,2021-10-14T01:26:06Z,"classic j-pop,j-pop,j-rock","Toy's Factory",0.525,0.526,5,-8.647,1,0.0265,0.131,0.00000772,0.107,0.379,144.024,4
47wkGrU4Rxv5VbNfHmEqw4,"Tomorrow never knows","BOLERO","Mr.Children",1997-03-05,308240,35,saaato11,2021-10-14T01:26:34Z,"classic j-pop,j-pop,j-rock","Toy's Factory",0.627,0.519,9,-7.983,0,0.0256,0.0722,0,0.179,0.216,108.976,4
4zSHsM9GgLw5kJ5c88WOxr,"くるみ","シフクノオト","Mr.Children",2004-04-07,330306,49,saaato11,2021-10-14T01:27:27Z,"classic j-pop,j-pop,j-rock","Toy's Factory",0.568,0.685,0,-6.428,1,0.024,0.0572,0,0.11,0.285,95.972,4
4ysowK7hJgI1QR4tP5AD4t,"HERO","シフクノオト","Mr.Children",2004-04-07,341093,50,saaato11,2021-10-14T01:27:31Z,"classic j-pop,j-pop,j-rock","Toy's Factory",0.552,0.564,9,-7.658,1,0.0239,0.0931,0,0.135,0.66,80.895,4
