Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6VOY6Wu9mRPzLop8PwSJ9V,"Paris","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,293076,29,saaato11,2021-07-31T13:36:15Z,"modern alternative rock,modern rock,pop,pov: indie,rock","Polydor Records",0.794,0.668,8,-6.516,1,0.0363,0.527,0.00107,0.076,0.85,117.014,4
1fYZ2d294iginGnpqTLdxu,"Heartbreak Girl","5 Seconds Of Summer","5 Seconds of Summer",2014-06-27,198374,7,saaato11,2021-07-31T13:36:36Z,"boy band,pop","Capitol",0.471,0.789,10,-3.62,1,0.0602,0.000962,0,0.0649,0.684,166.99,4
3cHkjS45Xiduc6DcXtXmAo,"Running Thru 3AM","Moon By Island Gardens","Aeris Roves",2018-11-02,209746,36,saaato11,2021-07-31T13:37:03Z,"uk contemporary r&b","RCA Records Label",0.677,0.388,8,-6.697,1,0.0406,0.731,0,0.154,0.419,119.069,4
59eluCMn0XbOWqeWQ91FTM,"君はロックを聴かない","青春のエキサイトメント","Aimyon",2017-09-12,246306,65,saaato11,2021-07-31T13:37:12Z,"j-acoustic,j-pop","WM Japan",0.524,0.687,7,-4.039,1,0.0267,0.00135,0,0.169,0.619,99.919,4
3cWO4Moun8JYsXA0BcPLBC,"Netflix Trip","The Click","AJR",2017-06-30,237786,38,saaato11,2021-07-31T13:37:18Z,"pov: indie","Black Butter",0.463,0.734,7,-3.506,1,0.0436,0.0413,0,0.174,0.46,94.967,4
7aKCwhBjb8zuTEBGzf48Qm,"Caught in the Middle","IDK You Yet/Caught in the Middle","Alexander 23",2020-07-31,162322,0,saaato11,2021-07-31T13:37:33Z,"alt z,singer-songwriter pop","Interscope Records",0.712,0.394,7,-8.313,1,0.0347,0.737,0.0000914,0.108,0.298,97.876,4
0pDC8RQzlpDCFZKt9TvO8D,"Fool's Gold","Fool's Gold","Alex Ernst",2019-11-01,170397,0,saaato11,2021-07-31T13:37:59Z,"","Ernst Records",0.806,0.395,0,-9.752,1,0.0307,0.722,0.000646,0.143,0.31,109.975,4
5DqdesEfbRyOlSS3Tf6c29,"It's You","YOU","Ali Gatie",2019-11-08,212606,75,saaato11,2021-07-31T13:38:06Z,"canadian hip hop","Warner Records",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In","So Wrong, It's Right","All Time Low",2007-09-25,182826,75,saaato11,2021-07-31T13:38:12Z,"modern rock,neon pop punk,pop punk","Hopeless Records",0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,4
32FMAbZAzs3D70UuvnN6y4,"CONVERSATIONS","CONVERSATIONS","Aries",2020-12-09,164174,42,saaato11,2021-07-31T13:38:43Z,"","WUNDERWORLD",0.674,0.721,7,-6.489,1,0.0293,0.13,0.0000957,0.0464,0.757,132.053,4
3NBeAGKHJ8sY6st2Uke2xN,"バースデー","高嶺の花子さん","back number",2013-06-26,225920,41,saaato11,2021-07-31T13:39:02Z,"j-pop,j-rock","Universal Music LLC",0.735,0.721,9,-5.138,1,0.0433,0.178,0,0.123,0.752,120.972,4
6IGA5YrFiEr5ANrMqKkR6H,"Good Grief","Wild World","Bastille",2016-09-09,206493,63,saaato11,2021-07-31T13:39:13Z,"metropopolis,modern rock,pop","EMI (Virgin)",0.731,0.758,1,-4.888,1,0.065,0.143,0,0.311,0.88,120.041,4
3QDnzbpwnVPhx314RDZotp,"Live Forever","Soul Searching","Bazzi",2019-08-09,152470,27,saaato11,2021-07-31T13:39:59Z,"pop","iamcosmic",0.572,0.664,1,-5.498,1,0.061,0.243,0.0000242,0.0614,0.539,169.822,4
0d2iYfpKoM0QCKvcLCkBao,"Eastside (with Halsey & Khalid)","Eastside (with Halsey & Khalid)","benny blanco,Halsey,Khalid",2018-07-12,173799,70,saaato11,2021-07-31T13:40:13Z,"pop,electropop,etherpop,indie poptimism,pop r&b","Benny Blanco Solo Album PS",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
0Ejj1u1CmTGTts2UqIiYbJ,"Runnin' feat. kZm, SIRUP","NOT BUSY","BIM,kZm,SIRUP",2020-02-12,221654,0,saaato11,2021-07-31T13:40:19Z,"j-rap,japanese chill rap,japanese r&b,japanese trap,japanese soul","SUMMIT,Inc.",0.78,0.693,11,-7.214,0,0.0651,0.0259,0.000601,0.123,0.511,139.978,4
3jZXdpwrqZFwU8xOcXjEoc,"me & ur ghost","me & ur ghost","blackbear",2020-01-16,200400,0,saaato11,2021-07-31T13:40:31Z,"alt z,pop","Beartrap/ Alamo/ Interscope Records",0.754,0.624,7,-6.145,1,0.0259,0.0603,0,0.0934,0.881,100.036,4
0QV83q2vzzOM4uODVyXf7i,"TONYA","iridescence","BROCKHAMPTON",2018-09-21,283000,39,saaato11,2021-07-31T13:40:51Z,"boy band,rap","Question Everything/RCA Records",0.576,0.558,7,-7.713,0,0.312,0.509,0.0000207,0.158,0.0395,80.193,4
