Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7eW6Ckl2ADMOdue7Fs0Pd7,"Sally","The Chronicles of Gerald Womack","The Man The Myth The Meatslab",2024-11-15,231669,29,saaato11,2024-11-23T11:20:36Z,"","The Man The Myth The Meatslab",0.726,0.693,7,-3.653,1,0.0311,0.623,0.0207,0.076,0.666,124.63,4
14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,79,saaato11,2024-11-23T11:20:47Z,"folk-pop,modern rock,neo mellow,stomp and holler","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
0BzKelWoHmrmFMKPGMWasw,"Nandina","Nandina","Drex Carter",2018-07-20,177000,40,saaato11,2024-11-23T11:20:58Z,"sad lo-fi,sad rap","Create Capital",0.831,0.458,7,-10.585,1,0.234,0.666,0,0.226,0.617,98.512,4
5dSAVONexmt8XipPux7QjZ,"elsie","elsie","Martin Luke Brown",2023-02-01,203995,23,saaato11,2024-11-23T11:21:07Z,"indie anthem-folk","AMK Distributed by Kartel Music Group",0.647,0.545,4,-6.537,1,0.0774,0.61,0.000454,0.0774,0.556,140.012,4
3S5mohVxC0Xuj0tgZ7vU7g,"Caroline","Indiana","Briston Maroney",2019-05-17,205049,56,saaato11,2024-11-23T11:21:22Z,"nashville indie,pov: indie","Canvasback/ATL",0.506,0.456,7,-10.635,1,0.0479,0.726,0.0000374,0.11,0.406,149.6,4
7749bzxCJXbVHGIZxnOPSg,"Rose","Carnival","Briston Maroney",2018-11-16,371292,41,saaato11,2024-11-23T11:21:22Z,"nashville indie,pov: indie","Canvasback",0.426,0.337,4,-8.405,1,0.0358,0.83,0.00148,0.124,0.167,154.501,4
7dIh8FF0EzYKS8STv3v4F4,"Aurora","There Is Nothing Left To Lose","Foo Fighters",1999-11-02,349680,50,saaato11,2024-11-23T11:21:50Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock","RCA Records Label",0.586,0.858,9,-5.254,1,0.0313,0.00481,0.469,0.238,0.278,122.996,4
2LF1EjI7vMM37yRUzEWk8s,"Grace","Grace","Henrik",2023-08-18,200666,58,saaato11,2024-11-23T11:22:02Z,"singer-songwriter pop","North Main 2023",0.664,0.544,7,-8.302,1,0.0269,0.00959,0.666,0.204,0.159,111.997,4
4YMhQKJ2tPBZxFvQRF984K,"Dylan","Dylan","Deyaz",2023-11-24,190902,28,saaato11,2024-11-23T11:22:13Z,"gen z singer-songwriter","Black Butter",0.61,0.376,4,-5.847,1,0.029,0.8,0,0.159,0.594,83.711,4
2Wk8vEamlVBBalBi24NnU1,"Sarah","Trick","Alex G",2012-11-05,176146,70,saaato11,2024-11-23T11:23:04Z,"philly indie,pov: indie,slacker rock","Lucky Number",0.65,0.686,4,-5.198,0,0.0314,0.513,0.000189,0.138,0.497,124.019,4
05RI03bh5Mn7Dz254H5XdB,"caroline","caroline","sombr",2022-06-15,198000,0,saaato11,2024-11-23T11:24:20Z,"","sombr",0.518,0.176,7,-17.181,1,0.0363,0.866,0.0049,0.1,0.113,120.149,4
6uvh0In7u1Xn4HgxOfAn8O,"Matilda","Harry's House","Harry Styles",2022-05-20,245964,75,saaato11,2024-11-23T11:24:52Z,"pop","Columbia",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
45ROR8UMn60YEVQnDy0uVF,"Juliet","Animal Kingdom","Cavetown",2019-04-12,278991,70,saaato11,2024-11-23T11:26:00Z,"bedroom pop,indie pop,pov: indie","Oat Milk Industries and Many Hats Endeavors",0.546,0.586,6,-8.488,1,0.0313,0.00346,0.00114,0.0562,0.364,131.778,4
1w9L6dvttZalWd8XqFYvSa,"Isabelle","Isabelle","Zach Hood",2021-02-05,135000,53,saaato11,2024-11-23T11:27:05Z,"alt z,gen z singer-songwriter,singer-songwriter pop","SELENE",0.678,0.716,10,-4.403,1,0.0342,0.196,0,0.102,0.627,109.981,4
7B3z0ySL9Rr0XvZEAjWZzM,"Sofia","Immunity","Clairo",2019-08-02,188386,77,saaato11,2024-11-23T11:27:24Z,"bedroom pop,indie pop,pov: indie","FADER Label",0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
2h6RKFTEA5FlzFGt4Ac8Ae,"Hailey","Hailey","James Smith",2019-03-29,178901,0,saaato11,2024-11-23T13:20:16Z,"uk pop","EMI",0.691,0.382,2,-7.989,1,0.0344,0.129,0,0.189,0.541,138.08,4
