Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
29Co9NKhOM5R9vWCrpkPPK,"All For You","All For You","Cian Ducrot",2022-04-07,219380,52,saaato11,2022-05-05T11:41:17Z,"irish pop,singer-songwriter pop","Polydor Records",0.551,0.268,2,-9.954,1,0.0427,0.805,0,0.0977,0.335,77.079,3
6ilc4vQcwMPlvAHFfsTGng,"Sweet","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,292110,81,saaato11,2022-05-05T11:41:47Z,"ambient pop,dream pop,el paso indie,shoegaze","Partisan Records",0.449,0.51,6,-9.075,1,0.0278,0.351,0.761,0.139,0.115,96.425,4
7cs7MLtAWvsdf3w5kBvfK2,"Nothing's Gonna Hurt You Baby","I.","Cigarettes After Sex",2012-07-21,286293,76,saaato11,2022-05-05T11:41:57Z,"ambient pop,dream pop,el paso indie,shoegaze","Spanish Prayers",0.495,0.328,4,-14.079,1,0.0274,0.262,0.149,0.107,0.0927,97.241,4
2QzKAF0y1BQhxwg8N05Uog,"Watching Him Fade Away","This Old Dog","Mac DeMarco",2017-05-05,143080,71,saaato11,2022-05-05T11:42:37Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock","Captured Tracks",0.74,0.072,3,-17.984,1,0.0713,0.981,0.00698,0.111,0.297,139.081,4
0hLObGB9xRjuRVasHehmLI,"Truly Madly Deeply - Recorded at Spotify Studios NYC","Spotify Singles","Yoke Lore",2017-10-11,190392,0,saaato11,2022-05-05T11:42:52Z,"nyc pop","Big Indie Records",0.675,0.368,0,-14.072,0,0.0375,0.83,0.00158,0.136,0.176,106.004,4
19jTCAxeVnkwKnWHSsdg0i,"Lucky for You","No Fun / Lucky for You","Novo Amor,Gia Margaret",2019-03-01,136000,62,saaato11,2022-05-05T11:43:01Z,"ambient folk,indie folk,small room","AllPoints",0.529,0.31,10,-12.159,1,0.0388,0.928,0.514,0.102,0.73,177.972,4
5Qnrgqy1pAm9GyNQOgyVFz,"Fourth of July","Carrie & Lowell","Sufjan Stevens",2015-03-31,279316,77,saaato11,2022-05-05T11:45:05Z,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter","Asthmatic Kitty",0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4
7LNm1oWd6PniO9wRYpNY5o,"j's lullaby (darlin' i'd wait for you)","j's lullaby (darlin' i'd wait for you)","Delaney Bailey",2022-01-07,290132,10,saaato11,2022-05-05T11:45:41Z,"gen z singer-songwriter","Clean Slate",0.54,0.11,8,-19.885,1,0.0328,0.498,0.000614,0.0781,0.172,76.068,4
6gPPoRYJwCsoB2VVdPJfmo,"Miserable Man","Miserable Man","David Kushner",2022-01-07,232991,60,saaato11,2022-05-05T11:45:51Z,"gen z singer-songwriter,singer-songwriter pop","David Kushner",0.632,0.349,10,-10.289,1,0.0346,0.926,0.000075,0.294,0.307,109.981,4
7sTDqaGUr9NM8NHQ5SNHi1,"That's Us","Songs I Wrote in My Bedroom","Anson Seabra",2020-05-08,270461,56,saaato11,2022-05-05T11:46:58Z,"alt z,gen z singer-songwriter","Seabra Songs",0.621,0.108,10,-15.399,1,0.0493,0.968,0.0000167,0.137,0.204,129.285,4
0yc6Gst2xkRu0eMLeRMGCX,"Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290616,87,saaato11,2022-05-05T11:47:06Z,"ambient pop,dream pop,el paso indie,shoegaze","Partisan Records",0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,4
