Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6YchGW4sOM8nOJInd6hBAJ,"coffee on the beach.","coffee on the beach.","halberd",2017-08-06,178559,0,saaato11,2021-02-19T15:14:55Z,"lo-fi beats,lo-fi rap","Repost Network",0.857,0.403,8,-11.405,0,0.0438,0.866,0.944,0.115,0.225,137.948,4
608R6FvRtAqf2dvgKMzebP,"I Want to Write You a Song","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,179013,60,saaato11,2021-02-19T15:14:55Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.714,0.443,5,-7.638,1,0.0256,0.779,0.000109,0.144,0.463,106.04,4
0xcFH3973DZauDkGnNjMgm,"HARD LOVE","H A R D L O V E","NEEDTOBREATHE",2016-07-15,214626,50,saaato11,2021-02-19T15:14:55Z,"ccm,christian alternative rock,christian indie,christian music,folk-pop","Atlantic Records",0.387,0.843,0,-4.221,0,0.0539,0.0231,0,0.503,0.378,168.149,4
22AJMMJMaQ3qtTwlegrKcm,"Six Feet Apart","Six Feet Apart","Alec Benjamin",2020-04-09,173705,48,saaato11,2021-02-19T15:14:55Z,"alt z,pop,pov: indie","P2020",0.492,0.378,5,-7.117,1,0.0304,0.811,0,0.136,0.497,110.907,4
12ZYXSzFJUSrFyO1u3Ylqx,"Constant","Constant","Jesse Barrera,Jeremy Passion",2020-02-14,190348,62,saaato11,2021-02-19T15:14:55Z,"bedroom r&b,chill r&b,pop soul","THE JB CAVE Records",0.667,0.427,9,-8.74,1,0.0271,0.492,0.0000139,0.201,0.604,87.033,4
6KA2YcsQZlQD8f8uvKjPXw,"Hear my thoughts","some boring love stories, pt. 4","Powfu",2019-11-12,137368,45,saaato11,2021-02-19T15:14:55Z,"sad lo-fi,sad rap","powpow",0.667,0.446,5,-10.801,0,0.38,0.892,0,0.101,0.311,76.53,4
7gvANY4WrDNCfHKM0YW15m,"DEDWEIGHT","DEDWEIGHT","DED STARK",2020-03-11,180000,3,saaato11,2021-02-19T15:14:55Z,"emo rap","DED BED",0.635,0.801,8,-4.174,1,0.0452,0.594,0.4,0.0998,0.217,159.876,4
1M8rJIlT5HcGmvzZyssBlG,"Omae Wa Mou","Omae Wa Mou","Shayne Orok",2019-08-25,114166,0,saaato11,2021-02-19T15:14:55Z,"otacore","Shayne Orok",0.691,0.615,11,-11.873,0,0.0402,0.747,0.617,0.116,0.709,92.988,4
6hbK9zJUAlB5PYL15SzKtB,"Letters in December","Letters in December","Powfu,Rxseboy",2019-10-11,150000,44,saaato11,2021-02-19T15:14:55Z,"sad lo-fi,sad rap","Pow",0.634,0.32,1,-9.514,1,0.093,0.911,0.000159,0.0859,0.41,79.931,4
2L2mNkEWo818IE4fKbnP0O,"Would Look Perfect","Letter's You Never Received","Powfu,Rxseboy",2019-07-18,149000,51,saaato11,2021-02-19T15:14:55Z,"sad lo-fi,sad rap","867882 Records DK2",0.788,0.537,9,-4.966,0,0.107,0.844,0,0.117,0.434,85.03,4
