Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3AJwUDP919kvQ9QcozQPxg,"Yellow","Parachutes","Coldplay",2000-07-10,266773,88,saaato11,2021-05-19T04:15:37Z,"permanent wave,pop","Parlophone UK",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
7LVHVU3tWfcxj5aiPFEW4Q,"Fix You","X&Y","Coldplay",2005-06-07,295533,82,saaato11,2021-05-19T04:15:55Z,"permanent wave,pop","Parlophone Records Limited",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,4
75JFxkI2RXiU7L9VXzMkle,"The Scientist","A Rush of Blood to the Head","Coldplay",2002-08-27,309600,84,saaato11,2021-05-19T04:16:05Z,"permanent wave,pop","Parlophone Records Limited",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4
2nvC4i2aMo4CzRjRflysah,"In My Place","A Rush of Blood to the Head","Coldplay",2002-08-27,226680,71,saaato11,2021-05-19T04:16:13Z,"permanent wave,pop","Parlophone Records Limited",0.424,0.588,9,-5.455,1,0.0278,0.0553,0.00000495,0.298,0.193,144.636,4
3ou9rSNUQnE7XYmJkUUIOc,"Green Eyes","A Rush of Blood to the Head","Coldplay",2002-08-27,223040,63,saaato11,2021-05-19T04:16:25Z,"permanent wave,pop","Parlophone Records Limited",0.607,0.405,9,-8.607,1,0.0265,0.539,0.0000067,0.231,0.233,129.543,4
4bPkBHKLKd9WHizsvM2zV3,"Warning Sign","A Rush of Blood to the Head","Coldplay",2002-08-27,331133,57,saaato11,2021-05-19T04:16:29Z,"permanent wave,pop","Parlophone Records Limited",0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,4
5qfZRNjt2TkHEL12r3sDEU,"Everglow","A Head Full of Dreams","Coldplay",2015-12-04,282693,66,saaato11,2021-05-19T04:16:40Z,"permanent wave,pop","Parlophone UK",0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,4
7D0RhFcb3CrfPuTJ0obrod,"Sparks","Parachutes","Coldplay",2000-07-10,227093,84,saaato11,2021-05-19T04:16:52Z,"permanent wave,pop","Parlophone UK",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
0E4Y1XIbs8GrAT1YqVy6dq,"Afterglow","Afterglow","Ed Sheeran",2020-12-21,185486,66,saaato11,2021-05-19T04:17:23Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,4
1k5Fru5iZKKlgWOQCv35kQ,"Everything You Are","Don't","Ed Sheeran",2014-08-12,238656,34,saaato11,2021-05-19T04:17:23Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.629,0.707,7,-5.504,1,0.0947,0.362,0.000159,0.112,0.369,173.847,4
0Qhut5Vj2My3pVxjHdwAAX,"Cold Coffee","Songs I Wrote With Amy","Ed Sheeran",2011-12-09,254226,34,saaato11,2021-05-19T04:17:23Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.544,0.529,6,-6.753,1,0.0256,0.453,0,0.131,0.403,92.936,4
1HbcclMpw0q2WDWpdGCKdS,"Tenerife Sea","x (Deluxe Edition)","Ed Sheeran",2014-06-21,241346,64,saaato11,2021-05-19T04:17:23Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.53,0.346,8,-10.497,1,0.0376,0.697,0.0000107,0.105,0.359,121.876,4
12B0Twa9kRz45Xw2PgXHJm,"Afire Love","x (Deluxe Edition)","Ed Sheeran",2014-06-21,314280,53,saaato11,2021-05-19T04:17:23Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.552,0.637,5,-6.568,1,0.0445,0.464,0.0000163,0.136,0.333,97.97,4
5TvFfDlVoUWZvfqrhTJzD7,"One","x (Deluxe Edition)","Ed Sheeran",2014-06-21,252760,56,saaato11,2021-05-19T04:17:23Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.464,0.321,2,-11.12,1,0.0418,0.877,0,0.0789,0.306,93.528,4
5ug4vqGZ3eisGhY1IsziNX,"Best Part of Me (feat. YEBBA)","Best Part of Me (feat. YEBBA)","Ed Sheeran,Yebba",2019-07-05,243266,52,saaato11,2021-05-19T04:17:29Z,"pop,singer-songwriter pop,uk pop,pop soul","Atlantic Records UK",0.565,0.242,2,-8.367,1,0.0318,0.762,0.0000093,0.285,0.237,81.657,4
2RttW7RAu5nOAfq6YFvApB,"Happier","÷ (Deluxe)","Ed Sheeran",2017-03-03,207520,73,saaato11,2021-05-19T04:17:41Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4
6ThrnYkLPlKar6dUIggR6Q,"Be Like You","5","Ed Sheeran",2014-06-20,218373,35,saaato11,2021-05-19T04:18:33Z,"pop,singer-songwriter pop,uk pop","Gingerbread Man Records",0.671,0.388,11,-6.516,1,0.0762,0.715,0,0.192,0.59,105.869,4
3cQddetSMtHoDJT4YS70Vp,"The A Team","+","Ed Sheeran",2011-09-09,258373,27,saaato11,2021-05-19T04:19:00Z,"pop,singer-songwriter pop,uk pop","WM UK",0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
47ltkdjKBMHelkhJavYLQ4,"Lego House","+","Ed Sheeran",2011-09-09,185093,16,saaato11,2021-05-19T04:19:05Z,"pop,singer-songwriter pop,uk pop","WM UK",0.592,0.637,11,-8.48,1,0.0992,0.562,0,0.13,0.565,159.701,4
5aWgWAcePwGYEIcSlfTq2K,"The Answer","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,221626,34,saaato11,2021-05-19T04:19:18Z,"irish pop,modern rock,neo mellow","B-Unique/RCA",0.586,0.417,7,-10.953,1,0.0282,0.772,0.00517,0.0798,0.398,115.864,4
0uDsj6KuyEjlFoqQvBcpD4,"Sometimes","Sometimes","Kodaline",2020-03-06,228275,0,saaato11,2021-05-19T04:19:28Z,"irish pop,modern rock,neo mellow","B-Unique Records (UK) Ltd",0.56,0.73,1,-6.355,1,0.0266,0.00357,0,0.347,0.47,94.99,4
0My8NPmENHrN5W7OfgZnZJ,"The One","Coming Up for Air (Expanded Edition)","Kodaline",2015-02-09,232520,56,saaato11,2021-05-19T04:19:34Z,"irish pop,modern rock,neo mellow","RCA Records Label",0.43,0.587,9,-8.003,1,0.0349,0.652,0.0000886,0.158,0.335,156.006,4
6KkyuDhrEhR5nJVKtv9mCf,"High Hopes","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,230266,61,saaato11,2021-05-19T04:19:43Z,"irish pop,modern rock,neo mellow","B-Unique/RCA",0.488,0.487,4,-6.371,1,0.0305,0.577,0,0.193,0.219,77.278,4
0NlGoUyOJSuSHmngoibVAs,"All I Want","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,305746,76,saaato11,2021-05-19T04:20:19Z,"irish pop,modern rock,neo mellow","B-Unique/RCA",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
5fVZC9GiM4e8vu99W0Xf6J,"How to Save a Life","How To Save A Life","The Fray",2005-09-13,262533,80,saaato11,2021-05-19T04:20:29Z,"neo mellow,piano rock,pop,pop rock","Epic",0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
0FDzzruyVECATHXKHFs9eJ,"A Sky Full of Stars","Ghost Stories","Coldplay",2014-05-16,267866,84,saaato11,2021-05-19T04:21:38Z,"permanent wave,pop","Parlophone UK",0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4
4VuS959DSpr82t3qBqCrWG,"Supermarket Flowers","÷ (Deluxe)","Ed Sheeran",2017-03-03,221106,72,saaato11,2021-06-05T05:53:47Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.589,0.242,6,-10.517,1,0.0442,0.914,0,0.0887,0.257,89.749,4
6PJ8FF6UR8FZXfEvpHkIVN,"How Would You Feel (Paean)","÷ (Deluxe)","Ed Sheeran",2017-03-03,280533,61,saaato11,2021-06-05T05:53:52Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.617,0.439,9,-5.63,1,0.0269,0.424,0,0.127,0.242,139.979,4
2w3eXFL86RgxGtDr8bzwgK,"A Message","X&Y","Coldplay",2005-06-07,285345,59,saaato11,2021-09-26T14:09:20Z,"permanent wave,pop","Parlophone Records Limited",0.566,0.459,1,-9.488,1,0.0289,0.327,0.000253,0.202,0.151,116.916,4
4wzt5Rrk3W98pHXAqutuJw,"Talk","X&Y","Coldplay",2005-06-07,311291,63,saaato11,2021-09-26T14:09:20Z,"permanent wave,pop","Parlophone Records Limited",0.415,0.554,7,-10.839,0,0.0334,0.00541,0.00202,0.155,0.163,120.318,4
