Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4SqWKzw0CbA05TGszDgMlc,"I Love You So","I Love You So","The Walters",2014-11-28,160239,86,saaato11,2024-01-17T22:37:24Z,"chicago indie,pov: indie","Warner Records",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
3z8h0TU7ReDPLIbEnYhWZb,"Bohemian Rhapsody","Bohemian Rhapsody (The Original Soundtrack)","Queen",2018-10-19,354947,71,saaato11,2024-01-17T22:37:34Z,"classic rock,glam rock,rock","EMI",0.39,0.395,0,-9.966,0,0.0501,0.288,0,0.207,0.247,144.32,4
64yrDBpcdwEdNY9loyEGbX,"21 Guns","21st Century Breakdown","Green Day",2009-05-15,321093,73,saaato11,2024-01-17T22:38:01Z,"modern rock,permanent wave,punk,rock","Reprise",0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,4
1D2SVYXZdtNfJCg8wZWvVz,"Live Forever","Definitely Maybe","Oasis",1994,276826,44,saaato11,2024-01-20T14:24:00Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.147,0.782,9,-5.393,0,0.0367,0.0000137,0.00000686,0.369,0.182,90.896,4
2AT8iROs4FQueDv2c8q2KE,"R U Mine?","AM","Arctic Monkeys",2013-09-09,201726,79,saaato11,2024-01-22T05:13:56Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,4
5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,84,saaato11,2024-01-29T04:30:52Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
086myS9r57YsLbJpU0TgK9,"Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,84,saaato11,2024-01-29T04:33:17Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
58KPPL1AdLHMvR2O2PZejr,"Jesus of Suburbia","American Idiot","Green Day",2004-09-21,548253,64,saaato11,2024-02-01T14:18:56Z,"modern rock,permanent wave,punk,rock","Reprise",0.3,0.929,1,-3.214,1,0.0636,0.000259,0.00000226,0.329,0.59,147.116,4
4JGhBxGJKacgOzXmUAnucQ,"Talk","Talk EP","November Lights",2016-11-25,239571,22,saaato11,2024-03-20T09:07:49Z,"","November Lights",0.438,0.513,9,-7.223,1,0.0289,0.166,0.0000466,0.209,0.26,101.877,4
1Ame8XTX6QHY0l0ahqUhgv,"THE LONELIEST","THE LONELIEST","Måneskin",2022-10-07,247067,67,saaato11,2024-06-19T09:32:06Z,"indie rock italiano,italian pop","Epic",0.519,0.595,2,-5.001,1,0.0283,0.00151,0,0.0762,0.237,129.786,4
1Vqs0lXeJafYZz2sxnfB3V,"シンデレラボーイ","レイジーサンデー","Saucy Dog",2021-08-25,234323,66,saaato11,2024-07-07T12:25:26Z,"j-indie,j-pop,japanese alternative rock","A-Sketch",0.596,0.735,9,-6.362,1,0.0332,0.0748,0,0.269,0.524,108.106,4
5lcBpOBvdjCcqKqN5tXKC0,"Daisy Daisy","Call Me Out EP","Sea Girls",2017-06-08,266920,29,saaato11,2024-07-15T06:00:54Z,"english indie rock","Polydor Records",0.525,0.466,2,-9.782,1,0.0234,0.248,0.487,0.111,0.424,76.496,4
7nzsY8vlnKdvGOEE0rjAXZ,"Arabella","AM","Arctic Monkeys",2013-09-09,207356,74,saaato11,2024-07-21T06:20:13Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.579,0.558,2,-6.986,1,0.0895,0.0202,0.00000126,0.212,0.506,179.949,4
1VyA8mbSyXOdJx2lguR8Uu,"Romeo & Juliet","Romeo & Juliet","Peter McPoland",2020-07-03,166137,53,saaato11,2024-08-04T10:41:09Z,"pov: indie","Columbia",0.318,0.476,0,-7.108,1,0.0441,0.454,0.0000157,0.503,0.0807,160.737,4
26EjM7ZMAnWOKPAuKNOX24,"Laugh It Off","AUSTIN","Post Malone",2023-07-28,246503,54,saaato11,2024-10-12T10:09:45Z,"dfw rap,melodic rap,pop,rap","Mercury Records/Republic Records",0.494,0.54,9,-5.807,1,0.0407,0.0141,0.00000105,0.0792,0.248,152.115,4
7do1z89SovSvOUY22MG6bt,"siemprequieroloquenotengo","AAAAAA","Marc Seguí",2023-04-28,191757,29,saaato11,2024-10-20T11:29:05Z,"spanish pop","WM Spain",0.77,0.386,8,-7.388,1,0.0405,0.0767,0,0.101,0.635,122.955,4
