Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1IHWl5LamUGEuP4ozKQSXZ,"Tití Me Preguntó","Un Verano Sin Ti","Bad Bunny",2022-05-06,243716,79,adaaa02,2023-05-25T10:08:49Z,"reggaeton,trap latino,urbano latino","Rimas Entertainment LLC",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
26QKsGW4hMuwiEE1ftUMHe,"Lo Que Pasó, Pasó","Barrio Fino (Bonus Track Version)","Daddy Yankee",2004-07-13,210933,79,adaaa02,2023-05-25T10:09:09Z,"latin hip hop,reggaeton,trap latino,urbano latino","Gasolina Recording Co.",0.819,0.741,8,-6.538,0,0.0412,0.104,0,0.283,0.84,97.014,4
33a2zTGZocgU9XVDDILHM3,"La Despedida","Mundial (Deluxe Version)","Daddy Yankee",2010-04-27,202826,76,adaaa02,2023-05-25T10:10:09Z,"latin hip hop,reggaeton,trap latino,urbano latino","Gasolina Recording Co.",0.745,0.994,2,-2.194,0,0.0497,0.0909,0.0546,0.0684,0.972,122.049,4
3pDhN3qB33AOPhQEkUCaWt,"Limbo","Prestige","Daddy Yankee",2012-01-01,224693,73,adaaa02,2023-05-25T10:10:20Z,"latin hip hop,reggaeton,trap latino,urbano latino","Capitol Latin",0.807,0.874,7,-3.817,1,0.0888,0.0833,0.00184,0.065,0.919,125.05,4
4Xtlw8oXkIOvzV7crUBKeZ,"Rompe","Barrio Fino En Directo","Daddy Yankee",2005-01-01,188626,73,adaaa02,2023-05-25T10:10:27Z,"latin hip hop,reggaeton,trap latino,urbano latino","Interscope/El Cartel",0.696,0.858,9,-5.155,1,0.0859,0.0727,0.00000319,0.0631,0.533,176.061,4
3XjN0mvFkQp1FMVM9Ro5hm,"RUMBATÓN","LEGENDADDY","Daddy Yankee",2022-03-25,248768,60,adaaa02,2023-05-25T10:10:32Z,"latin hip hop,reggaeton,trap latino,urbano latino","Republic Records",0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4
7MmVXDISr1AEsJTjNiAlMG,"Pose","Talento de Barrio","Daddy Yankee",2008-08-12,217226,73,adaaa02,2023-05-25T10:10:54Z,"latin hip hop,reggaeton,trap latino,urbano latino","Gasolina Recording Co.",0.806,0.881,11,-3.577,1,0.0903,0.0429,0.0000207,0.349,0.472,117.037,4
7uUYUy2qLfev9ppNvFBHpX,"Pasarela","Prestige","Daddy Yankee",2012-01-01,193626,67,adaaa02,2023-05-25T10:11:09Z,"latin hip hop,reggaeton,trap latino,urbano latino","Capitol Latin",0.842,0.893,9,-4.277,1,0.0462,0.105,0,0.289,0.713,121.035,4
6oyl7ELfrMqXLhGmIjXY9R,"Lovumba","Prestige","Daddy Yankee",2012-01-01,218413,65,adaaa02,2023-05-25T10:11:16Z,"latin hip hop,reggaeton,trap latino,urbano latino","Capitol Latin",0.734,0.933,11,-4.639,0,0.058,0.0375,0,0.299,0.934,120.987,4
2a1o6ZejUi8U3wzzOtCOYw,"Danza Kuduro","Meet The Orphans","Don Omar,Lucenzo",2010-01-01,198773,79,adaaa02,2023-05-25T10:11:31Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino","UMLE - Machete",0.4,0.915,0,-4.89,1,0.279,0.083,0,0.0503,0.871,89.006,3
