Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1SOTqkhpIWoLX1AS9Y2RpU,"Coconut Mall (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,130612,55,saaato11,2021-06-15T08:00:34Z,"sillycore","8-Bit Arcade",0.777,0.633,5,-8.354,1,0.0367,0.186,0.197,0.239,0.96,130.069,4
6wKFRx6XTNiZqQoJR7HNhO,"Rainbow Road (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,83452,39,saaato11,2021-06-15T08:02:15Z,"sillycore","8-Bit Arcade",0.399,0.443,2,-9.847,1,0.0311,0.199,0.0444,0.284,0.605,81.035,4
1SkAJnRCQKbHK1IvgzWrqt,"GCN Luigi Circuit","Mario Kart DS, The Themes","Arcade Player",2019-07-31,153274,35,saaato11,2021-06-15T08:05:48Z,"sillycore","8-Bit Arcade",0.857,0.797,0,-8.411,1,0.041,0.0131,0.624,0.0933,0.972,141.927,4
7LfvWelERzIt0aoF4y380q,"Raceways (From Mario Kart 64) - Original","Raceways (From Mario Kart 64) [Original]","Game Monsters",2020-04-09,181191,23,saaato11,2021-06-15T08:07:09Z,"","Game Monsters",0.581,0.559,0,-15.489,1,0.0317,0.0865,0.793,0.103,0.909,140.016,4
7B6wfNfqRalbLWt12RXnoW,"Title Theme (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,109958,37,saaato11,2021-06-15T08:07:50Z,"sillycore","8-Bit Arcade",0.555,0.741,2,-10.467,1,0.0287,0.00126,0.689,0.178,0.78,142.026,4
7FkopnS7J8x0WSrNPQyO9E,"Title Screen","Mario Kart DS, The Themes","Arcade Player",2019-07-31,150616,31,saaato11,2021-06-29T11:46:53Z,"sillycore","8-Bit Arcade",0.644,0.682,2,-8.725,1,0.0266,0.0263,0.386,0.357,0.902,144.038,4
4FrGtUSr8EKtFAv2gRT1MP,"Wii Koopa Cape","The Mario Kart Sessions","AWJC Media",2019-03-20,120220,36,saaato11,2021-06-29T11:47:56Z,"","AWJC Media",0.798,0.977,10,-9.189,1,0.0713,0.237,0.762,0.0519,0.875,158.058,4
4XLJN9rJEToQjn0xieXyqS,"DK Snowboard Cross (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,127872,35,saaato11,2021-06-29T11:48:29Z,"sillycore","8-Bit Arcade",0.552,0.536,7,-9.862,1,0.0362,0.0613,0.823,0.312,0.348,89.963,4
5VGyaBnrhIoRBT3ZHFAHaj,"Mario Raceway","Mario Kart 64, The Themes","Arcade Player",2019-04-22,73061,33,saaato11,2021-06-29T11:48:46Z,"sillycore","8-Bit Arcade",0.695,0.644,0,-10.911,1,0.0373,0.00315,0.746,0.227,0.906,141.006,4
1cjdUkAtgEgMRnDPVImai0,"Yoshi's Island - Athletic Theme","Game & Sound: VGM Covers, Vol. 3","Game & Sound",2015-11-16,180000,33,saaato11,2021-06-29T11:48:53Z,"pixel","Game & Sound",0.634,0.709,5,-6.948,1,0.0298,0.919,0.959,0.157,0.912,130.047,4
5LlJT3Nt57DwRF9WvMc2Fs,"Racing Menu (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,220868,32,saaato11,2021-06-29T11:49:01Z,"sillycore","8-Bit Arcade",0.502,0.622,7,-10.033,0,0.0286,0.35,0.957,0.305,0.693,174.005,4
6pFglHjDenzPHZxM3ABiiC,"DK Summit (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,109749,35,saaato11,2021-06-29T11:51:00Z,"sillycore","8-Bit Arcade",0.74,0.228,0,-9.712,1,0.0336,0.0153,0.0139,0.0779,0.956,90.011,4
7sLE4xQn8yW1NsXfUzFpjE,"Mario Kart 8, Mario Kart Stadium","Mario Kart 8, Iconic Themes","Arcade Player",2019-11-07,121010,30,saaato11,2021-06-29T11:52:10Z,"sillycore","8-Bit Arcade",0.507,0.403,0,-9.562,1,0.0283,0.044,0.16,0.684,0.542,147.85,4
35p6e0KNtqy2THgi8G9EiN,"Koopa Cape (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,282598,33,saaato11,2022-06-25T11:13:48Z,"sillycore","8-Bit Arcade",0.69,0.544,10,-8.063,1,0.0362,0.147,0.804,0.102,0.458,82.508,4
1DiGfyDBtEq4iiDfxvxvsA,"Mario Kart 8, Sweet Sweet Canyon","Mario Kart 8, Iconic Themes","Arcade Player",2019-11-07,113638,29,saaato11,2022-06-25T11:14:54Z,"sillycore","8-Bit Arcade",0.628,0.742,0,-8.496,1,0.0318,0.00794,0.0000102,0.113,0.88,122.984,4
0yNykybN4wicAq9T9pe78Z,"Rainbow Road","Mario Kart DS, The Themes","Arcade Player",2019-07-31,130020,26,saaato11,2022-06-25T11:15:03Z,"sillycore","8-Bit Arcade",0.51,0.571,9,-8.004,1,0.0289,0.000271,0.0192,0.256,0.883,150.096,4
1jpsWrhiDXZuhmtTvyLE90,"Mushroom Gorge (From Mario Kart Wii)","Mario Kart Wii, The Themes","Arcade Player",2020-08-05,106184,31,saaato11,2023-03-25T08:16:34Z,"sillycore","8-Bit Arcade",0.607,0.636,0,-9.97,1,0.0294,0.0621,0.649,0.158,0.969,128.946,4
03f4dOI9Xqj0hpVuJKIawt,"Title Theme (From Wii Sports)","Wii Sports, The Themes","Arcade Player",2020-08-15,182079,19,saaato11,2023-03-25T08:16:46Z,"sillycore","8-Bit Arcade",0.569,0.719,11,-6.544,1,0.0261,0.0346,0.69,0.107,0.493,119.998,4
5OHZ1J3lpe74EWQARBwG3a,"Menu (From Mario Kart Wii)","The Mario Brothers Collection, Vol. I","Good Knight Productions",2014-01-30,223537,17,saaato11,2023-03-25T08:17:25Z,"scorecore","Good Knight Productions",0.372,0.904,5,-6.975,1,0.0306,0.00998,0.919,0.0618,0.647,173.981,4
0hl8k492sfcfLQudNctEiR,"Wii Sports Theme (From Nintendo Wii)","Wii Sports Theme (From Nintendo Wii)","The Greatest Bits",2021-03-05,139296,42,saaato11,2023-03-25T08:17:51Z,"scorecore","The Greatest Bits",0.505,0.723,1,-9.584,0,0.0312,0.0000213,0.967,0.38,0.36,118.987,4
