Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1oKoTnf5bERKjEiobXAuyN,"summertime","summertime","cinnamons,evening cinema",2017-08-07,251818,39,saaato11,2020-07-17T07:30:30Z,"city pop","cinnamons & evening cinema",0.688,0.704,3,-6.315,1,0.0303,0.104,0,0.0672,0.849,131.969,4
6M6Tk58pQvABy6ru66dY3d,"No Money","The Aviary","Galantis",2017-09-15,191293,66,saaato11,2020-07-17T07:30:53Z,"dance pop,edm,pop,pop dance,progressive electro house","Big Beat Records",0.674,0.915,6,-3.999,0,0.0411,0.0282,0.00337,0.273,0.78,126.038,4
2qIjtQ8sMzPEpwof65tanI,"Rhythm Of Love","2010s Hits","Plain White T's",2019-12-20,200200,18,saaato11,2020-07-17T07:31:28Z,"modern rock,neo mellow,neon pop punk,pop punk,pop rock","UME - Global Clearing House",0.531,0.549,8,-7.895,1,0.0377,0.361,0,0.118,0.681,171.787,4
0znCw9dSfsrBGUtxAzd9kD,"5 shots","she's no angel","gianni & kyle",2018-11-01,181709,0,saaato11,2020-07-17T07:32:11Z,"indie pop rap","hardpink records",0.918,0.449,1,-5.702,1,0.0605,0.124,0,0.0595,0.481,91.978,4
0PK4hIfmWZTqkeus4DVfIw,"Sunshine","Nice Colors","khai dreams,Atwood",2018-05-17,166942,0,saaato11,2020-07-17T07:35:09Z,"lo-fi rap,pov: indie","Khai Dreams",0.866,0.655,9,-5.965,1,0.286,0.59,0,0.139,0.469,106.018,4
2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,78,saaato11,2020-07-17T07:36:24Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
2RiBogNRfulkNf7fVbPOrJ,"Saturday Sun","Nation of Two","Vance Joy",2018-02-23,214720,66,saaato11,2020-07-17T07:36:36Z,"folk-pop,modern rock","Atlantic Records",0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,4
2MOsa4NltIx6KhJPaDhWAl,"Delilah","Moon By Island Gardens","Aeris Roves",2018-11-02,187253,40,saaato11,2020-07-17T07:37:32Z,"uk contemporary r&b","RCA Records Label",0.814,0.435,7,-8.422,1,0.0684,0.814,0.00000162,0.105,0.416,98.049,4
7hpJ9tATWb2vztlq99hERP,"Maniac","Maniac","Conan Gray",2019-10-25,185786,20,saaato11,2020-07-17T07:37:54Z,"bedroom pop,pop,pov: indie","Republic Records",0.623,0.647,8,-5.438,1,0.04,0.00122,0,0.354,0.522,107.987,4
7BrvQTRoBtMlZuRuiWfFnf,"Summer Is Like a Dream","Summer Is Like a Dream","khai dreams",2017-08-26,128571,0,saaato11,2020-07-17T07:38:07Z,"lo-fi rap,pov: indie","650367 Records DK",0.586,0.384,8,-16.529,1,0.246,0.821,0.000524,0.0741,0.647,140.006,4
2PWDjlBRQNhyECHVJBcbLa,"(She's Already) in My Head","Now and Then","khai dreams",2019-10-11,118956,0,saaato11,2020-07-17T07:38:21Z,"lo-fi rap,pov: indie","Khai Dreams",0.666,0.247,8,-11.67,1,0.13,0.876,0,0.359,0.384,116.06,4
3Q1iQCcGBnmc9Lfd9XamsR,"Daydreamer","Summer Is Like a Dream","khai dreams",2017-08-26,109714,0,saaato11,2020-07-17T07:38:37Z,"lo-fi rap,pov: indie","650367 Records DK",0.802,0.312,8,-17.272,1,0.0389,0.159,0.226,0.126,0.503,106.676,5
2R1Y2uC2QC7sGMTgsqgyEN,"Ultimately - Cloud Mac Remix","Ultimately (Cloud Mac Remix)","khai dreams,Cloud Mac",2019-08-10,198197,0,saaato11,2020-07-17T07:38:41Z,"lo-fi rap,pov: indie","778581 Records DK2",0.582,0.291,5,-13.943,1,0.516,0.885,0,0.103,0.704,106.972,4
5ylbRUpImzyVCVHsJBskvt,"All Over Again","All Over Again","khai dreams",2018-12-11,126000,0,saaato11,2020-07-17T07:38:50Z,"lo-fi rap,pov: indie","Khai Dreams",0.68,0.574,2,-11.303,1,0.0648,0.44,0.000105,0.327,0.727,81.97,4
3CoLrp2RZHg0TzN82QUR40,"Sunlight","Sunlight","khai dreams",2017-10-29,162157,0,saaato11,2020-07-17T07:38:55Z,"lo-fi rap,pov: indie","650367 Records DK",0.563,0.21,0,-17.84,1,0.282,0.706,0.368,0.235,0.159,129.222,5
3FUWD1PXnb6wxRpxqEp1zc,"Let Go Today","Lenses","Shoffy",2018-11-16,182400,0,saaato11,2020-07-17T07:39:08Z,"chill pop,la pop","Otherground Records",0.84,0.193,8,-11.186,1,0.0696,0.182,0,0.173,0.204,99.99,4
0xM6mdl0XX2qOqUZmVUp97,"Cool Again","Lenses","Shoffy",2018-11-16,191935,0,saaato11,2020-07-17T07:39:23Z,"chill pop,la pop","Otherground Records",0.774,0.45,11,-6.86,1,0.0896,0.443,0.0000328,0.127,0.648,90.055,4
1mpD5Q8IM32I4bF6eCpU74,"Up All Night","Up All Night","Khalid",2019-11-14,157220,52,saaato11,2020-07-17T07:39:31Z,"pop,pop r&b","Right Hand Music Group, LLC/RCA Records",0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00333,0.102,0.669,93.992,4
0ihRxpT722VMJurtxiRetc,"Show Me What I'm Looking For","Pop Rocks","Carolina Liar",2018-06-15,240466,25,saaato11,2020-07-17T07:39:56Z,"modern alternative rock","Warner Music Group - X5 Music Group",0.449,0.864,9,-1.159,0,0.0378,0.0133,0.00000131,0.0984,0.355,105.121,4
14cP4uutfVVGjxPxaqZPLe,"Tequila Sunrise (feat. AUGUST 08 & GoldLink)","Head In The Clouds II","88rising,Jackson Wang,Higher Brothers,AUGUST 08,GoldLink",2019-10-11,243332,0,saaato11,2020-07-17T07:40:01Z,"asian american hip hop,k-pop,chinese hip hop,sichuanese hip hop,la pop,r&b,alternative r&b","88rising Music/Warner Records",0.8,0.545,0,-6.74,1,0.0765,0.0313,0.0000507,0.0929,0.458,99.981,4
7aiClxsDWFRQ0Kzk5KI5ku,"hot girl bummer","hot girl bummer","blackbear",2019-08-23,185093,2,saaato11,2020-07-17T07:40:43Z,"alt z,pop","Beartrap/ Alamo/ Interscope Records",0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,1
2yJVeT8cP1zstJxRP7Nlv8,"No Interruption","All American","Hoodie Allen",2012-04-10,215240,55,saaato11,2020-07-17T07:40:59Z,"indie pop rap","Hoodie Allen",0.497,0.706,1,-6.455,1,0.0667,0.227,0,0.224,0.55,103,4
0as7lPxkBPctZ7uVmchRNM,"Miss You (with Major Lazer & Tory Lanez)","Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat,Major Lazer,Tory Lanez",2018-01-16,186231,0,saaato11,2020-07-17T07:41:17Z,"downtempo,electropop,shiver pop,dance pop,edm,electro house,moombahton,pop,pop dance,canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap","Universal Music Group",0.753,0.646,1,-4.564,1,0.0973,0.231,0.0012,0.0961,0.438,100,4
2ZDpSQfBdgkooeXw6oj3Uz,"100 Degrees","The Sailor","Rich Brian",2019-07-26,166145,2,saaato11,2020-07-17T07:41:33Z,"indonesian hip hop","88rising Music/Warner Records",0.756,0.648,0,-5.287,1,0.0731,0.118,0,0.515,0.657,80.979,4
1nbS9XTgYPM9dONkXtDECB,"Curious","The Sailor","Rich Brian",2019-07-26,225498,1,saaato11,2020-07-17T07:41:39Z,"indonesian hip hop","88rising Music/Warner Records",0.817,0.433,6,-7.26,1,0.0501,0.904,0.00000152,0.106,0.9,111.059,4
5IWMH89twdzA3XZpjW4Gvq,"Summertime In Paris","ERYS","Jaden,WILLOW",2019-07-05,270960,34,saaato11,2020-07-17T07:41:55Z,"pop rap,rap,afrofuturism,pop,post-teen pop,pov: indie","MSFTSMusic / Roc Nation Records",0.569,0.86,9,-4.116,1,0.043,0.135,0,0.153,0.289,90.937,4
67WTwafOMgegV6ABnBQxcE,"Some Nights","Some Nights","fun.",2012-02-14,277040,65,saaato11,2020-07-17T07:42:01Z,"baroque pop,metropopolis,neo mellow","Fueled By Ramen",0.672,0.738,0,-7.045,1,0.0506,0.0178,0.0000675,0.0927,0.392,107.938,4
3xaugmCyXrVkrDTXbFkMW3,"Sanctuary","Sanctuary","Joji",2019-06-14,180018,7,saaato11,2020-07-17T07:42:15Z,"viral pop","88rising Music/Warner Records",0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,4
5EZJdxADQvZVRptQqKy65U,"Nothing Wrong","Type-3 - EP","Higher Brothers,Harikiri",2018-02-27,160645,0,saaato11,2020-07-17T07:42:23Z,"chinese hip hop,sichuanese hip hop,chinese melodic rap","88rising Music / EMPIRE",0.825,0.67,1,-7.765,1,0.0702,0.0599,0,0.139,0.646,124.025,4
1fHRzxbts9A8J1ergDe7Kz,"Saturday Nights","Free Spirit","Khalid",2019-04-05,211626,49,saaato11,2020-07-17T07:42:30Z,"pop,pop r&b","Right Hand Music Group, LLC/RCA Records",0.574,0.37,10,-10.803,1,0.0841,0.634,0.000094,0.0986,0.354,83.162,4
0ibG3XCJ32Qq9maUY4AViR,"How Can I Forget","How Can I Forget","MKTO",2018-09-07,177140,1,saaato11,2020-07-17T07:42:38Z,"pop,post-teen pop","BMG Rights Management (US) LLC",0.796,0.53,8,-5.967,1,0.0558,0.69,0,0.0646,0.754,105.031,4
2vRDFgdJiILUdDOLL8hLH3,"Lover Boy 88","Head In The Clouds","88rising,Phum Viphurit,Higher Brothers",2018-07-20,233033,1,saaato11,2020-07-17T07:42:56Z,"asian american hip hop,bedroom pop,chinese hip hop,sichuanese hip hop","88rising Music/Warner Records",0.734,0.699,11,-6.689,1,0.0614,0.349,0,0.261,0.5,109.979,4
6BZ6pl5bczDc3cMF1kBaOy,"pink skies","kinda","LANY",2016-06-24,185922,66,saaato11,2020-07-17T07:43:18Z,"la pop,opm","Polydor Records",0.719,0.631,5,-6.616,1,0.0433,0.266,0.00000769,0.134,0.466,103.968,4
74ODGXs4byLTRdnKGM4s6E,"Super Far","LANY","LANY",2017-06-30,203650,0,saaato11,2020-07-17T07:43:24Z,"la pop,opm","Universal Music Group",0.754,0.458,8,-6.852,1,0.144,0.105,0,0.249,0.495,96.011,4
0dPBlz8N0veeceejtuvpPz,"ILYSB","LANY","LANY",2017-06-30,211149,0,saaato11,2020-07-17T07:43:30Z,"la pop,opm","Universal Music Group",0.629,0.623,5,-6.954,1,0.0734,0.492,0.0034,0.348,0.412,99.989,4
7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,77,saaato11,2020-07-17T07:43:37Z,"folk-pop,modern rock","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
5ntnz8JZLQ9i3HxjXhYN1B,"Your Favorite Song - Loote Remix","Your Favorite Song - Loote Remix","Eighty Ninety,Loote",2018-01-26,188308,25,saaato11,2020-07-17T07:43:47Z,"brooklyn indie,hopebeat,alt z,nyc pop","EIGHTY NINETY",0.75,0.612,8,-6.745,1,0.0337,0.48,0,0.138,0.829,120.027,4
2lBqyCeue1bCd6HCZtKXHu,"Truthfully","DNCE","DNCE",2016-11-18,182653,52,saaato11,2020-07-17T07:43:53Z,"dance pop,pop","Joseph Jonas/Republic Records",0.723,0.643,8,-6.861,1,0.0351,0.32,0,0.332,0.548,102.015,4
2LFELeRAne8UMsIlQJcGYM,"9pm on a Sunday","9pm on a Sunday","khai dreams",2018-01-30,84000,0,saaato11,2020-07-17T07:44:15Z,"lo-fi rap,pov: indie","Khai Dreams",0.793,0.356,1,-16.942,0,0.143,0.574,0.00000427,0.0812,0.501,79.992,4
3kYARoLSAvt86VFZ55BQcq,"Head In The Clouds","Head In The Clouds","88rising,Joji",2018-07-20,178022,2,saaato11,2020-07-17T07:44:18Z,"asian american hip hop,viral pop","88rising Music/Warner Records",0.516,0.456,9,-9.242,1,0.0397,0.281,0.0000127,0.0847,0.238,145.843,4
53usuYfeK66GLBhm6k7x5e,"Fantasy","Summer Is Like a Dream","khai dreams",2017-08-26,170666,0,saaato11,2020-07-17T07:44:42Z,"lo-fi rap,pov: indie","650367 Records DK",0.35,0.43,7,-13.14,1,0.131,0.715,0,0.299,0.203,169.908,4
1fYZ2d294iginGnpqTLdxu,"Heartbreak Girl","5 Seconds Of Summer","5 Seconds of Summer",2014-06-27,198374,7,saaato11,2020-07-17T07:44:48Z,"boy band,pop","Capitol",0.471,0.789,10,-3.62,1,0.0602,0.000962,0,0.0649,0.684,166.99,4
4t40FO2bd8WoJ3VN0h95fj,"Sweet Disposition","Sweet Disposition (Remixes)","The Temper Trap",2009-06-26,234360,0,saaato11,2020-07-19T05:56:17Z,"indietronica,modern rock,shimmer pop","Infectious Music",0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09,4
5ef54feDngknAlHtNmI07h,"Day That It Ends","Day That It Ends","Sumner Rahr,Carson Paskill",2021-03-20,221226,8,saaato11,2021-08-24T02:35:57Z,"","LoveJoy",0.69,0.575,4,-6.014,0,0.03,0.443,0.00000368,0.111,0.395,120.017,4
4qjLvvBh5ZeKEPyShKRf06,"Narcissist (feat. The 1975)","RIP Indo Hisashi","No Rome,The 1975",2018-08-28,195501,58,saaato11,2022-07-22T09:54:24Z,"indietronica,modern alternative rock,modern rock,pop,pov: indie,rock","Dirty Hit",0.543,0.682,3,-5.81,1,0.113,0.218,0.00000153,0.085,0.424,179.969,4
3UJS9aEUbtYO8kMl1IK1r3,"Reckless","Subluxe","Healy",2017,237157,50,saaato11,2022-07-22T09:56:18Z,"memphis hip hop","Braintrust Records/RCA Records",0.849,0.362,2,-8.585,1,0.41,0.526,0.0000163,0.233,0.415,81.143,4
226le7T3p82reYWzsi9Hsz,"1, 2 Many","What You See Is What You Get","Luke Combs,Brooks & Dunn",2019-11-08,180906,72,saaato11,2022-07-28T10:45:55Z,"contemporary country,country,country road","River House Artists/Columbia Nashville",0.54,0.821,6,-3.789,1,0.0873,0.0397,0,0.423,0.685,148.798,4
2XW3vH6ZqMHvlzUSfhWW2X,"BALI","BALI","Rich Brian,Guapdad 4000",2020-04-10,199384,1,saaato11,2022-07-28T10:46:11Z,"indonesian hip hop,cali rap,canadian hip hop,oakland hip hop,scam rap,underground hip hop","88rising Music/Warner Records",0.855,0.645,5,-6.321,0,0.0545,0.0107,0,0.226,0.654,129.999,4
