Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5T9S5x5hEOvgGKWysm683a,"not ur friend","not ur friend","Jeremy Zucker",2020-02-28,174520,0,saaato11,2020-03-01T13:47:14Z,"alt z,electropop,pop","Republic Records",0.802,0.272,4,-10.563,1,0.412,0.309,0,0.403,0.669,68.969,4
41WTP0gosjYD74B06uS2tL,"You Said You'd Grow Old With Me","Wide Awake","Michael Schulte",2012-09-28,224743,57,saaato11,2020-03-01T13:47:18Z,"german pop,talentschau","VERY US RECORDS",0.531,0.347,0,-7.044,1,0.0345,0.905,0,0.0935,0.289,114.441,4
1ZWLWVqeEMWMKTlteS0yLH,"Love You Goodbye","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,196933,65,saaato11,2020-03-01T13:47:24Z,"boy band,pop,post-teen pop,talent show","Syco Music",0.547,0.657,1,-4.787,1,0.0332,0.0928,0,0.119,0.36,133.189,4
7MZF7YLxOP2to9iblSulLc,"Modern Loneliness","~how i'm feeling~","Lauv",2020-02-20,252337,0,saaato11,2020-03-01T13:47:47Z,"pop","Lauv",0.702,0.508,8,-7.105,1,0.035,0.144,0,0.108,0.143,82.008,4
0RBQbrd0LeZSgHxCf7Y0oA,"Everything I Didn't Say","5 Seconds Of Summer","5 Seconds of Summer",2014-06-27,180421,4,saaato11,2020-03-01T13:49:03Z,"boy band,pop","Capitol",0.373,0.911,9,-4.681,1,0.0876,0.0163,0,0.277,0.416,174.895,4
5Hmwizz0A3mOQqiA67LGuE,"Beside You","5 Seconds Of Summer","5 Seconds of Summer",2014-06-27,220250,5,saaato11,2020-03-01T13:49:32Z,"boy band,pop","Capitol",0.38,0.822,7,-5.095,1,0.105,0.00457,0.0000177,0.109,0.558,153.115,4
47rks3vghBGi3B8q7ZIFkv,"hungover & i miss u","hungover & i miss u","gnash",2020-01-10,166666,28,saaato11,2020-03-01T13:49:40Z,"alt z,pop",":): / Atlantic",0.926,0.418,6,-8.154,1,0.0471,0.37,0.0000778,0.158,0.335,128.003,4
4K3gM7kzX4POAfrs71HomN,"Lookalike","Sunset Season","Conan Gray",2018-11-16,220866,62,saaato11,2020-03-01T13:50:07Z,"bedroom pop,pop,pov: indie","Republic Records",0.434,0.302,10,-10.117,1,0.0378,0.766,0.00000763,0.149,0.173,121.645,4
75ZvA4QfFiZvzhj2xkaWAh,"I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,74,saaato11,2020-03-01T13:50:27Z,"dfw rap,melodic rap,pop,rap","Universal Records",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.946,4
3ZCTVFBt2Brf31RLEnCkWJ,"everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,81,saaato11,2020-03-01T13:50:38Z,"art pop,pop","Darkroom/Interscope Records",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
0AFmxuY039QJ7aNIeAID6N,"Nandina","Nandina","Drex Carter",2018-07-20,177000,0,saaato11,2020-03-01T13:51:49Z,"sad lo-fi,sad rap","Drex Carter",0.831,0.458,7,-10.59,1,0.238,0.668,0,0.226,0.618,98.512,4
0GT5m0eIa0OATOECdQtcsk,"Listen (featuring Avril Lavigne)","Ambitions","ONE OK ROCK,Avril Lavigne",2017-01-11,218992,41,saaato11,2020-03-01T13:52:09Z,"j-pop,j-rock,canadian pop,candy pop,dance pop,pop","Aer-born",0.442,0.907,1,-4.593,1,0.0551,0.0185,0.0000106,0.199,0.439,168.091,4
0rKtyWc8bvkriBthvHKY8d,"SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,24,saaato11,2020-03-01T13:54:00Z,"viral pop","88rising Music/Warner Records",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
4SHhui9S7lFYGHXikfneGo,"Drugs & The Internet","Drugs & The Internet","Lauv",2019-04-26,178549,0,saaato11,2020-03-01T13:54:25Z,"pop","Lauv",0.454,0.583,2,-6.596,1,0.133,0.321,0.0000106,0.332,0.216,89.134,4
6GzApXoBQiiAjak3tOQfV3,"Lie To Me (feat. Julia Michaels)","Lie To Me (feat. Julia Michaels)","5 Seconds of Summer,Julia Michaels",2018-12-21,149877,55,saaato11,2020-03-01T13:54:47Z,"boy band,pop","Capitol",0.612,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.772,159.932,4
09IOPhEh1OMe0HD9b36FJk,"Over Now","beerbongs & bentleys","Post Malone",2018-04-27,246986,61,saaato11,2020-03-01T13:55:01Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.569,0.777,4,-4.041,0,0.0834,0.137,0,0.132,0.181,164.029,4
5aqu5xhPqoOWqF71PkfgM8,"ATTENTION","BALLADS 1","Joji",2018-10-26,128888,5,saaato11,2020-03-01T13:55:57Z,"viral pop","88rising Music/Warner Records",0.787,0.312,7,-12.401,1,0.0383,0.895,0.0224,0.115,0.425,119.899,4
7m9OqQk4RVRkw9JJdeAw96,"Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,80,saaato11,2020-03-01T13:56:38Z,"emo rap,miami hip hop,rap","Bad Vibes Forever / EMPIRE",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
3u5bTqHMM1P34ZkbwzdckV,"The Story Never Ends","I met you when I was 18. (the playlist)","Lauv",2018-05-31,229029,0,saaato11,2020-03-01T13:57:04Z,"pop","Lauv",0.614,0.126,9,-9.403,1,0.0376,0.911,0,0.148,0.351,119.945,4
7FLQuyyCaIrBRqNt5l83U4,"Reforget","I met you when I was 18. (the playlist)","Lauv",2018-05-31,231676,0,saaato11,2020-03-01T13:57:17Z,"pop","Lauv",0.44,0.469,5,-8.338,0,0.112,0.449,0,0.169,0.225,169.755,4
373q2bp4ZvyJ9kFZcpJSMs,"Breathe","I met you when I was 18. (the playlist)","Lauv",2018-05-31,237810,0,saaato11,2020-03-01T13:57:35Z,"pop","Lauv",0.32,0.393,4,-8.08,1,0.039,0.728,0,0.341,0.193,136.746,4
4fFfyouye6vrX9o9z4PVMu,"Never Not","I met you when I was 18. (the playlist)","Lauv",2018-05-31,208000,13,saaato11,2020-03-01T13:57:38Z,"pop","Lauv",0.47,0.221,5,-9.243,1,0.0371,0.693,0,0.104,0.264,133.714,4
6r2JV75tE0vNgNCv4HKsBC,"scared","brent","Jeremy Zucker",2019-05-03,207520,55,saaato11,2020-03-03T06:33:20Z,"alt z,electropop,pop","Republic Records",0.583,0.075,5,-15.843,1,0.0726,0.933,0.0000014,0.111,0.347,108.418,4
5GUYJTQap5F3RDQiCOJhrS,"Self Control","Blonde","Frank Ocean",2016-08-20,249667,76,saaato11,2020-03-05T13:33:03Z,"lgbtq+ hip hop,neo soul","Boys Don't Cry",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
1LdS1ULS9e18oW3M2C1MUj,"always, i'll care","always, i’ll care","Jeremy Zucker",2020-02-07,146146,24,saaato11,2020-03-05T14:14:07Z,"alt z,electropop,pop","Republic Records",0.784,0.278,6,-10.745,1,0.041,0.918,0.000196,0.112,0.741,105.034,4
6y6jbcPG4Yn3Du4moXaenr,"idfc","deadroses","blackbear",2015-02-14,245172,75,saaato11,2020-03-05T14:17:03Z,"alt z,pop","beartrap",0.63,0.5,1,-8.755,0,0.0611,0.611,0.0000404,0.114,0.315,144.871,4
3GVkPk8mqxz0itaAriG1L7,"Everybody Dies In Their Nightmares","17","XXXTENTACION",2017-08-25,95466,81,saaato11,2020-03-29T16:59:35Z,"emo rap,miami hip hop,rap","Bad Vibes Forever / EMPIRE",0.734,0.57,7,-7.066,0,0.133,0.847,0.0000214,0.112,0.689,129.953,4
