Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1SKPmfSYaPsETbRHaiA18G,"Somewhere Only We Know","Hopes And Fears","Keane",2004-05-10,237146,83,saaato11,2023-11-29T08:27:03Z,"neo mellow,piano rock,pop rock","Universal-Island Records Ltd.",0.448,0.665,9,-4.203,1,0.026,0.06,0.0000255,0.0828,0.304,172.004,4
2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,78,saaato11,2023-11-29T08:27:12Z,"modern alternative rock,modern rock,pov: indie,punk blues,rock","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
5V6JyohGPr2S0YuJqt7ydm,"Your Favorite Song","Your Favorite Song","Eighty Ninety",2017-09-29,184493,21,saaato11,2023-11-29T08:27:40Z,"brooklyn indie,hopebeat","EIGHTY NINETY",0.74,0.442,8,-9.579,1,0.0405,0.727,0.043,0.111,0.722,120.026,4
25wVTIUdnEIvvKn4TUSWZ0,"Come Over","Come Over","Nolie,Christofi",2019-10-10,128000,23,saaato11,2023-11-29T08:28:04Z,"","Nolie",0.485,0.731,10,-5.367,1,0.244,0.0569,0.00000273,0.105,0.682,83.804,4
6GQLX6Z28fYwDNCrhaKzYF,"Undercover Martyn","Tourist History","Two Door Cinema Club",2010-03-01,166573,59,saaato11,2023-11-29T08:28:13Z,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie","Kitsune",0.445,0.87,2,-4.898,1,0.116,0.000244,0.00000735,0.096,0.625,159.867,4
7rNun2AyLu4u4rQpRt0iS9,"Westcoast Collective","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,107280,60,saaato11,2023-11-29T08:28:27Z,"alternative pop rock,pov: indie","Columbia",0.682,0.571,1,-7.169,0,0.0271,0.542,0.00757,0.339,0.539,91.97,4
3frC55hy41BhQK65FiJK7q,"4x4","Sunburn","Dominic Fike",2023-07-07,167921,49,saaato11,2023-11-29T08:28:46Z,"alternative pop rock,pov: indie","Columbia",0.63,0.263,10,-9.959,1,0.0511,0.926,0.0000418,0.104,0.453,151.671,4
25Syi9wnfn6ZGAmiOBypPq,"Motion Sickness","Stranger in the Alps (Deluxe Edition)","Phoebe Bridgers",2018-10-02,229760,62,saaato11,2023-11-29T08:29:18Z,"indie pop,la indie,pov: indie","Dead Oceans",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
1D2SVYXZdtNfJCg8wZWvVz,"Live Forever","Definitely Maybe","Oasis",1994,276826,44,saaato11,2023-12-16T00:15:07Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.147,0.782,9,-5.393,0,0.0367,0.0000137,0.00000686,0.369,0.182,90.896,4
0kvKVeUmmNbhPShLhKpfCV,"Fluorescent Adolescent","Fluorescent Adolescent","Arctic Monkeys",2007-07-08,183893,0,saaato11,2024-01-22T01:26:48Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Records",0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
