Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
18AJRdgUoO9EYn11N7xzaT,"Habits (Stay High)","Queen Of The Clouds","Tove Lo",2014-09-24,209160,72,saaato11,2023-04-07T12:38:10Z,"dance pop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop","Universal Music AB",0.733,0.65,5,-3.539,1,0.0315,0.0703,0.0000659,0.0829,0.348,110.003,4
2nMeu6UenVvwUktBCpLMK9,"Young And Beautiful","Young And Beautiful","Lana Del Rey",2013-01-01,236053,83,saaato11,2023-04-07T12:38:19Z,"art pop,pop","Polydor Records",0.324,0.416,11,-8.92,0,0.0368,0.262,0.0000369,0.11,0.151,113.986,4
1Ist6PR2BZR3n2z2Y5R6S1,"Summertime Sadness","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,264773,72,saaato11,2023-04-07T12:38:21Z,"art pop,pop","Urban",0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,4
7rWgGyRK7RAqAAXy4bLft9,"Angeleyes","Voulez-Vous","ABBA",1979,260893,67,saaato11,2023-04-07T12:38:45Z,"europop,swedish pop","Polar Music International AB",0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,4
0Z5ok0QLLttAKsujOZYOXf,"Chasing Pavements","19","Adele",2008-01-27,210506,73,saaato11,2023-04-07T13:34:20Z,"british soul,pop,pop soul,uk pop","XL Recordings",0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,4
4sEN7hRcdfzDpk4wUG47qO,"Smoke Slow","Smoke Slow","Joshua Bassett",2022-08-12,163759,44,saaato11,2023-04-07T13:36:34Z,"singer-songwriter pop","Warner Records",0.335,0.504,0,-6.882,1,0.0636,0.434,0,0.206,0.478,185.544,3
1mEM6KkVMwpuAuqusCMD6m,"Crisis","Crisis / Secret / Set Me Free","Joshua Bassett",2021-12-03,189093,43,saaato11,2023-04-07T13:36:42Z,"singer-songwriter pop","Warner Records",0.593,0.514,2,-6.618,1,0.0467,0.184,0,0.183,0.461,133.68,4
0MnTkIEP4zZN1IUSu8MvIz,"Tek It - Sped Up","Tek It (I Watch the Moon)","Cafuné",2019,166859,75,saaato11,2023-04-07T13:37:14Z,"brooklyn indie,sped up","Elektra (NEK)",0.348,0.95,10,-5.049,0,0.124,0.0000993,0.00000968,0.0868,0.377,168.964,4
5U1OEoEW4xnalSAToamwZL,"Did you know that there's a tunnel under Ocean Blvd","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey",2022-12-07,285050,0,saaato11,2023-04-07T13:39:23Z,"art pop,pop","Polydor Records",0.45,0.323,0,-9.376,1,0.0304,0.753,0.0182,0.12,0.0511,119.858,4
1vvNmPOiUuyCbgWmtc6yfm,"My Way","My Way","Calvin Harris",2016-09-16,219159,71,saaato11,2023-04-07T13:39:57Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance","Columbia",0.818,0.913,4,-3.06,0,0.0426,0.093,0.0000369,0.161,0.536,119.986,4
1YMBg7rOjxzbya0fPOYfNX,"A Different Way (with Lauv)","A Different Way (with Lauv)","DJ Snake,Lauv",2017-09-21,198285,62,saaato11,2023-04-07T13:41:33Z,"dance pop,edm,electronic trap,pop,pop dance","Geffen",0.784,0.757,8,-3.912,1,0.0384,0.495,0.00000118,0.142,0.587,104.996,4
3pJMOvec8R8OKzEmB9PRJD,"Congrats","Congrats","LANY",2022-08-24,217470,35,saaato11,2023-04-07T13:41:55Z,"la pop,opm","For The World Records",0.551,0.491,0,-7.354,1,0.0255,0.0405,0,0.105,0.318,84.003,4
26BgCuL7lH7V2DmRwxDUes,"If You Don't Know","Don't Stop","5 Seconds of Summer",2014-01-01,207904,42,saaato11,2023-04-07T13:42:04Z,"boy band,pop","Capitol",0.552,0.876,0,-6.459,1,0.0506,0.000817,0.343,0.0824,0.563,106.037,4
