Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Go2u6SexdY2Qxo0oHMIzE,"Wid It","Wid It","Tion Wayne,ArrDee",2021-08-19,181058,46,saaato11,2022-06-26T09:08:28Z,"london rap,uk hip hop","Atlantic Records UK",0.768,0.72,11,-6.528,0,0.23,0.139,0,0.201,0.49,140.024,4
7z5G2LOdV8okZn4yWg3q5g,"Night Away (Dance) (feat. Tion Wayne)","Night Away (Dance) (feat. Tion Wayne)","A1 x J1,Tion Wayne",2022-03-03,175774,56,saaato11,2022-06-26T09:08:28Z,"chill drill,melodic drill,r&drill,london rap,uk hip hop","EMI",0.706,0.552,5,-9.479,0,0.0833,0.235,0,0.144,0.835,142.037,4
3RE9OHz4OUJFe5b4QZSU2J,"Come & Go","Pier Pressure","ArrDee",2022-03-18,179580,6,saaato11,2022-06-26T09:08:28Z,"uk hip hop","Universal-Island Records Ltd.",0.671,0.715,5,-5.304,1,0.206,0.0704,0,0.131,0.568,142.852,4
2qbkYhZy5gNl8HrK2XwddI,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Green With Envy","Tion Wayne,Russ Millions,ArrDee,E1 (3x3),ZT (3x3),Bugzy Malone,Buni,Fivio Foreign,Darkoo",2021-09-17,278085,58,saaato11,2022-06-26T09:08:37Z,"london rap,uk hip hop,melodic drill,uk drill,grime,manchester hip hop,brooklyn drill,new york drill,rap,trap,afrobeats,afroswing","Atlantic Records UK",0.883,0.674,11,-8.043,0,0.357,0.21,0,0.0678,0.73,141.02,4
2jjsIpj4OG68TpojNlZcE6,"Flowers (Say My Name)","Pier Pressure","ArrDee",2022-03-18,158601,55,saaato11,2022-06-26T09:08:41Z,"uk hip hop","Universal-Island Records Ltd.",0.723,0.713,2,-6.879,0,0.241,0.495,0,0.513,0.803,143.052,4
6ROFzwu3tbB6mxpW9Gt1YU,"Oliver Twist","Pier Pressure","ArrDee",2022-03-18,174857,53,saaato11,2022-06-26T09:08:44Z,"uk hip hop","Universal-Island Records Ltd.",0.725,0.807,11,-4.332,1,0.315,0.352,0,0.462,0.848,140.045,4
5HeJByGM7j6zu77LnD6VqV,"War","Pier Pressure","ArrDee,Aitch",2022-03-18,166871,46,saaato11,2022-06-26T09:08:48Z,"uk hip hop,manchester hip hop","Universal-Island Records Ltd.",0.754,0.794,2,-5.638,1,0.198,0.0563,0,0.114,0.853,142.099,4
1JAkXiY10vwLhSbcsiimrp,"Body (Remix) [feat. Capo Plaza & Rondodasosa]","Body (Remix) [feat. Capo Plaza & Rondodasosa]","Tion Wayne,Russ Millions,Capo Plaza,Rondodasosa",2021-05-04,205106,59,saaato11,2022-06-26T09:09:18Z,"london rap,uk hip hop,melodic drill,uk drill,italian hip hop,italian pop,trap italiana,drill italiana","Atlantic Records UK",0.883,0.716,7,-8.127,1,0.414,0.435,0,0.0801,0.761,141.066,4
3pudQCMnsFGwOElTZmuml8,"Baby","Baby","Aitch,Ashanti",2022-03-10,177733,53,saaato11,2022-06-26T09:10:09Z,"manchester hip hop,uk hip hop,dance pop,hip pop,r&b,urban contemporary","Capitol Records UK / EMI",0.769,0.868,4,-5.772,0,0.214,0.194,0,0.159,0.54,103.909,4
7bpdHC5nRr6hDdhzt0JkQU,"Very Good Very Nice","Very Good Very Nice","Bck,Galass Gueye",2022-03-25,147428,37,saaato11,2022-06-26T09:10:29Z,"","Raw Kingdom Music",0.665,0.908,10,-4.183,0,0.102,0.0247,0,0.187,0.639,140.055,4
6A3SB2C4U6JtCavQOXLYNN,"Je M'appelle","Je M'appelle","Benzz",2022-04-21,139574,66,saaato11,2022-06-26T09:10:42Z,"","Universal-Island Records Ltd.",0.807,0.75,11,-4.396,1,0.237,0.17,0,0.164,0.961,141.176,4
4vzJrkfHbCGaodPA5RY5BV,"Loading","Wild West","Central Cee",2021-03-12,173333,70,saaato11,2022-06-26T09:10:49Z,"melodic drill,r&drill","Central Cee",0.85,0.68,3,-6.18,0,0.338,0.732,0,0.0964,0.694,144.006,1
0P88fVbvRQGgRQN1GulQNy,"Glad U Came (feat. ZieZie)","Glad U Came (feat. ZieZie)","Liilz,ZieZie",2022-03-04,125142,50,saaato11,2022-06-26T09:11:11Z,"melodic drill,uk hip hop","Robots & Humans",0.75,0.531,2,-8.988,0,0.0513,0.374,0,0.107,0.663,139.997,4
7htmRcPbmrY9oenatxz9UL,"Latest Trends (feat. Aitch) - Remix","Latest Trends (feat. Aitch) [Remix]","A1 x J1,Aitch",2021-03-11,158000,48,saaato11,2022-06-26T09:11:20Z,"chill drill,melodic drill,r&drill,manchester hip hop,uk hip hop","EMI",0.654,0.491,10,-11.715,0,0.252,0.0809,0,0.369,0.807,142.037,4
4oxGI8yyghLuMV7ybRG3kg,"Obsessed With You","23","Central Cee",2022-02-25,108650,65,saaato11,2022-06-26T09:11:32Z,"melodic drill,r&drill","Central Cee",0.746,0.825,3,-4.457,1,0.0435,0.192,0,0.365,0.904,143.062,4
7pnQ23WgZca9jEfMts9qsR,"Latest Trends","Latest Trends","A1 x J1",2021-02-04,158117,59,saaato11,2022-06-26T09:11:40Z,"chill drill,melodic drill,r&drill","EMI",0.716,0.513,5,-10.159,0,0.223,0.085,0,0.12,0.8,141.894,4
