Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2mEGkDPXORCnuAn4DnAF0N,"4 U (feat. T-Pain)","4 U (feat. T-Pain)","ImDavisss,T-Pain",2024-09-14,156986,50,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-19T01:34:37Z,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary","Dodds",0.458,0.785,6,-5.476,1,0.274,0.513,0,0.31,0.742,80.365,4
3a3dQOO19moXPeTt2PomoT,"What You Heard","What You Heard","Sonder",2019-02-22,238242,76,31h4lhmjsdfwsu7csk46qjvti7yy,2023-08-25T18:21:50Z,"experimental r&b","Sonder Global",0.429,0.371,2,-9.017,0,0.0327,0.546,0.00000571,0.104,0.135,137.134,4
4VQO1UdVIecQqB49PlANHz,"It's Up (feat. Young Thug & 21 Savage)","100 GIGS","Drake,Young Thug,21 Savage",2024-08-10,278000,42,31h4lhmjsdfwsu7csk46qjvti7yy,2024-08-11T19:45:09Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop,atl trap,gangster rap,melodic rap,trap","OVO/Republic",0.782,0.719,1,-4.863,1,0.115,0.0311,0,0.157,0.304,139.941,4
1Pai6r7aZUkrP57WoGNVtp,"Psalm 62","The Foggie Pound 3","Foggieraw",2023-06-16,171346,52,31h4lhmjsdfwsu7csk46qjvti7yy,2023-06-25T00:50:34Z,"christian trap,indie hip hop","Foggieraw",0.318,0.895,6,-6.576,0,0.346,0.215,0.0215,0.354,0.438,168.293,4
2VYnlKxB8jpbCeLUjQsebc,"In A Good Way","I Know I'm Funny haha","Faye Webster",2021-06-25,224680,71,31h4lhmjsdfwsu7csk46qjvti7yy,2024-08-20T19:47:36Z,"atlanta indie,indie pop","Secretly Canadian",0.587,0.286,9,-8.839,1,0.0315,0.185,0.0288,0.214,0.302,71.123,4
5EJA7Rwkeuvm98CZg0XXNO,"What Would I Do?","What Would I Do?","Strawberry Guy",2019-07-22,234000,72,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-03T02:49:41Z,"bedroom pop","Melodic",0.539,0.461,11,-7.674,1,0.0279,0.457,0.903,0.072,0.436,128.635,4
60jQTAr2OkFcV4SWSRz3st,"Emotions","Emotions","Brenda Lee",1961-04-03,171226,63,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-03T22:07:32Z,"adult standards,easy listening,lounge,rockabilly","MCA Nashville",0.466,0.416,5,-8.249,1,0.026,0.742,0.00000504,0.249,0.516,98.78,3
1vJR1dFOutSLcmy1lOrUbV,"She Know What She Wanted","She Know What She Wanted","Godard",2024-01-05,158117,42,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-09T13:10:14Z,"","Godard",0.311,0.517,7,-9.128,0,0.0471,0.543,0,0.21,0.58,88.738,4
3zc7EnOlA5beOhw46BKPb1,"Falling Up (with Pharrell Williams & Nile Rodgers)","Tequila Ever After","Adekunle Gold,Pharrell Williams,Nile Rodgers",2023-07-28,199313,31,31h4lhmjsdfwsu7csk46qjvti7yy,2024-06-18T22:34:20Z,"afrobeats,afropop,alte,azontobeats,nigerian hip hop,nigerian pop,dance pop,pop,disco","Adekunle Gold PS/ Def Jam",0.788,0.715,0,-5.722,1,0.232,0.127,0.0000662,0.0606,0.763,118,4
5tqZJUHEuqdN12RZVq2l9p,"Hold On","Hive Mind","The Internet",2018-07-20,406466,64,31h4lhmjsdfwsu7csk46qjvti7yy,2024-05-11T05:37:39Z,"alternative r&b,lgbtq+ hip hop","Columbia",0.7,0.414,0,-10.864,1,0.0373,0.849,0.0606,0.107,0.444,60.479,4
3FImu2LpSuH6gDHBuFgIbS,"DO 4 LOVE","Spotify Singles","Snoh Aalegra",2021-10-29,189462,65,31h4lhmjsdfwsu7csk46qjvti7yy,2024-04-24T19:21:41Z,"alternative r&b,scandinavian r&b,swedish soul","Artium Recordings, LLC, under exclusive license to Roc Nation Records, LLC",0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,4
3EG9FJ0ToLfgnc1IG2Z1wz,"SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","CALL ME IF YOU GET LOST","Tyler, The Creator,Brent Faiyaz,Fana Hues",2021-06-25,588139,73,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:19:21Z,"hip hop,rap,r&b,alternative r&b,indie r&b","Columbia",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4
3jHdKaLCkuNEkWcLVmQPCX,"BEST INTEREST","BEST INTEREST","Tyler, The Creator",2020-01-25,127921,80,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:20:03Z,"hip hop,rap","Columbia",0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,3
12ILYlOEfWL8ei0BEgFJn0,"N Side","Apollo XXI","Steve Lacy",2019-05-24,224444,69,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:20:14Z,"afrofuturism","3qtr",0.838,0.535,11,-6.303,0,0.0432,0.0714,0.000302,0.208,0.894,119.946,4
5TxRUOsGeWeRl3xOML59Ai,"ARE WE STILL FRIENDS?","IGOR","Tyler, The Creator",2019-05-17,265480,81,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:21:19Z,"hip hop,rap","Columbia",0.216,0.497,10,-8.025,1,0.0371,0.128,0.00000239,0.111,0.313,187.308,3
17j94KZ4XMNM599wComGDG,"She Know What She Wanted - Jersey Club Remix Slowed","She Know What She Wanted (Jersey Club Remix Slowed)","Godard,Ziahfyah",2024-02-21,133722,64,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-09T13:10:22Z,"","broke",0.541,0.408,1,-9.87,1,0.0489,0.152,0.00734,0.104,0.0346,101.989,4
3s7MCdXyWmwjdcWh7GWXas,"Violent Crimes","ye","Kanye West",2018-06-01,215320,81,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:21:24Z,"chicago rap,hip hop,rap","Getting Out Our Dreams, Inc./Def Jam Recordings",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
3Db3A5WyedTzxRJFHJjVl1,"Can't Do That To Her","Sinseerly Yours","Thee Sinseers,Joey Quinones",2024-03-22,215466,40,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:22:19Z,"retro soul,souldies","Colemine Records",0.493,0.459,0,-9.797,1,0.0438,0.351,0,0.182,0.817,208.019,4
0cVCSfdI0gl2jJopZPKCaO,"Poetic Vulgarity","The Lost Petals","d4vd",2023-09-08,240841,54,31h4lhmjsdfwsu7csk46qjvti7yy,2024-09-24T07:22:36Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.446,0.165,7,-17.548,1,0.0426,0.962,0.000621,0.105,0.213,124.907,3
3QS9ZCtoSCJhmaJ7QNXSAS,"act ii: date @ 8 (feat. Drake) - remix","act ii: date @ 8 (feat. Drake) [remix]","4batz,Drake",2024-03-08,231338,71,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-08T06:16:53Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","4batz / OVO Sound",0.55,0.545,0,-9.304,1,0.163,0.318,0,0.0608,0.412,102.469,4
5zOWyxUVE0i9Ziwm6cE7aF,"20 Rosas","Una Lluvia De Rosas","Los Ángeles Azules",1999-01-01,194560,66,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-30T06:04:11Z,"gruperas inmortales,musica mexicana,nu-cumbia,ranchera,tropical","Universal Music Mexico",0.657,0.376,7,-8.117,1,0.0323,0.301,0.0000068,0.0563,0.792,86.372,4
1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,81,31h4lhmjsdfwsu7csk46qjvti7yy,2024-05-11T02:54:48Z,"glam rock,mellow gold,piano rock,rock","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
0fU6JtLNaJSjylc44UXaDL,"FINDER'S FEE","FINDER'S FEE","Lord Sko",2023-07-14,162420,22,31h4lhmjsdfwsu7csk46qjvti7yy,2024-04-12T08:18:01Z,"chill abstract hip hop","Equity Distribution",0.585,0.597,0,-8.288,0,0.204,0.855,0,0.106,0.648,78.301,4
3hRJmeg1d5bXdmUylhZbiO,"Have You Seen Her","20 Greatest Hits","The Chi-Lites",2001,309013,46,31h4lhmjsdfwsu7csk46qjvti7yy,2024-05-12T17:25:25Z,"chicago soul,classic soul,disco,funk,quiet storm,soul,southern soul","Brunswick Records",0.62,0.334,4,-15.598,1,0.0536,0.479,0.0000012,0.169,0.298,139.375,4
59acp1OhcvxwVBwQJBYKuX,"Loose","Freudian","Daniel Caesar",2017-08-25,185522,79,31h4lhmjsdfwsu7csk46qjvti7yy,2024-05-18T05:46:33Z,"canadian contemporary r&b","Golden Child Recordings",0.198,0.162,1,-15.815,1,0.0343,0.926,0.00896,0.135,0.0527,70.453,1
5utKawDP2PCqfzq3K6Or24,"Rosie","Springs Eternal","Harmless",2024-03-29,200411,17,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-29T18:00:06Z,"modern dream pop","Nettwerk Music Group",0.786,0.669,5,-5.575,1,0.0315,0.394,0.000291,0.0871,0.728,113.981,4
3VCXx37jNGNOMns6z2OnvJ,"Swing Lynn","I'm Sure","Harmless",2012-08-14,321438,69,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-06T08:43:10Z,"modern dream pop","Nettwerk Music Group",0.464,0.945,2,-1.815,1,0.0401,0.0506,0.756,0.112,0.453,165.177,4
7DPk4jyeVoFsUOdTPbSv6f,"It's Only You","Springs Eternal","Harmless",2024-03-29,201027,15,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-29T18:00:47Z,"modern dream pop","Nettwerk Music Group",0.58,0.654,11,-5.701,1,0.0393,0.135,0.000675,0.244,0.581,159.906,4
4MNfkZ8dtva3cjJ2biqnDS,"Ven Porque Te Necesito","Internacionales Y Románticos","Los Temerarios",1989-01-01,175013,74,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-30T06:06:02Z,"grupera,musica mexicana","Universal Music Mexico",0.596,0.573,2,-7.452,1,0.0285,0.192,0,0.0881,0.417,78.554,4
3slDIEuZJqMRq0P0UI8Ps9,"Te Juro Que Te Amo","Llorarás","Los Terricolas",1972-12-03,241626,69,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-30T06:04:00Z,"grupera,mexican rock-and-roll,ranchera","Discomoda",0.297,0.451,9,-7.175,1,0.0291,0.182,0.00000164,0.0596,0.293,173.442,4
0WKpYDw1WNmQbFiEURDgeI,"Going The Distance - From Rocky Soundtrack / Remastered 2006","Rocky (Original Motion Picture Score)","Bill Conti",1976-10-14,158506,61,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-18T20:40:44Z,"theme","Capitol Records",0.472,0.6,9,-9.368,0,0.0367,0.508,0.833,0.167,0.195,90.948,4
2n1MTLCis6qPSDKdr5XSDI,"Oh Qué Será?","Greatest Hits","Willie Colón",2008-02-26,304200,69,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-27T03:43:13Z,"salsa,tropical","Fania",0.445,0.791,9,-5.017,0,0.132,0.69,0.00000135,0.0718,0.459,87.058,4
6NUoNxL3tWnICLhFQ5obEW,"Supe Perder","Nuestras Canciones Romanticas Favoritas 20 Exitazos","Los Caminantes",1999,177853,67,31h4lhmjsdfwsu7csk46qjvti7yy,2024-02-14T00:38:45Z,"grupera,gruperas inmortales,musica mexicana,norteno,ranchera","Sony Music Latin",0.707,0.635,1,-6.486,1,0.0251,0.0259,0,0.0714,0.929,107.33,4
4E3XDKil4ElJt6sXuz5cc6,"BURN","VULTURES 1","Kanye West,Ty Dolla $ign",2024-02-09,111458,2,31h4lhmjsdfwsu7csk46qjvti7yy,2024-02-10T20:10:15Z,"chicago rap,hip hop,rap,pop rap,r&b,southern hip hop,trap,trap soul","YZY",0.594,0.885,4,-6.21,0,0.394,0.0158,0.00000629,0.856,0.735,105.017,4
30uO152on2tYWoE99VaEL5,"act iii: on god? (she like)","act iii: on god? (she like)","4batz",2024-03-01,170440,55,31h4lhmjsdfwsu7csk46qjvti7yy,2024-03-01T16:19:42Z,"","4Batz",0.625,0.258,7,-11.11,0,0.041,0.682,0.00000118,0.184,0.265,149.555,3
3h5TiWTqGxjSjFrbruPFH9,"Praise Jah In The Moonlight","Praise Jah In The Moonlight","YG Marley",2023-12-27,263040,75,31h4lhmjsdfwsu7csk46qjvti7yy,2024-02-21T00:46:36Z,"","YG Marley Music",0.66,0.727,6,-4.028,0,0.0441,0.128,0.0000131,0.524,0.418,125.023,4
58CUIzSxNpQUFvTCd8tntH,"La-La Means I Love You","La La Means I Love You","The Delfonics",1968,200906,57,31h4lhmjsdfwsu7csk46qjvti7yy,2023-12-04T23:57:57Z,"classic soul,funk,philly soul,quiet storm,soul,southern soul","Buddha Records",0.365,0.548,2,-7.727,1,0.0288,0.678,0,0.184,0.623,171.242,4
4trgU3vF5v4ylCqWQFkqPg,"Bouquet Boi","Surname","Ghivio,Pzu",2023-10-01,96000,26,31h4lhmjsdfwsu7csk46qjvti7yy,2024-01-23T05:21:25Z,"","Jane",0.416,0.841,9,-8.37,1,0.438,0.409,0,0.365,0.849,134.089,4
3spGO8jts4Q9V67iFB77ax,"Bout To Lose It","Bout To Lose It","Eljé",2023-06-30,213200,0,31h4lhmjsdfwsu7csk46qjvti7yy,2023-06-30T19:22:50Z,"rally house","Onatura",0.809,0.576,7,-9.649,1,0.124,0.0707,0.141,0.0958,0.272,128,4
34qvgmIagzNQdZTRL2poiv,"Two Worlds Apart","Sometimes I Might Be Introvert","Little Simz",2021-09-03,178066,52,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-27T18:18:47Z,"alternative r&b,escape room,trap queen","AGE 101",0.459,0.637,2,-7.18,1,0.127,0.608,0,0.145,0.408,140.593,4
165EgmoM47fAorPRNPijBu,"What U Want","What U Want","Harmless",2023-05-26,190447,19,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-26T04:21:37Z,"modern dream pop","Nettwerk Music Group",0.655,0.806,9,-5.637,1,0.0314,0.0242,0.0482,0.383,0.604,150.025,4
43rGLaawHXspfnWtBCoAQg,"Don't Forget About Me","Don't Forget About Me","d4vd",2023-05-18,149324,0,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-19T00:51:42Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.657,0.452,8,-10.239,1,0.0378,0.0767,0.00739,0.139,0.295,117.641,4
4Y9u7MI1BsQlwwZTnlCqtC,"2 seater - house edit","2 seater (house edit)","dj gummy bear",2023-05-05,148000,49,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-06T01:04:33Z,"","Lord’s Child, LLC",0.815,0.354,11,-7.276,1,0.0649,0.138,0.0000442,0.108,0.494,120.023,4
2MioxSroS0g1mi24LLfcnq,"Por un Segundo","The Last","Aventura",2009-06-09,255026,71,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-12T22:13:03Z,"bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino","Premium Latin Music",0.811,0.562,5,-10.183,0,0.0368,0.137,0,0.0623,0.965,129.039,4
27ze5t5tIDPlVits0KRbxT,"El Perdedor","K.O.B. Live","Aventura",2006-12-19,215213,77,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-12T22:13:23Z,"bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino","Premium Latin Music",0.779,0.589,5,-10.645,1,0.0345,0.332,0,0.12,0.894,128.044,4
2ctjDCCg1wHoQSjIJ8p6U4,"Candy","Love And Sex","Plan B",2014-08-25,207626,69,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-21T18:37:22Z,"reggaeton,trap latino,urbano latino","Pina Records",0.897,0.864,11,-3.735,0,0.147,0.252,0,0.517,0.542,95.981,4
1A3tuE6ti9qoZDwB3LB0t2,"I Think I Like When It Rains","Locals 2","WILLIS",2017-06-12,278293,59,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-21T18:37:27Z,"alabama indie","WILLIS",0.622,0.455,9,-7.116,1,0.0282,0.0401,0,0.0957,0.274,124.412,4
2HNnnkdFfCdeLPUhQJm8wU,"Leavin' On Your Mind","The Definitive Collection","Patsy Cline",2004-06-22,143946,22,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-21T18:37:55Z,"country,nashville sound","MCA Nashville",0.468,0.237,7,-12.956,1,0.0288,0.859,0.00000689,0.505,0.431,104.739,3
4sDt091Uz1G7Nnq9xTRtMn,"you up?","The Things I Can't Take With Me","Yaya Bey",2021-04-09,74303,36,31h4lhmjsdfwsu7csk46qjvti7yy,2023-05-21T18:38:50Z,"alternative r&b,experimental r&b","Big Dada",0.756,0.313,2,-10.015,1,0.1,0.431,0,0.173,0.51,139.974,4
6ajuD3Vrq9kJ5viPyggvZM,"Weak for Your Love","Thee Sacred Souls","Thee Sacred Souls",2022-08-26,261306,0,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-21T19:47:43Z,"latinx alternative,souldies","Penrose / Daptone Records",0.744,0.422,11,-9.2,0,0.033,0.146,0.00145,0.0779,0.562,127.726,4
7Gcro6Npw90iYyYa9lkJaS,"You Mean so Much to Me","In Action","The Mad Lads",1966,151893,36,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-21T00:16:58Z,"classic soul,memphis soul,rhythm and blues,southern soul","Rhino",0.681,0.338,10,-11.298,1,0.0337,0.667,0,0.111,0.739,75.366,4
5I76YtdZkFQReVgKppRd78,"Mi Corazoncito","K.O.B. Live","Aventura",2006-12-19,234240,69,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-21T00:59:42Z,"bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino","Premium Latin Music",0.814,0.639,1,-8.078,0,0.0463,0.0979,0,0.13,0.961,133.035,4
3VL3aSOA8O3b5iOVBkD9iD,"where's the confetti?","the color grey.","jev.",2022-12-20,200933,65,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-21T19:47:47Z,"chill abstract hip hop","LONER inc.",0.574,0.874,5,-4.922,0,0.174,0.0283,0,0.11,0.819,92.153,4
0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,77,31h4lhmjsdfwsu7csk46qjvti7yy,2023-04-21T19:48:08Z,"album rock,classic rock,dance rock,hard rock,new romantic,new wave,new wave pop,rock,soft rock","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
4OPcKAVpIquCyW94TEaD3A,"i don't wanna fall in love, it's too late now","It'll Be Fine","Chase Shakur",2022-06-24,55048,60,31h4lhmjsdfwsu7csk46qjvti7yy,2023-02-15T04:55:08Z,"","Forever N September",0.352,0.344,9,-7.467,0,0.0355,0.773,0,0.377,0.341,107.722,3
6BQrmjAgPfPTwILoFEK3Hd,"I Wish you Roses","I Wish you Roses","Kali Uchis",2023-01-19,225947,54,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-31T03:15:38Z,"colombian pop","Geffen Records",0.478,0.629,10,-8.402,0,0.0491,0.176,0.000423,0.0965,0.315,141.945,4
7eqoqGkKwgOaWNNHx90uEZ,"Nights","Blonde","Frank Ocean",2016-08-20,307151,78,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-06T08:16:31Z,"lgbtq+ hip hop,neo soul","Boys Don't Cry",0.457,0.551,5,-9.36,0,0.167,0.427,0.00000115,0.113,0.428,89.87,4
5GUYJTQap5F3RDQiCOJhrS,"Self Control","Blonde","Frank Ocean",2016-08-20,249667,76,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-06T08:16:46Z,"lgbtq+ hip hop,neo soul","Boys Don't Cry",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
6blB3TgR6VY9fo3wdfKo2h,"Can't Tell Me Nothing","Graduation","Kanye West",2007-09-11,271760,49,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-06T08:23:11Z,"chicago rap,hip hop,rap","Roc-A-Fella",0.592,0.616,5,-6.139,0,0.0534,0.0128,0,0.689,0.0892,80.041,4
6g2BiiVQqY5v1S4HIrM54F,"Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack","Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack]","Rodrigo Amarante",2018-11-16,151565,64,31h4lhmjsdfwsu7csk46qjvti7yy,2023-01-06T08:23:59Z,"nova mpb","Gaumont Télévision",0.765,0.497,1,-7.806,0,0.0402,0.492,0.366,0.143,0.457,112.195,4
