Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3r0Z9mtGyrNXjWkgC8J40C,"love song","a weird! af valentine's day","YUNGBLUD",2021-02-12,240206,14,saaato11,2024-01-04T15:29:44Z,"british indie rock,modern rock,pov: indie,rock","UME - Global Clearing House",0.292,0.522,9,-5.526,1,0.0364,0.206,0,0.116,0.388,177.323,3
3rPVtXLBfJz59U1LgrGHhb,"Yours","Superache","Conan Gray",2022-06-24,204967,60,saaato11,2024-01-04T15:33:03Z,"bedroom pop,pop,pov: indie","Republic Records",0.523,0.302,2,-8.868,1,0.035,0.848,0,0.127,0.172,130.47,4
5lkpeJwmQKgY3bX2zChjxX,"Someone Like You","21","Adele",2011-01-19,285240,41,saaato11,2024-01-04T16:24:48Z,"british soul,pop,pop soul,uk pop","XL Recordings",0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4
3GYlZ7tbxLOxe6ewMNVTkw,"TV","Guitar Songs","Billie Eilish",2022-07-21,281380,82,saaato11,2024-01-04T16:25:08Z,"art pop,pop","Darkroom/Interscope Records",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,4
4ak9GGe6afmi2HbxEjvhIC,"Male Fantasy","Happier Than Ever","Billie Eilish",2021-07-30,194886,70,saaato11,2024-01-04T16:25:21Z,"art pop,pop","Darkroom/Interscope Records",0.687,0.288,2,-10.415,1,0.045,0.863,0,0.0986,0.308,110.927,4
13TMuxC8tdSfthXpHG9D26,"1 SIDED LOVE","1 SIDED LOVE","blackbear",2019-02-14,170666,0,saaato11,2024-01-04T16:25:34Z,"alt z,pop","Beartrap/ Alamo/ Interscope Records",0.584,0.42,8,-7.827,1,0.0322,0.236,0,0.119,0.283,90.051,4
3rAitaumOwUg8sgqn0SeLK,"The Idea","Detonator / The Idea","Briston Maroney",2023-07-21,208560,14,saaato11,2024-01-04T16:25:42Z,"nashville indie,pov: indie","Canvasback",0.458,0.322,0,-13.268,1,0.0399,0.426,0,0.568,0.287,135.764,3
21xzFXSL2XkZ2mIzDDAqTK,"God Must Hate Me","God Must Hate Me","Catie Turner",2021-11-23,149802,55,saaato11,2024-01-04T16:25:45Z,"alt z,gen z singer-songwriter","Atlantic Records",0.459,0.304,2,-10.107,1,0.136,0.967,0.0000195,0.0951,0.072,76.954,3
3b5MPNYlX8ztJowxAwzTai,"Winner","Winner","Conan Gray",2023-08-25,217209,53,saaato11,2024-01-04T16:26:12Z,"bedroom pop,pop,pov: indie","Republic Records",0.418,0.49,0,-4.956,1,0.0295,0.164,0,0.34,0.177,139.64,4
3Z0qLOS0cqWKPHXkbTXmNF,"Gilded Lily","Offering","Cults",2022-10-26,212736,75,saaato11,2024-01-04T16:26:32Z,"experimental pop,indie surf,pov: indie","Sinderlyn/Columbia",0.4,0.571,11,-6.534,0,0.0288,0.468,0.0000305,0.519,0.146,61.859,4
5BJSIhaHPpnTkAahlmOQ1h,"If You Met Me First","Eric Ethridge","Eric Ethridge",2018-07-06,193832,3,saaato11,2024-01-04T16:27:36Z,"canadian contemporary country","Ole Red Dot",0.31,0.552,9,-5.967,1,0.0303,0.344,0,0.0689,0.244,145.908,4
1v6svH1Fyx9C1nIt1mA2DT,"All I Want","High School Musical: The Musical: The Series (Original Soundtrack)","Olivia Rodrigo,Disney",2020-01-10,177322,69,saaato11,2024-01-04T16:30:06Z,"pop,movie tunes","Walt Disney Records",0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3
5wANPM4fQCJwkGd4rN57mH,"drivers license","SOUR","Olivia Rodrigo",2021-05-21,242013,82,saaato11,2024-01-04T16:36:05Z,"pop","Olivia Rodrigo PS",0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875,4
1mEM6KkVMwpuAuqusCMD6m,"Crisis","Crisis / Secret / Set Me Free","Joshua Bassett",2021-12-03,189093,43,saaato11,2024-01-04T16:36:23Z,"singer-songwriter pop","Warner Records",0.593,0.514,2,-6.618,1,0.0467,0.184,0,0.183,0.461,133.68,4
5CZ40GBx1sQ9agT82CLQCT,"traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,83,saaato11,2024-01-04T16:36:36Z,"pop","Olivia Rodrigo PS",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
7z3NjKBqjv3d1ykXCFQxaT,"Fat Funny Friend","Fat Funny Friend","Maddie Zahm",2022-02-04,199764,63,saaato11,2024-01-04T16:36:45Z,"alt z","Maddie Zahm",0.498,0.452,0,-7.887,1,0.124,0.625,0,0.0836,0.265,107.728,4
4RVwu0g32PAqgUiJoXsdF8,"Happier Than Ever","Happier Than Ever","Billie Eilish",2021-07-30,298899,81,saaato11,2024-01-04T16:37:55Z,"art pop,pop","Darkroom/Interscope Records",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
27RDHPogNiOiPshJZ2cEVT,"Hate Me If It Helps","Aftershock","Alexander 23",2022-07-15,196452,39,saaato11,2024-01-04T16:42:14Z,"alt z,singer-songwriter pop","Alexander 23 / Interscope PS",0.529,0.434,2,-8.844,1,0.223,0.302,0,0.111,0.603,161.963,4
