Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
66wkCYWlXzSTQAfnsPBptt,"My Favorite Part","The Divine Feminine","Mac Miller,Ariana Grande",2016-09-16,216000,68,saaato11,2021-12-01T12:57:18Z,"hip hop,pittsburgh rap,rap,pop","Warner Records",0.861,0.33,6,-7.194,1,0.0526,0.627,0.00000193,0.14,0.718,95.016,4
0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,75,saaato11,2021-12-01T12:57:23Z,"r&b,rap","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
23c9gmiiv7RCu7twft0Mym,"Who Hurt You?","Who Hurt You?","Daniel Caesar",2018-10-16,231964,69,saaato11,2021-12-01T12:58:10Z,"canadian contemporary r&b","Golden Child Recordings",0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,4
4F1a462vK4YzOd75GR3CX6,"Show Me","Drive Slow","Mac Ayres,Chris Anderson",2017-08-11,200453,43,saaato11,2021-12-01T12:58:35Z,"chill r&b","Dixon Court Records",0.607,0.475,6,-9.612,1,0.0463,0.73,0.0231,0.16,0.448,171.713,4
7zFXmv6vqI4qOt4yGf3jYZ,"Get You (feat. Kali Uchis)","Freudian","Daniel Caesar,Kali Uchis",2017-08-25,278179,83,saaato11,2021-12-01T12:59:16Z,"canadian contemporary r&b,colombian pop","Golden Child Recordings",0.658,0.294,4,-8.533,0,0.0321,0.422,0.000052,0.0749,0.358,74.038,4
5rlN7kWG5R7de0emQYkXaS,"Get Away","Juicebox","Mac Ayres",2019-08-16,308825,42,saaato11,2021-12-01T12:59:48Z,"chill r&b","Dixon Court Records",0.676,0.672,6,-4.557,1,0.07,0.287,0.0000367,0.103,0.322,87.687,4
3XstzgzP0rp3bzElEnRVHv,"Slow Down","Drive Slow","Mac Ayres",2017-08-11,234595,55,saaato11,2021-12-01T13:00:34Z,"chill r&b","Dixon Court Records",0.727,0.336,5,-12.817,1,0.116,0.889,0.000251,0.117,0.176,119.355,4
4pV3f1Nn5XtyA9x60rFan7,"May I Ask","May I Ask","Luke Chiang,Alexis Kim",2019-04-01,230547,0,saaato11,2021-12-01T13:00:51Z,"bedroom r&b,chill r&b","Luke Chiang",0.718,0.357,2,-8.843,1,0.0437,0.407,0,0.0897,0.347,146.006,4
3GSEZewTr5OeI9LnWovr5x,"Come Over","Come Over","Nolie,Christofi",2019-10-10,128000,0,saaato11,2021-12-01T13:01:05Z,"","Nolie",0.403,0.73,10,-5.367,1,0.282,0.0561,0.00000307,0.106,0.684,83.108,4
6PDNKjDGsa5U1OVBr1AMm8,"Roosevelt","Almondize","Human Lee,Drex Carter",2020-05-29,279529,5,saaato11,2021-12-01T13:01:26Z,"sad lo-fi,sad rap","Human Lee",0.735,0.525,9,-8.446,1,0.33,0.31,0.0000203,0.224,0.488,170.017,4
