Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0cHLxojmTlaQwG9hxJW3l9,"CWJBHN","TWENTYTWENTY","Jake Scott,Josie Dunne",2020-11-20,193113,0,saaato11,2024-01-04T13:25:32Z,"indiecoustica,singer-songwriter pop,alt z,pop soul","Jake Scott",0.745,0.437,10,-10.64,1,0.0533,0.27,0,0.336,0.286,109.967,4
3pJMOvec8R8OKzEmB9PRJD,"Congrats","Congrats","LANY",2022-08-24,217470,35,saaato11,2024-01-04T16:14:54Z,"la pop,opm","For The World Records",0.551,0.491,0,-7.354,1,0.0255,0.0405,0,0.105,0.318,84.003,4
3uwqqyI7wOt14iz5aWglZb,"never mind, let's break up","gg bb xx","LANY",2021-09-03,162316,47,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.658,0.74,7,-6.631,1,0.0331,0.0992,0,0.186,0.285,101.026,4
0rYhybLBmOyTYx6buMVIBq,"live it down","gg bb xx","LANY",2021-09-03,198507,48,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.344,0.388,0,-11.456,1,0.0356,0.597,0,0.0741,0.429,131.156,5
1NAyq9TrQIpLHWStUX4xAQ,"ex i never had","gg bb xx","LANY",2021-09-03,201442,60,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.65,0.388,10,-7.065,1,0.0332,0.306,0,0.114,0.628,96.001,4
3px4MxvYbuQCqQjXPAzhOI,"somewhere","gg bb xx","LANY",2021-09-03,216316,55,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.753,0.34,1,-7.717,1,0.0441,0.0426,0,0.0909,0.325,136.969,4
40jpNp3gXTVn2HbLlTdFFR,"care less","gg bb xx","LANY",2021-09-03,198595,54,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.587,0.712,9,-6.628,0,0.0308,0.0483,0.00000302,0.0941,0.496,121.987,4
30Gt84tyiub0ItH0wzCMkO,"’til i don't","gg bb xx","LANY",2021-09-03,179037,45,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.641,0.474,0,-8.728,1,0.0296,0.15,0,0.0753,0.369,102.083,4
3c7peg169veVaJRzlbCaKw,"good guys","good guys","LANY",2020-05-13,224994,0,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.455,0.677,0,-7.719,1,0.0751,0.593,0,0.0899,0.248,169.919,4
6BZ6pl5bczDc3cMF1kBaOy,"pink skies","kinda","LANY",2016-06-24,185922,66,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.719,0.631,5,-6.616,1,0.0433,0.266,0.00000769,0.134,0.466,103.968,4
74ODGXs4byLTRdnKGM4s6E,"Super Far","LANY","LANY",2017-06-30,203650,0,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Universal Music Group",0.754,0.458,8,-6.852,1,0.144,0.105,0,0.249,0.495,96.011,4
0dPBlz8N0veeceejtuvpPz,"ILYSB","LANY","LANY",2017-06-30,211149,0,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Universal Music Group",0.629,0.623,5,-6.954,1,0.0734,0.492,0.0034,0.348,0.412,99.989,4
3zgs1f6Tj0mn29qTXJuhSY,"13","LANY","LANY",2017-06-30,234818,0,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Universal Music Group",0.785,0.543,8,-8.134,0,0.0683,0.721,0.0000178,0.0477,0.722,133.961,4
4IunmLdpyvJA3sx0I5J9w3,"get away - live from The Forum","live from The Forum","LANY",2022-11-13,298083,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.41,0.746,9,-4.849,1,0.0538,0.0602,0.00000523,0.806,0.1,126.036,4
6nvgV7fAflf3aT1dXyb0Wg,"Thick And Thin - live from The Forum","live from The Forum","LANY",2022-11-13,242500,23,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.624,0.85,1,-3.749,1,0.0353,0.00879,0,0.934,0.154,100.016,4
5OvLkDdck8QyUXegQymArZ,"Super Far - live from The Forum","live from The Forum","LANY",2022-11-13,205280,25,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.647,0.841,8,-4.59,1,0.0882,0.16,0,0.856,0.481,95.977,4
2ZOiUSolzwr0HQYSe2uWL2,"cowboy in LA - live from The Forum","live from The Forum","LANY",2022-11-13,237908,24,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.359,0.757,8,-4.467,1,0.0373,0.106,0,0.851,0.493,177.813,4
2oEkr0sS7lfigTMdHQo38G,"never mind, let’s break up - live from The Forum","live from The Forum","LANY",2022-11-13,166832,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.615,0.845,0,-4.448,1,0.0545,0.0924,0,0.679,0.15,101.027,4
3ZuEAkNN2vbzd8F8NHtIrc,"I Don’t Wanna Love You Anymore - live from The Forum","live from The Forum","LANY",2022-11-13,254146,22,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.56,0.829,0,-4.604,1,0.0365,0.328,0,0.916,0.331,104.981,4
6eZeNVKxYaw3zRxYG9Nef9,"heart won’t let me - live from The Forum","live from The Forum","LANY",2022-11-13,215925,20,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.513,0.749,0,-4.387,1,0.0405,0.0653,0,0.907,0.217,136.094,4
1iojOriOMhLAm9RopWjqqL,"roll over, baby - live from The Forum","live from The Forum","LANY",2022-11-13,208933,20,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.566,0.818,0,-4.701,1,0.0445,0.237,0,0.936,0.199,97.007,4
7zAnn1bITU1f5fYe6ojCUN,"Hurts - live from The Forum","live from The Forum","LANY",2022-11-13,222384,20,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.538,0.901,5,-3.605,1,0.0925,0.00727,0.0000106,0.924,0.27,95.041,4
0yWBNuT9pDckijSp4IamWM,"13 - live from The Forum","live from The Forum","LANY",2022-11-13,297791,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.599,0.788,8,-5.429,0,0.0539,0.47,0,0.828,0.267,133.878,4
5n379YtQLa7W6Kvb1Lxrhh,"ex i never had - live from The Forum","live from The Forum","LANY",2022-11-13,216735,22,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.553,0.75,10,-4.014,1,0.031,0.127,0,0.749,0.312,95.956,4
3i1M3B6p9DAvnkfli0eBjh,"up to me - live from The Forum","live from The Forum","LANY",2022-11-13,246595,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.662,0.949,1,-3.484,1,0.0585,0.194,0,0.959,0.367,120.965,4
4yTLK9lDVGmGSkJPAf7l6y,"care less - live from The Forum","live from The Forum","LANY",2022-11-13,219301,20,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.52,0.871,9,-3.415,0,0.055,0.0118,0.00000335,0.951,0.438,121.986,4
5bvPBRClOYx2dn5lbLe08V,"Hericane / i still talk to jesus - live from The Forum","live from The Forum","LANY",2022-11-13,459853,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.501,0.465,0,-5.717,1,0.0291,0.299,0,0.496,0.089,135.98,3
1oHbtO4JmkMgmNjqqSMzsd,"If You See Her - live from The Forum","live from The Forum","LANY",2022-11-13,259095,19,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.308,0.682,6,-4.721,1,0.0457,0.0396,0.000045,0.289,0.0371,118.257,4
4z1IAiSVm4iBjFPXveaoYE,"dancing in the kitchen - live from The Forum","live from The Forum","LANY",2022-11-13,214156,20,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.528,0.84,11,-4.085,1,0.0383,0.049,0,0.736,0.211,94.021,4
7f1834Ye5BwWuEWNr3btKD,"Thru These Tears - live from The Forum","live from The Forum","LANY",2022-11-13,289675,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.585,0.606,11,-5.018,1,0.0341,0.162,0,0.349,0.0667,120.041,4
5uK4ptxCtMWp6xkWhqYg29,"Malibu Nights - live from The Forum","live from The Forum","LANY",2022-11-13,331632,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.359,0.577,11,-5.481,1,0.035,0.166,0,0.37,0.112,147.869,4
5OS4MreH8uF98w8AYiLBKv,"you! - live from The Forum","live from The Forum","LANY",2022-11-13,314000,22,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.263,0.769,5,-4.59,1,0.0603,0.00533,0.0000504,0.426,0.122,188.077,4
71zQHq1xmCi83NAN66JQj4,"ILYSB - live from The Forum","live from The Forum","LANY",2022-11-13,285031,21,saaato11,2024-01-04T16:14:54Z,"la pop,opm","LANY",0.592,0.765,5,-5.09,1,0.0444,0.149,0,0.919,0.237,100.006,4
3D110t9ctcoOoylXsc3iR8,"Thick And Thin","Malibu Nights","LANY",2018-10-05,212002,67,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.697,0.551,5,-6.179,0,0.0282,0.059,0,0.0762,0.339,99.996,4
0Eqg0CQ7bK3RQIMPw1A7pl,"Malibu Nights","Malibu Nights","LANY",2018-10-05,286928,72,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.559,0.422,11,-11.89,1,0.195,0.701,0.00000199,0.0853,0.191,74.002,4
2IY537C2ecmUMJ46bYQggp,"heart won't let me","mama's boy","LANY",2020-10-02,199506,53,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.607,0.655,0,-8.055,1,0.0341,0.261,0,0.114,0.255,136.028,4
3bsRMvQja4huvPWo1S5ONc,"if this is the last time","mama's boy","LANY",2020-10-02,203853,60,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.566,0.586,11,-7.726,1,0.0372,0.0171,0,0.202,0.428,147.942,4
1FvNOyyBpkZaAZBASx3BH8,"i still talk to jesus","mama's boy","LANY",2020-10-02,256480,44,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.502,0.331,7,-9.891,1,0.0666,0.524,0.0000385,0.103,0.241,166.863,3
3VI7vR4nbDDhoF63XHSbmE,"paper","mama's boy","LANY",2020-10-02,244466,43,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.49,0.565,7,-9.226,1,0.0583,0.492,0.0000052,0.283,0.452,153.841,4
1ktLoFDVfk1f7kJvh3lnOJ,"sharing you","mama's boy","LANY",2020-10-02,209426,44,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.542,0.654,9,-8.73,1,0.0836,0.0383,0,0.113,0.331,150.012,4
0Bv25hxffynRiTkRvlPxw0,"when you're drunk","mama's boy","LANY",2020-10-02,212026,45,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.663,0.839,8,-7.467,1,0.0359,0.0157,0.00000337,0.176,0.414,129.985,4
6guqC53ktWrwIuXOMApLbV,"sad","mama's boy","LANY",2020-10-02,199906,47,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.541,0.551,9,-7.774,1,0.0395,0.0775,0,0.13,0.0404,93.907,4
68BpjQ7Vc8uUHvUKMcLLHe,"(what i wish just one person would say to me)","mama's boy","LANY",2020-10-02,214480,49,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.244,0.662,8,-7.161,1,0.0487,0.0598,0.0000109,0.0588,0.254,172.011,4
7GLBqDKAJLCLIsj2GEDkSw,"nobody else","mama's boy","LANY",2020-10-02,197480,55,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.569,0.291,0,-14.509,1,0.043,0.744,0,0.137,0.313,151.659,4
5j2p1nYqtR2YNVeDgkVHjc,"bad news","mama's boy (deluxe)","LANY",2021-02-05,210946,34,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.813,0.455,5,-9.492,0,0.0448,0.279,0.00000357,0.11,0.398,122.004,4
7HmYcLhoo4MVRSUVZSRIpg,"never mind, let's break up","never mind, let's break up","LANY",2021-08-19,162316,35,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.658,0.74,7,-6.631,1,0.0331,0.0992,0,0.186,0.285,101.026,4
4lSMKPkbZOAYPw3zxJ2eAF,"you!","you!","LANY",2020-08-14,274013,0,saaato11,2024-01-04T16:14:54Z,"la pop,opm","Polydor Records",0.5,0.635,10,-7.53,1,0.0253,0.00648,0.00508,0.126,0.276,94,4
1v6svH1Fyx9C1nIt1mA2DT,"All I Want","High School Musical: The Musical: The Series (Original Soundtrack)","Olivia Rodrigo,Disney",2020-01-10,177322,69,saaato11,2024-01-04T16:15:06Z,"pop,movie tunes","Walt Disney Records",0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3
17cia5k4BpGVlyEfqrFH50,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By)","Olivia Rodrigo",2023-11-17,205483,72,saaato11,2024-01-04T16:15:06Z,"pop","Lions Gate Entertainment Inc. under exclusive license to Geffen Records",0.409,0.347,11,-8.159,0,0.0359,0.834,0.00000455,0.121,0.199,141.332,4
5CZ40GBx1sQ9agT82CLQCT,"traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,83,saaato11,2024-01-04T16:15:06Z,"pop","Olivia Rodrigo PS",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
5wANPM4fQCJwkGd4rN57mH,"drivers license","SOUR","Olivia Rodrigo",2021-05-21,242013,82,saaato11,2024-01-04T16:15:16Z,"pop","Olivia Rodrigo PS",0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875,4
6oWDkRuzwIak4Z2b0M2qAv,"Wildest Dreams","1989","Taylor Swift",2014-10-27,220440,29,saaato11,2024-01-04T16:15:31Z,"pop","Big Machine Records, LLC",0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,4
3zwMVvkBe2qIKDObWgXw4N,"right where you left me - bonus track","evermore (deluxe version)","Taylor Swift",2021-01-07,245026,74,saaato11,2024-01-04T16:15:31Z,"pop","TS/Republic",0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,4
6ZeKYXZ6esPjpuHwCtUiZh,"Fifteen","Fearless","Taylor Swift",2008-11-11,294880,16,saaato11,2024-01-04T16:15:31Z,"pop","Big Machine Records, LLC",0.56,0.636,7,-4.453,1,0.0262,0.0602,0,0.148,0.209,95.431,4
6SgBWLgjMQdoVQytBgATGx,"Love Story","Fearless","Taylor Swift",2008-11-11,234213,35,saaato11,2024-01-04T16:15:31Z,"pop","Big Machine Records, LLC",0.622,0.637,2,-5.401,1,0.0289,0.021,0.000144,0.189,0.291,119.054,4
0w09meSaEdiMqYqb5y6w62,"Tell Me Why","Fearless","Taylor Swift",2008-11-11,200906,10,saaato11,2024-01-04T16:15:31Z,"pop","Big Machine Records, LLC",0.606,0.85,7,-3.057,1,0.038,0.0689,0.00000296,0.363,0.512,99.978,4
