Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0qvzXomUDJVaUboy2wMfiS,"This Town","Flicker (Deluxe)","Niall Horan",2017-10-20,232852,77,saaato11,2020-11-17T17:57:28Z,"pop","Capitol Records (US1A)",0.677,0.401,9,-8.467,1,0.0308,0.712,0,0.116,0.195,111.825,4
3OqUKwtBIuzdLrCY2hjEW4,"3000 Miles","Nothing To Lose (Deluxe Version)","Emblem3",2013-07-26,227320,36,saaato11,2020-11-17T17:58:14Z,"post-teen pop,talent show,teen pop","Syco Music/Columbia Records",0.569,0.579,0,-5.008,1,0.03,0.139,0,0.103,0.24,146.055,4
4fFfyouye6vrX9o9z4PVMu,"Never Not","I met you when I was 18. (the playlist)","Lauv",2018-05-31,208000,13,saaato11,2020-11-17T17:58:44Z,"pop","Lauv",0.47,0.221,5,-9.243,1,0.0371,0.693,0,0.104,0.264,133.714,4
6fFTPGGItuEpjwXRUIr4rk,"comethru","comethru","Jeremy Zucker",2018-09-07,181520,0,saaato11,2020-11-17T17:59:43Z,"alt z,electropop,pop","Republic Records",0.798,0.175,0,-12.603,1,0.0594,0.603,0,0.625,0.633,93.994,4
6qWfB1QABjGnaO6mrn9iBF,"Atlas: Two","Atlas: Two","Sleeping At Last",2017-11-17,260428,33,saaato11,2020-11-17T17:59:48Z,"acoustic pop,ambient worship,chamber pop","Asteroid B-612",0.384,0.325,4,-9.485,1,0.0398,0.902,0.00000674,0.361,0.274,132.801,4
50IWG1diNk0uUUxmJi44ZD,"Words","Whispers II","Passenger",2015-04-20,252232,34,saaato11,2020-11-17T17:59:53Z,"folk-pop,neo mellow","Black Crow Records",0.431,0.172,2,-16.345,1,0.0411,0.869,0.000855,0.11,0.334,122.818,3
3D110t9ctcoOoylXsc3iR8,"Thick And Thin","Malibu Nights","LANY",2018-10-05,212002,67,saaato11,2020-11-17T18:00:35Z,"la pop,opm","Polydor Records",0.697,0.551,5,-6.179,0,0.0282,0.059,0,0.0762,0.339,99.996,4
6zYuVnHTZQbFSQ9BAhhf9S,"i hate u, i love u (feat. olivia o'brien)","we","gnash,Olivia O'Brien",2019-01-11,251039,43,saaato11,2020-11-17T18:00:42Z,"alt z,pop",":): / Atlantic",0.615,0.288,6,-13.397,0,0.203,0.691,0,0.096,0.176,92.144,4
5D5kzmVejlQFTqXwUmb0Ns,"COOL","Blue Neighbourhood (Deluxe)","Troye Sivan",2015-12-09,202101,37,saaato11,2020-11-17T18:01:02Z,"australian pop,pop,viral pop","EMI Recorded Music Australia Pty Ltd",0.727,0.833,10,-6.037,1,0.0849,0.133,0.00000489,0.384,0.61,108.027,4
27YP211Rr8RezhiFVDLFI8,"Waiting For Tomorrow (feat. Mike Shinoda)","BYLAW EP","Martin Garrix,Pierce Fulton,Mike Shinoda",2018-10-19,247504,39,saaato11,2020-11-17T18:01:31Z,"dutch edm,edm,pop,pop dance,progressive house,complextro,pop edm,progressive electro house,alternative hip hop","Epic Amsterdam",0.507,0.887,5,-4.084,0,0.141,0.00731,0,0.562,0.336,128.015,4
7qH9Z4dJEN0l9bidizW7fq,"Anchor","Bathing Beach","Novo Amor",2017-05-26,257533,77,saaato11,2020-11-17T18:02:14Z,"ambient folk,indie folk","AllPoints",0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4
3RFRYJaaWyxPadUkUokn0H,"Skip This Christmas","Skip This Christmas","Bruce Wiegner",2019-12-17,215589,0,saaato11,2020-11-17T18:03:08Z,"","Bruce Wiegner",0.527,0.202,7,-12.015,1,0.0456,0.72,0,0.0877,0.307,140.943,4
23c9gmiiv7RCu7twft0Mym,"Who Hurt You?","Who Hurt You?","Daniel Caesar",2018-10-16,231964,69,saaato11,2020-11-17T18:03:30Z,"canadian contemporary r&b","Golden Child Recordings",0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,4
2MOsa4NltIx6KhJPaDhWAl,"Delilah","Moon By Island Gardens","Aeris Roves",2018-11-02,187253,40,saaato11,2020-11-17T18:03:44Z,"uk contemporary r&b","RCA Records Label",0.814,0.435,7,-8.422,1,0.0684,0.814,0.00000162,0.105,0.416,98.049,4
