Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1RlxT0ESKa9V2fdleRG3UD,"Brazil","What Do You Think About The Car?","Declan McKenna",2017-07-21,252306,30,saaato11,2024-01-04T16:59:29Z,"pov: indie","Sony Music Labels Inc.",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
02jlSeVPTXzC9wXWCp25Vc,"Listen to Your Friends","What Do You Think About The Car?","Declan McKenna",2017-07-21,263320,2,saaato11,2024-01-04T16:59:29Z,"pov: indie","Sony Music Labels Inc.",0.323,0.839,9,-7.08,1,0.0841,0.293,0,0.118,0.68,100.235,4
1FreAz1lmnDi5aKLB6GdFM,"Where Is The Love?","Elephunk","Black Eyed Peas",2003-01-01,272533,18,saaato11,2024-01-04T16:59:38Z,"dance pop,pop,pop rap","A&M",0.835,0.687,5,-3.18,1,0.184,0.101,0,0.132,0.828,94.059,4
5SZ3LjDirzbQe3CqIgxRkA,"Here We Go Again","Chip Chrome & The Mono-Tones (Deluxe)","The Neighbourhood",2020-12-11,257720,52,saaato11,2024-01-04T17:00:30Z,"modern alternative rock,modern rock,pop","Columbia",0.51,0.527,8,-9.148,1,0.0292,0.6,0.317,0.545,0.418,143.913,4
68rVGSTnCiFOET9k5Vd8Se,"parents","the underrated youth","YUNGBLUD",2019-10-18,171880,59,saaato11,2024-01-04T17:01:04Z,"british indie rock,modern rock,pov: indie,rock","Locomotion Recordings/Geffen Records",0.618,0.823,7,-4.76,1,0.0447,0.0132,0,0.288,0.58,82.004,4
51wgw96YSNMKN4kY9FsooP,"a dying world...","is nothing sacred?","Jeremy Zucker",2023-06-09,235453,34,saaato11,2024-01-04T17:01:36Z,"alt z,electropop,pop","Republic Records",0.608,0.34,4,-10.818,1,0.0312,0.806,0.000759,0.348,0.317,139.965,4
3gJDgenxLephg09x86IxPs,"TEMPTATION","ALL-AMERIKKKAN BADA$$","Joey Bada$$",2017-04-07,244197,65,saaato11,2024-01-04T17:04:37Z,"conscious hip hop,hip hop,rap","Pro Era",0.775,0.707,10,-5.339,0,0.152,0.397,0,0.874,0.78,104.979,4
69jrtjVjyzRyPCDg0dHYCX,"生きていたんだよな","青春のエキサイトメント","Aimyon",2017-09-12,194120,47,saaato11,2024-01-25T01:45:19Z,"j-acoustic,j-pop","WM Japan",0.601,0.901,1,-2.516,1,0.0353,0.244,0,0.0711,0.53,111.035,4
5tz69p7tJuGPeMGwNTxYuV,"1-800-273-8255","Everybody","Logic,Alessia Cara,Khalid",2017-05-05,250173,72,saaato11,2024-03-28T09:29:07Z,"conscious hip hop,hip hop,pop rap,rap,canadian contemporary r&b,canadian pop,pop,pop r&b","Def Jam Recordings",0.62,0.574,5,-7.788,0,0.0479,0.569,0,0.19,0.357,100.023,4
1zOgXnODZUp87IGbF3b8YB,"HIND'S HALL","HIND'S HALL","Macklemore",2024-05-10,168941,62,saaato11,2024-05-28T03:43:02Z,"pop rap,seattle hip hop","Bendo LLC",0.658,0.742,1,-6.475,0,0.241,0.034,0,0.0992,0.458,93.117,4
0ykvJXrFZGdTRJMm8U1Re0,"Boys And Girls","CTV3: Cool Tape Vol. 3","Jaden",2020-08-28,222032,36,saaato11,2024-06-20T02:39:04Z,"pop rap,rap","MSFTSMusic / Roc Nation Records, LLC",0.664,0.449,8,-10.03,0,0.0322,0.466,0.00000177,0.117,0.491,83.981,4
17EiIn0d2tftCjJrGOrbFj,"Stand Out Fit In","Eye of the Storm","ONE OK ROCK",2019-02-13,214546,57,saaato11,2024-09-05T00:16:34Z,"j-pop,j-rock","A-Sketch",0.625,0.839,11,-5.255,1,0.0386,0.0291,0,0.141,0.34,126.023,4
