Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1KhrAWvLIjRlQIJtSTgvsi,"Would You Go With Me","Your Man","Josh Turner",2006,228186,67,saaato11,2021-08-29T14:06:40Z,"contemporary country,country,country road","MCA Nashville",0.605,0.864,6,-5.365,1,0.0292,0.13,0.000803,0.113,0.736,122.919,4
226le7T3p82reYWzsi9Hsz,"1, 2 Many","What You See Is What You Get","Luke Combs,Brooks & Dunn",2019-11-08,180906,72,saaato11,2021-08-29T14:06:43Z,"contemporary country,country,country road","River House Artists/Columbia Nashville",0.54,0.821,6,-3.789,1,0.0873,0.0397,0,0.423,0.685,148.798,4
3O9lWje3TSupR4vObAg9Yu,"Livin’ The Dream","Dangerous: The Double Album","Morgan Wallen",2021-01-08,239120,63,saaato11,2021-08-29T14:06:55Z,"contemporary country","Big Loud / Republic",0.621,0.753,7,-5.904,0,0.0271,0.581,0.00605,0.215,0.438,127.035,4
5NhcE6cuJjVYyVEKp97zOt,"More Surprised Than Me","Dangerous: The Double Album","Morgan Wallen",2021-01-08,157440,57,saaato11,2021-08-29T14:06:55Z,"contemporary country","Big Loud / Republic",0.516,0.748,6,-6.049,1,0.0289,0.241,0,0.123,0.433,85.004,4
6ZeKYXZ6esPjpuHwCtUiZh,"Fifteen","Fearless","Taylor Swift",2008-11-11,294880,16,saaato11,2021-08-29T14:09:15Z,"pop","Big Machine Records, LLC",0.56,0.636,7,-4.453,1,0.0262,0.0602,0,0.148,0.209,95.431,4
7wbATZinTGleK7zhZJs4Yq,"You Belong With Me","Fearless","Taylor Swift",2008-11-11,231453,27,saaato11,2021-08-29T14:09:24Z,"pop","Big Machine Records, LLC",0.688,0.765,6,-4.451,1,0.0387,0.16,0.0000178,0.103,0.431,129.967,4
1sJUslPI3S0J6Nt9SimOam,"Forever & Always","Fearless","Taylor Swift",2008-11-11,225786,11,saaato11,2021-08-29T14:09:32Z,"pop","Big Machine Records, LLC",0.607,0.826,10,-4.989,1,0.0584,0.0767,0,0.104,0.501,128.048,4
46NGAvL695VnbcSeTmQWmM,"Sparks Fly","Speak Now","Taylor Swift",2010-10-25,260946,50,saaato11,2021-08-29T14:09:52Z,"pop","Big Machine Records, LLC",0.608,0.785,5,-2.976,1,0.0311,0.0387,0,0.158,0.376,114.985,4
0KztjtD3ytzgYjUKIVfBnW,"Mean","Speak Now","Taylor Swift",2010-10-25,237746,49,saaato11,2021-08-29T14:09:57Z,"pop","Big Machine Records, LLC",0.57,0.747,4,-3.978,1,0.0426,0.445,0,0.219,0.808,164.004,4
7IWV29mryrqtO0JVgnPtfv,"Cold As You","What You See Ain't Always What You Get (Deluxe Edition)","Luke Combs",2020-10-23,186106,61,saaato11,2021-08-29T14:11:08Z,"contemporary country,country","River House Artists/Columbia Nashville",0.598,0.846,6,-4.956,1,0.0355,0.0527,0,0.113,0.328,144.04,4
45nc69lqKe3kY9sit2UU6G,"UNAPOLOGETICALLY COUNTRY AS HELL","A ROCK","HARDY",2020-09-04,235360,12,saaato11,2021-08-29T14:12:26Z,"contemporary country,modern country pop","Big Loud Records",0.543,0.648,1,-4.961,1,0.0311,0.172,0,0.329,0.617,124.053,3
6cqxDqWwB9o3j3eHMSV2mA,"Different 'Round Here","Different 'Round Here","Riley Green",2019-09-20,183333,56,saaato11,2021-08-29T14:16:02Z,"contemporary country,modern country pop","BMLG Records",0.502,0.677,1,-6.466,1,0.0293,0.00416,0.00000721,0.0796,0.403,142.039,4
1MX19fnaW1OUQoglWTYaOo,"Dangerous","Dangerous: The Double Album","Morgan Wallen",2021-01-08,147893,70,saaato11,2021-08-29T14:16:59Z,"contemporary country","Big Loud / Republic",0.635,0.772,7,-4.825,1,0.0279,0.216,0,0.285,0.948,119.017,4
4gB7HrYHbJVJ5RFOjxmoq4,"One Number Away","This One's for You","Luke Combs",2017-06-02,221800,71,saaato11,2021-08-29T14:36:42Z,"contemporary country,country","River House Artists/Columbia Nashville",0.544,0.781,6,-6.16,0,0.0311,0.00585,0,0.191,0.527,144.075,4
3RzcoFkZ0AOp2nH71jP504,"Beer Never Broke My Heart","What You See Is What You Get","Luke Combs",2019-11-08,186733,0,saaato11,2021-08-29T14:36:51Z,"contemporary country,country","River House Artists/Columbia Nashville",0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0874,0.64,77,4
7grWGhX8SHNmyGOkMNVMCt,"There Was This Girl","Different 'Round Here","Riley Green",2019-09-20,194426,68,saaato11,2021-08-29T14:37:06Z,"contemporary country,modern country pop","BMLG Records",0.616,0.877,1,-4.223,1,0.0347,0.00258,0.00000256,0.114,0.94,127.981,4
1mMLMZYXkMueg65jRRWG1l,"When It Rains It Pours","This One's for You","Luke Combs",2017-06-02,240760,80,saaato11,2021-08-29T14:37:34Z,"contemporary country,country","River House Artists/Columbia Nashville",0.551,0.801,6,-5.069,1,0.0303,0.013,0.00000603,0.265,0.625,128.027,4
